rank,feature,composite_score,spearman_corr,mutual_info,dynamic_range,smooth_corr
1,Int_Intg_DNA_nuc,0.9946650518380867,0.7364167321939527,0.5445253140809845,2.4872202423683167,0.9498811613341588
2,Int_Med_cycA_nuc,0.9820750600808534,0.732319489222971,0.5240389688618388,2.4200195165840905,0.9663596614569364
3,AreaShape_Area_nuc,0.8707327149221528,0.714899626248582,0.41938310048056415,1.7432464403977632,0.9731967866211879
4,Int_Med_Skp2_nuc,0.8281327758249928,0.5138344259677736,0.5410408833256675,1.6912429942722507,0.7822989692320637
5,Int_Med_cycB1_ring,0.8023074650136846,0.5608896488985773,0.27791914236636917,2.29698604120737,0.9771432299425389
6,Int_Med_cycB1_cyto,0.8018375752536038,0.5608896488985773,0.2768956748896034,2.29698604120737,0.9771432299425389
7,Int_Med_cycB1_cell,0.775227820886811,0.5494166322047874,0.24233989111101195,2.277983045321232,0.9753207869086716
8,Int_Med_CDK2_nuc,0.7630970959965205,0.600720386253363,0.2617088948817532,1.7548200154253306,0.9674918411703632
9,Int_Med_pH2AX_nuc,0.7416709099918625,0.5826105539253906,0.33757556605789496,1.2940503021596759,0.8850097899247654
10,Int_Std_PCNA_nuc,0.6900029121951504,0.5538043173079233,0.2887168550181656,1.5234973628056023,0.6378979029221854
11,Int_Med_Cdt1_nuc,0.675319636489912,0.504439141347361,0.3037327076924452,1.400408825448073,0.7058946256069819
12,Int_Med_pp21_nuc,0.6678251761205332,0.4839657367168462,0.17754186317716325,1.5745236732819194,0.9559655873572139
13,Int_Med_E2F1_nuc,0.6597996777521405,0.4283970558244458,0.37291648721982984,1.575407512127534,0.4471293384564065
14,Int_Med_cycB1_nuc,0.6415486654127548,0.43004781195579406,0.14881555048096207,1.7210438034527424,0.9486051960069743
15,Int_Med_p27_nuc,0.6201689205472809,0.4947864430907505,0.20935693221889196,1.1315141585022235,0.7579061095080049
16,Int_Med_cycA_ring,0.5580834575846478,0.29298570566474597,0.09802981788693366,1.7294852298966497,0.8660230478043438
17,Int_Med_cycA_cyto,0.556617839416192,0.29298570566474597,0.09483755311292885,1.7294852298966497,0.8660230478043438
18,Int_MeanEdge_cycB1_cell,0.5461582307402139,0.2745429412126069,0.0839770079848634,1.56763931235518,0.9242730265218345
