hour,curtailment_mw
0,6418.784341649363
1,3821.2948206029287
2,4428.090010198686
3,4823.4677611679635
4,2491.994804959071
5,3262.6545132294905
6,1069.4119473845458
7,2775.5936806328737
8,4983.236137271897
9,5751.0730783306935
10,537.1112537703775
11,1318.5800509966211
12,297.0574078518857
13,192.47598843082233
14,0.0
15,1608.4839195763634
16,-3.637978807091713e-12
17,1643.11445656467
18,0.0
19,1.8189894035458565e-12
20,0.0
21,1.8189894035458565e-12
22,2397.4822682560134
23,3138.9824919908606
24,2142.4980213411764
25,3385.3802364345065
26,4612.63728711988
27,2387.7766799803776
28,641.0762971266377
29,3266.837053730216
30,4367.656769024101
31,5085.623563230529
32,5973.041751462008
33,4662.4296386563365
34,3452.2801649889498
35,1096.736046669168
36,943.6194350477635
37,3640.6503915117555
38,5435.2581557196045
39,5579.884266552965
40,7603.285571899316
41,3591.873248436268
42,4770.188603518029
43,5580.941603217687
44,4876.346632137809
45,2102.0393385680563
46,4132.657359553321
47,5076.793929118072
48,3048.368508403877
49,4144.530806147353
50,3624.3917113935986
51,2717.0616770897122
52,5154.035472881536
53,3266.8021397448847
54,3035.9462860571384
55,4804.3553422361165
56,4093.056882195182
57,3393.896481720725
58,3656.00515298969
59,1102.9579705062188
60,4907.34631446268
61,3728.5185850811904
62,3579.988838007872
63,-1.8189894035458565e-12
64,2304.6309139554705
65,2567.4919136777826
66,5509.779942338422
67,7067.973302926863
68,1470.4266465234268
69,3591.25467610922
70,4785.132013255139
71,3678.7132168178796
72,4655.754321730237
73,5131.832921148298
74,3885.4261210105196
75,4067.8549493883893
76,3430.943328870977
77,3509.8154314313524
78,4554.426696441853
79,7289.788441468429
80,8163.439257575272
81,2814.743207106476
82,6289.576554631178
83,5036.971638733008
84,3792.4183203321354
85,5298.227077317915
86,5689.262677892048
87,6226.397249622671
88,4204.4530266337915
89,3683.3826145969597
90,2147.604416706352
91,1632.5726204286748
92,5861.816189645027
93,2212.612172317673
94,3099.2603112650722
95,3874.292567561275
96,1730.5116888698358
97,1830.9217856609375
98,10.504204253053103
99,0.0
100,1445.346451310019
101,1236.3302062963485
102,-1.8189894035458565e-12
103,80.38268409179545
104,-1.8189894035458565e-12
105,0.0
106,1894.8274707949495
107,3137.690942195668
108,3850.41080836099
109,1803.6100452439277
110,15.480590859146105
111,314.4516572046741
112,1.8189894035458565e-12
113,1374.9742509633033
114,2689.4111463690333
115,5334.848771166517
116,5012.460780254938
117,5905.90698562838
118,2944.0862166088646
119,3377.2825545414726
120,2587.544195675662
121,6724.957379901156
122,4462.180459838812
123,4768.610648461416
124,4604.557909645728
125,5246.317941823336
126,3742.466869337055
127,6437.420420145756
128,4747.472300427682
129,6043.676353586816
130,2811.2408555816655
131,730.3873357930588
132,3600.587171614645
133,4633.200806055907
134,4594.472844042992
135,2911.314817104765
136,5275.010795260425
137,2766.494317864237
138,2406.517635971033
139,3290.7197135635415
140,1808.687075942711
141,1112.2762444005966
142,1438.2445765803004
143,2929.8534246724976
144,3294.1260838498856
145,5169.466397410741
146,1120.1512541883076
147,3341.9142733406043
148,5848.795029714534
149,5658.355878709688
150,4700.934623410587
151,5676.0175337334895
152,5096.177500232321
153,4881.042942371125
154,4941.250960425186
155,5932.296164171228
156,4142.475098603078
157,5221.196324075843
158,5267.402477723426
159,4185.943224273566
160,4298.572095310963
161,6909.904881473269
162,8408.806531019103
163,4883.295906484482
164,6260.292660014731
165,4245.964942749579
166,2506.3229190560287
167,6438.256976935874
