hour,demand_mw,wind_mw,gas_mw,nuclear_mw,storage_discharge_mw,storage_charge_mw,curtailment_mw,unserved_mw,mean_line_utilization,max_line_utilization
0,113235.03081712821,12939.394239467776,8047.356581977324,2400.0,550.0,0.0,6418.784341649363,89298.27999568307,0.5750648265161781,1.0
1,101604.81038085517,12485.20314804225,8047.356581977324,2400.0,550.0,0.0,3821.2948206029287,78122.25065083559,0.5118641156627691,1.0
2,86308.16927158141,12117.602267130047,8047.356581977324,2400.0,328.9419162443236,0.0,4428.090010198686,63414.26850622971,0.4454227294435999,1.0
3,80522.35697790461,12098.420401993886,8047.356581977324,2400.0,0.0,0.0,4823.4677611679635,57976.579993933396,0.5533529146749795,1.0
4,90165.30637495837,12602.451317656702,8047.356581977324,2400.0,0.0,0.0,2491.994804959071,67115.49847532435,0.5305036408769179,1.0
5,109380.90701161747,13642.46357090524,8047.356581977324,2400.0,0.0,0.0,3262.6545132294905,85291.08685873491,0.6185013779596276,1.0
6,124989.68566055656,13722.754676583922,8047.356581977324,2400.0,0.0,0.0,1069.4119473845458,100819.57440199531,0.6485676040075977,1.0
7,126516.00307208969,13978.41337481282,8047.356581977324,2400.0,0.0,0.0,2775.5936806328737,102090.23311529955,0.5903872381498353,1.0
8,114156.67664708235,13336.30876618831,8047.356581977324,2400.0,0.0,0.0,4983.236137271897,90373.01129891671,0.5623998907316605,1.0
9,98623.42379830468,12795.64395546393,8047.356581977324,2400.0,0.0,0.0,5751.0730783306935,75380.42326086343,0.5495659620696487,1.0
10,92979.1398988091,12522.101560868872,8047.356581977324,2400.0,0.0,0.0,537.1112537703775,70009.68175596291,0.5567492305000623,1.0
11,102684.2598795031,13253.864930534199,8047.356581977324,2400.0,0.0,106.77742543383313,1318.5800509966211,79089.8157924254,0.4761043376784486,1.0
12,121432.36935956641,13827.343724907749,8047.356581977324,2400.0,0.0,300.0,297.0574078518857,97457.66905268133,0.6261660594166497,1.0
13,135946.04648064196,15027.802858038938,8047.356581977324,2400.0,0.0,550.0,192.47598843082233,111020.88704062569,0.6358920184429274,1.0
14,136081.209903101,14878.830792203706,8047.356581977324,2400.0,0.0,473.3103259481453,0.0,111228.33285486812,0.6210815535236013,1.0
15,122546.12188226433,14486.912013003044,8047.356581977324,2400.0,0.0,550.0,1608.4839195763634,98161.85328728396,0.5763498627544899,1.0
16,106357.49615029007,12864.628311937502,8047.356581977324,2400.0,353.76772948950133,0.0,-3.637978807091713e-12,82691.74352688575,0.5348718265701018,1.0
17,100447.87932489335,13569.52025784249,8047.356581977324,2400.0,0.0,550.0,1643.11445656467,76981.00248507354,0.47174340204881976,1.0
18,109814.82762275719,12664.748687313288,8047.356581977324,2560.7592023144025,550.0,0.0,0.0,85991.96315115217,0.5841639139920549,1.0
19,127712.73677207026,13903.467573275322,8047.356581977324,2400.0,263.7919025693393,0.0,1.8189894035458565e-12,103098.12071424829,0.5877522431510173,1.0
20,140787.0447698484,14544.607105538773,8047.356581977324,2400.0,180.00618147764294,0.0,0.0,115615.07490085467,0.6135656549279125,1.0
