problem,variant,primary_goal,constructor_coverage,rule_hits,generation_success,grounded_step_rate,verified_step_rate
translated_imo_2000_p1,full,cong,0.0,5,True,0.4,0.24
translated_imo_2000_p6,full,cong,0.6666666666666666,5,True,0.7666666666666667,0.46
translated_imo_2002_p2a,full,eqangle,0.16666666666666666,5,True,0.4916666666666667,0.295
translated_imo_2002_p2b,full,eqangle,0.16666666666666666,5,True,0.4916666666666667,0.295
translated_imo_2003_p4,full,cong,0.3333333333333333,5,True,0.5833333333333334,0.35000000000000003
translated_imo_2004_p1,full,coll,0.5,5,True,0.675,0.405
translated_imo_2004_p5,full,cong,0.25,5,True,0.5375000000000001,0.32250000000000006
translated_imo_2005_p5,full,cyclic,0.4,5,True,0.6200000000000001,0.4720000000000001
translated_imo_2007_p4,full,eqratio,0.42857142857142855,5,True,0.6357142857142857,0.3814285714285714
translated_imo_2008_p1a,full,cyclic,0.4,5,True,0.6200000000000001,0.4720000000000001
translated_imo_2008_p1b,full,cyclic,0.4,5,True,0.6200000000000001,0.4720000000000001
translated_imo_2008_p6,full,cong,0.5,5,True,0.675,0.405
translated_imo_2009_p2,full,cong,0.4,5,True,0.6200000000000001,0.37200000000000005
translated_imo_2010_p2,full,cong,0.42857142857142855,5,True,0.6357142857142857,0.3814285714285714
translated_imo_2010_p4,full,cong,0.25,5,True,0.5375000000000001,0.32250000000000006
translated_imo_2011_p6,full,coll,0.3333333333333333,5,True,0.5833333333333334,0.35000000000000003
translated_imo_2012_p1,full,cong,0.3333333333333333,5,True,0.5833333333333334,0.35000000000000003
translated_imo_2012_p5,full,cong,0.5,5,True,0.675,0.405
translated_imo_2013_p4,full,coll,0.4,5,True,0.6200000000000001,0.37200000000000005
translated_imo_2014_p4,full,cong,0.4,5,True,0.6200000000000001,0.37200000000000005
translated_imo_2015_p3,full,coll,0.42857142857142855,5,True,0.6357142857142857,0.3814285714285714
translated_imo_2015_p4,full,coll,0.25,5,True,0.5375000000000001,0.32250000000000006
translated_imo_2016_p1,full,coll,0.5,0,False,0.275,0.165
translated_imo_2017_p4,full,perp,0.2857142857142857,5,True,0.5571428571428572,0.4342857142857143
translated_imo_2018_p1,full,para,0.2,5,True,0.51,0.406
