period,purpose,token_count,period_share
2000-2005,augment snowpack,106,0.3706293706293706
2000-2005,increase precipitation,131,0.458041958041958
2000-2005,increase runoff,12,0.04195804195804196
2000-2005,research,2,0.006993006993006993
2000-2005,suppress fog,6,0.02097902097902098
2000-2005,suppress hail,29,0.10139860139860139
2006-2010,augment snowpack,122,0.47104247104247104
2006-2010,increase precipitation,95,0.3667953667953668
2006-2010,increase runoff,14,0.05405405405405406
2006-2010,research,2,0.007722007722007722
2006-2010,suppress fog,7,0.02702702702702703
2006-2010,suppress hail,19,0.07335907335907337
2011-2015,augment snowpack,106,0.48623853211009177
2011-2015,increase precipitation,78,0.3577981651376147
2011-2015,increase runoff,12,0.05504587155963303
2011-2015,research,3,0.013761467889908258
2011-2015,suppress fog,0,0.0
2011-2015,suppress hail,19,0.0871559633027523
2016-2020,augment snowpack,82,0.49101796407185627
2016-2020,increase precipitation,69,0.41317365269461076
2016-2020,increase runoff,7,0.041916167664670656
2016-2020,research,0,0.0
2016-2020,suppress fog,0,0.0
2016-2020,suppress hail,9,0.05389221556886228
2021-2025,augment snowpack,100,0.6060606060606061
2021-2025,increase precipitation,50,0.30303030303030304
2021-2025,increase runoff,9,0.05454545454545454
2021-2025,research,2,0.012121212121212121
2021-2025,suppress fog,0,0.0
2021-2025,suppress hail,4,0.024242424242424242
