year,records,active_states,unique_projects,records_3yr_centered_ma
2000,21,8,20,21.5
2001,22,6,22,28.333333333333332
2002,42,9,42,37.666666666666664
2003,49,9,47,46.0
2004,47,9,46,47.666666666666664
2005,47,9,46,44.666666666666664
2006,40,9,40,43.0
2007,42,10,41,40.333333333333336
2008,39,9,39,40.333333333333336
2009,40,9,40,37.666666666666664
2010,34,9,33,35.666666666666664
2011,33,9,32,31.666666666666668
2012,28,9,27,30.666666666666668
2013,31,9,30,30.333333333333332
2014,32,9,31,31.333333333333332
2015,31,8,31,32.333333333333336
2016,34,9,33,32.0
2017,31,8,31,30.333333333333332
2018,26,8,25,25.333333333333332
2019,19,6,18,19.0
2020,12,5,11,17.0
2021,20,6,20,20.333333333333332
2022,29,6,27,25.666666666666668
2023,28,7,27,30.333333333333332
2024,34,7,32,27.666666666666668
2025,21,7,21,27.5
