N,d,r,match_frac,total_shots
16,16,10,0.0,10
16,16,1,0.0,10
16,16,2,0.0,10
16,16,3,0.0,10
16,16,4,0.0,10
16,16,5,0.0,10
16,16,6,0.0,10
16,16,7,0.0,10
16,16,8,0.0,10
16,16,9,0.0,10
16,32,10,0.0,10
16,32,1,0.0,10
16,32,2,0.0,10
16,32,3,0.0,10
16,32,4,0.0,10
16,32,5,0.0,10
16,32,6,0.0,10
16,32,7,0.0,10
16,32,8,0.0,10
16,32,9,0.0,10
16,48,10,0.0,10
16,48,1,0.0,10
16,48,2,0.0,10
16,48,3,0.0,10
16,48,4,0.0,10
16,48,5,0.0,10
16,48,6,0.0,10
16,48,7,0.0,10
16,48,8,0.0,10
16,48,9,0.0,10
16,4,10,0.0,10
16,4,1,0.0,10
16,4,2,0.0,10
16,4,3,0.0,10
16,4,4,0.0,10
16,4,5,0.0,10
16,4,6,0.0,10
16,4,7,0.0,10
16,4,8,0.0,10
16,4,9,0.0,10
16,64,10,0.0,10
16,64,1,0.0,10
16,64,2,0.0,10
16,64,3,0.0,10
16,64,4,0.0,10
16,64,5,0.0,10
16,64,6,0.0,10
16,64,7,0.0,10
16,64,8,0.0,10
16,64,9,0.0,10
16,96,10,0.0,10
16,96,1,0.0,10
16,96,2,0.0,10
16,96,3,0.0,10
16,96,4,0.0,10
16,96,5,0.0,10
16,96,6,0.0,10
16,96,7,0.0,10
16,96,8,0.0,10
16,96,9,0.0,10
24,16,10,0.0,10
24,16,1,0.0,10
24,16,2,0.0,10
24,16,3,0.0,10
24,16,4,0.0,10
24,16,5,0.0,10
24,16,6,0.0,10
24,16,7,0.0,10
24,16,8,0.0,10
24,16,9,0.0,10
24,32,10,0.0,10
24,32,1,0.0,10
24,32,2,0.0,10
24,32,3,0.0,10
24,32,4,0.0,10
24,32,5,0.0,10
24,32,6,0.0,10
24,32,7,0.0,10
24,32,8,0.0,10
24,32,9,0.0,10
24,48,10,0.0,10
24,48,1,0.0,10
24,48,2,0.0,10
24,48,3,0.0,10
24,48,4,0.0,10
24,48,5,0.0,10
24,48,6,0.0,10
24,48,7,0.0,10
24,48,8,0.0,10
24,48,9,0.0,10
24,4,10,0.0,10
24,4,1,0.0,10
24,4,2,0.0,10
24,4,3,0.0,10
24,4,4,0.0,10
24,4,5,0.0,10
24,4,6,0.0,10
24,4,7,0.0,10
24,4,8,0.0,10
24,4,9,0.0,10
24,64,10,0.0,10
24,64,1,0.0,10
24,64,2,0.0,10
24,64,3,0.0,10
24,64,4,0.0,10
24,64,5,0.0,10
24,64,6,0.0,10
24,64,7,0.0,10
24,64,8,0.0,10
24,64,9,0.0,10
24,96,10,0.0,10
24,96,1,0.0,10
24,96,2,0.0,10
24,96,3,0.0,10
24,96,4,0.0,10
24,96,5,0.0,10
24,96,6,0.0,10
24,96,7,0.0,10
24,96,8,0.0,10
24,96,9,0.0,10
32,16,10,0.0,10
32,16,1,0.0,10
32,16,2,0.0,10
32,16,3,0.0,10
32,16,4,0.0,10
32,16,5,0.0,10
32,16,6,0.0,10
32,16,7,0.0,10
32,16,8,0.0,10
32,16,9,0.0,10
32,32,10,0.0,10
32,32,1,0.0,10
32,32,2,0.0,10
32,32,3,0.0,10
32,32,4,0.0,10
32,32,5,0.0,10
32,32,6,0.0,10
32,32,7,0.0,10
32,32,8,0.0,10
32,32,9,0.0,10
32,48,10,0.0,10
32,48,1,0.0,10
32,48,2,0.0,10
32,48,3,0.0,10
32,48,4,0.0,10
32,48,5,0.0,10
32,48,6,0.0,10
32,48,7,0.0,10
32,48,8,0.0,10
32,48,9,0.0,10
32,4,10,0.0,10
32,4,1,0.0,10
32,4,2,0.0,10
32,4,3,0.0,10
32,4,4,0.0,10
32,4,5,0.0,10
32,4,6,0.0,10
32,4,7,0.0,10
32,4,8,0.0,10
32,4,9,0.0,10
32,64,10,0.0,10
32,64,1,0.0,10
32,64,2,0.0,10
32,64,3,0.0,10
32,64,4,0.0,10
32,64,5,0.0,10
32,64,6,0.0,10
32,64,7,0.0,10
32,64,8,0.0,10
32,64,9,0.0,10
32,96,10,0.0,10
32,96,1,0.0,10
32,96,2,0.0,10
32,96,3,0.0,10
32,96,4,0.0,10
32,96,5,0.0,10
32,96,6,0.0,10
32,96,7,0.0,10
32,96,8,0.0,10
32,96,9,0.0,10
40,16,10,0.0,10
40,16,1,0.0,10
40,16,2,0.0,10
40,16,3,0.0,10
40,16,4,0.0,10
40,16,5,0.0,10
40,16,6,0.0,10
40,16,7,0.0,10
40,16,8,0.0,10
40,16,9,0.0,10
40,32,10,0.0,10
40,32,1,0.0,10
40,32,2,0.0,10
40,32,3,0.0,10
40,32,4,0.0,10
40,32,5,0.0,10
40,32,6,0.0,10
40,32,7,0.0,10
40,32,8,0.0,10
40,32,9,0.0,10
40,48,10,0.0,10
40,48,1,0.0,10
40,48,2,0.0,10
40,48,3,0.0,10
40,48,4,0.0,10
40,48,5,0.0,10
40,48,6,0.0,10
40,48,7,0.0,10
40,48,8,0.0,10
40,48,9,0.0,10
40,4,10,0.0,10
40,4,1,0.0,10
40,4,2,0.0,10
40,4,3,0.0,10
40,4,4,0.0,10
40,4,5,0.0,10
40,4,6,0.0,10
40,4,7,0.0,10
40,4,8,0.0,10
40,4,9,0.0,10
40,64,10,0.0,10
40,64,1,0.0,10
40,64,2,0.0,10
40,64,3,0.0,10
40,64,4,0.0,10
40,64,5,0.0,10
40,64,6,0.0,10
40,64,7,0.0,10
40,64,8,0.0,10
40,64,9,0.0,10
40,96,10,0.0,10
40,96,1,0.0,10
40,96,2,0.0,10
40,96,3,0.0,10
40,96,4,0.0,10
40,96,5,0.0,10
40,96,6,0.0,10
40,96,7,0.0,10
40,96,8,0.0,10
40,96,9,0.0,10
48,16,10,0.0,10
48,16,1,0.0,10
48,16,2,0.0,10
48,16,3,0.0,10
48,16,4,0.0,10
48,16,5,0.0,10
48,16,6,0.0,10
48,16,7,0.0,10
48,16,8,0.0,10
48,16,9,0.0,10
48,32,10,0.0,10
48,32,1,0.0,10
48,32,2,0.0,10
48,32,3,0.0,10
48,32,4,0.0,10
48,32,5,0.0,10
48,32,6,0.0,10
48,32,7,0.0,10
48,32,8,0.0,10
48,32,9,0.0,10
48,48,10,0.0,10
48,48,1,0.0,10
48,48,2,0.0,10
48,48,3,0.0,10
48,48,4,0.0,10
48,48,5,0.0,10
48,48,6,0.0,10
48,48,7,0.0,10
48,48,8,0.0,10
48,48,9,0.0,10
48,4,10,0.0,10
48,4,1,0.0,10
48,4,2,0.0,10
48,4,3,0.0,10
48,4,4,0.0,10
48,4,5,0.0,10
48,4,6,0.0,10
48,4,7,0.0,10
48,4,8,0.0,10
48,4,9,0.0,10
48,64,10,0.0,10
48,64,1,0.0,10
48,64,2,0.0,10
48,64,3,0.0,10
48,64,4,0.0,10
48,64,5,0.0,10
48,64,6,0.0,10
48,64,7,0.0,10
48,64,8,0.0,10
48,64,9,0.0,10
48,96,10,0.0,10
48,96,1,0.0,10
48,96,2,0.0,10
48,96,3,0.0,10
48,96,4,0.0,10
48,96,5,0.0,10
48,96,6,0.0,10
48,96,7,0.0,10
48,96,8,0.0,10
48,96,9,0.0,10
56,16,10,0.0,10
56,16,1,0.0,10
56,16,2,0.0,10
56,16,3,0.0,10
56,16,4,0.0,10
56,16,5,0.0,10
56,16,6,0.0,10
56,16,7,0.0,10
56,16,8,0.0,10
56,16,9,0.0,10
56,32,10,0.0,10
56,32,1,0.0,10
56,32,2,0.0,10
56,32,3,0.0,10
56,32,4,0.0,10
56,32,5,0.0,10
56,32,6,0.0,10
56,32,7,0.0,10
56,32,8,0.0,10
56,32,9,0.0,10
56,48,10,0.0,10
56,48,1,0.0,10
56,48,2,0.0,10
56,48,3,0.0,10
56,48,4,0.0,10
56,48,5,0.0,10
56,48,6,0.0,10
56,48,7,0.0,10
56,48,8,0.0,10
56,48,9,0.0,10
56,4,10,0.0,10
56,4,1,0.0,10
56,4,2,0.0,10
56,4,3,0.0,10
56,4,4,0.0,10
56,4,5,0.0,10
56,4,6,0.0,10
56,4,7,0.0,10
56,4,8,0.0,10
56,4,9,0.0,10
56,64,10,0.0,10
56,64,1,0.0,10
56,64,2,0.0,10
56,64,3,0.0,10
56,64,4,0.0,10
56,64,5,0.0,10
56,64,6,0.0,10
56,64,7,0.0,10
56,64,8,0.0,10
56,64,9,0.0,10
56,96,10,0.0,10
56,96,1,0.0,10
56,96,2,0.0,10
56,96,3,0.0,10
56,96,4,0.0,10
56,96,5,0.0,10
56,96,6,0.0,10
56,96,7,0.0,10
56,96,8,0.0,10
56,96,9,0.0,10
