hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.32574362710148264,0.6800636855584825,0.5244591415033623,0.27303907184632187,0.31525261350220823,0.6284955582766295,0.4235602362346122,0.13814940524220554,0.1493343650291129,0.1323227039979334,0.11462498602548486,0.09778567485453357,0.08120227084279677,0.06631985482432774,0.0495815091320658,0.037617301687399525,0.025037321397740075,0.013320964488640777,1.0,1.0,0.7312395577515941,1.0,1.0
1,0.332066337029386,0.6775907402876157,0.5497031234454764,0.28504457731711463,0.313151637583433,0.6234347386259865,0.4579661760593435,0.1696724364417859,0.1194480673163301,0.10695399866769964,0.09162496440456638,0.07716153515559225,0.06350186003516362,0.05227344411356116,0.038751878399384126,0.02930097299060555,0.02046215746366517,0.010174172095859824,1.0,1.0,0.5855326891581586,1.0,1.0
2,0.3067660225155338,0.6567251471230036,0.5269032174971401,0.27360377147621656,0.31162559976787213,0.6217194224214891,0.4650889107562981,0.17620883061813483,0.114251251687935,0.10128489923256288,0.08736759839468117,0.07453261165540563,0.06189267832191726,0.05054924447796386,0.037791214008867466,0.028672049790135462,0.019083541177226146,0.010153289575229449,1.0,1.0,0.5587803371551986,1.0,1.0
3,0.29619872310680107,0.6565583230023706,0.5637059164536853,0.2934082053711487,0.31084625826838247,0.6202634246599982,0.47682473496848843,0.18719921242800902,0.10390039419586351,0.09180326283594036,0.08151076550009899,0.06953619353606458,0.05774359924694906,0.047160591438453976,0.03525781685248181,0.02674997103952869,0.01780424411784062,0.00947264684880603,1.0,1.0,0.5123487839064382,1.0,1.0
4,0.3364803901825879,0.6868814981744769,0.5571372789509013,0.2694651216264942,0.3121451511914757,0.6226900697054355,0.45914013759234384,0.1707570098961992,0.11927673072273978,0.10573090821750825,0.09127208169267208,0.0778634956754692,0.06465868005729931,0.05280830486667525,0.03948011431767355,0.029953412006583465,0.01993639016428881,0.010607043029537081,1.0,1.0,0.5834842506601813,1.0,1.0
5,0.329281209954511,0.687592979804913,0.5559737346860341,0.2748542399232986,0.31346331770504093,0.6245659525667547,0.44945402396532513,0.16210468797007,0.12707362704756472,0.11315194093878496,0.09788373901107866,0.0825144570753106,0.0679210447317775,0.05470675809337794,0.04002304234797344,0.03118047905740534,0.020831054873320567,0.01086428760236343,1.0,1.0,0.6214104159439034,1.0,1.0
6,0.3629363749114977,0.7295598622130147,0.568018226272634,0.2767233726211005,0.3160720638506282,0.6290822166391575,0.43997220405341664,0.15549894327185534,0.13134477733486769,0.11409777069011179,0.09945320218894133,0.08206234773978549,0.07648397704372262,0.06125788776473219,0.04429412772940352,0.03290096645330193,0.019813043403099792,0.009898785563262565,1.0,1.0,0.6419307732339592,1.0,1.0
7,0.36695793012610406,0.7154088063508574,0.5489605997668254,0.26949506317065686,0.31634451610987435,0.6300520872164797,0.4333203968390885,0.14904149948417852,0.13898510411244436,0.12197964295789261,0.10542810901973598,0.08818085901395598,0.08285127611241219,0.067252316558026,0.049379892005958104,0.03796806122936867,0.02527665802846171,0.01319458586385551,1.0,1.0,0.6726081789556425,1.0,1.0
8,0.3338011674027642,0.7061870540469661,0.5394487926136472,0.2620722642089075,0.3151517580141033,0.6263023674863171,0.4370056035178938,0.1504389425058896,0.13819663769880436,0.12331350292904263,0.10571138979178192,0.0894833194474423,0.07464977249670142,0.06063109423188616,0.04437084407637966,0.03428511552056848,0.022458542454902534,0.010871823435601094,1.0,1.0,0.6747886303987036,1.0,1.0
9,0.32993005342374904,0.6872261852008568,0.529523475737426,0.2662486586826444,0.3132844487664721,0.624818552174229,0.4460953791103276,0.15880199284565347,0.13029684503180322,0.11548033248012965,0.09983402214923201,0.08516761979918251,0.07072410289398261,0.0577620821170153,0.043183616875490625,0.03276324525805586,0.02180655881104043,0.011602055624350693,1.0,1.0,0.6376561910504762,1.0,1.0
