hex_id,lat,lon,theo_pv,theo_wind,grid_dist_km,road_dist_km,ocean_dist_km,waterbody_dist_km,lcoe_pv,lcoe_wind,lcoe_selected,tech_selected,flh_ely,c_electricity,c_electrolyser,c_storage,c_water,c_road_infra,lcoh_production,c_nh3_synth,c_road_transport,c_shipping,c_port,c_reconversion,lcoh_delivered
hex_000,-19.71252741732844,21.42667018270944,0.6634168884306757,0.6221119988358864,148.1040023836202,99.3287389791286,401.9486959865509,209.80741851465152,67.12406835287325,52.161015088622385,52.161015088622385,wind,3110.559994179432,2.4813740035016076,1.412009427308223,0.5300939465449817,0.03109410831555211,0.1294746465043943,4.584046132174759,1.1611583891351638,0.1594589140565978,0.4,0.1,0.85,7.25466343536652
hex_001,-23.73345872297537,24.54513625407894,0.8468278354591481,0.6169796764044917,164.2124173809309,107.64313184893224,403.1165214670598,176.4293997201662,52.5859433297046,52.59491454758632,52.5859433297046,solar,2032.3868051019554,2.5015884469702327,2.16107486279849,0.5300939465449817,0.03039673931809301,0.14031242707807784,5.363466422709875,1.700858740599305,0.1598441432048674,0.4,0.1,0.85,8.574169306514047
hex_002,-18.69682496106341,15.561555013934129,0.5817130228384195,0.649807766345918,25.688858679272823,17.689641590834682,238.2976785700376,63.933817239716994,76.55190586620314,49.9378355241407,49.9378355241407,wind,3249.0388317295897,2.3756141756484075,1.351827498365436,0.5300939465449817,0.028012087980436844,0.02305838285376816,4.30860609139303,1.1116681022328516,0.10547555515150611,0.4,0.1,0.85,6.8757497487773875
hex_003,-20.631583651287634,16.186435884488162,0.7165114970014225,0.5352271773235865,106.87281353179937,66.93030108114688,149.00878280554892,242.2167352237675,62.150071215651074,60.62844850360271,60.62844850360271,wind,2676.1358866179326,2.884181907385672,1.6412245947420487,0.5300939465449817,0.031845830407129384,0.08724340167788765,5.17458968075772,1.349652254286044,0.07602193743261415,0.4,0.1,0.85,7.950263872476377
hex_004,-27.86987182534821,17.57378135786131,0.7662753065105006,0.486505253193377,15.195472596163658,13.920513195117785,349.6854701288347,216.0451032366615,58.113892209654466,66.70019109782031,58.113892209654466,solar,1839.0607356252015,2.7645608722592767,2.3882517585782894,0.5300939465449815,0.03127510386253099,0.018145337830940855,5.73232701907602,1.8796567153945531,0.14221890832027984,0.4,0.1,0.85,9.104202642790852
hex_005,-17.292531780358928,13.65259902718,0.8086222331359278,0.5380422683640402,126.02775071490714,80.99657107173759,301.13095579381485,223.0002811550848,55.07051221282157,60.31123438825439,55.07051221282157,solar,1940.693359526227,2.619782938124226,2.263180844325352,0.5300939465449815,0.03139559820684448,0.10557873295647949,5.550032060157885,1.781220533768535,0.1262022906714041,0.4,0.1,0.85,8.807454884597824
hex_006,-19.866323576115764,12.818901074696605,0.8211226579792855,0.2968998349062955,85.8159970215324,34.46682027684199,174.40940070443244,43.66203670940741,54.23214197384206,109.29609768335922,54.23214197384206,solar,1970.6943791502852,2.579900468184201,2.2287271341804673,0.5300939465449815,0.027622452763477832,0.04492737366183924,5.411271375334967,1.7541039840113843,0.08440080787346582,0.4,0.1,0.85,8.599776167219817
hex_007,-19.567228336676557,17.65986896716307,0.8293347235199925,0.3329331291365369,40.40842627218149,79.4712935283363,51.56533394706672,41.50737207685166,53.695135754674176,97.4670001818409,53.695135754674176,solar,1990.403336447982,2.554354315186643,2.2066582966180412,0.5300939465449815,0.027572693953953148,0.10359053927977865,5.422269791583398,1.7367348609379196,0.0438783873605167,0.4,0.1,0.85,8.552883039881834
hex_008,-27.46263640789345,14.176730886712376,0.7151274927751562,0.3515950581468396,30.333727092025157,87.51235910013904,338.58742899357145,278.63095254691973,62.270351811900305,92.2936560289745,62.270351811900305,solar,1716.3059826603749,2.962289593337543,2.5590658544352887,0.5300939465449815,0.03262432095870528,0.11407203872423025,6.198145754000749,2.014094745727163,0.13855801120392658,0.4,0.1,0.85,9.700798510931838
hex_009,-23.5953687452532,20.377395925555145,0.7037648207335433,0.4004129758597777,148.97292018353946,92.4690515382012,125.48262700606044,122.28556717835748,63.275741062270875,81.0413131303105,63.275741062270875,solar,1689.035569760504,3.0101173962480288,2.6003833871964885,0.5300939465449817,0.02934951313566858,0.12053306911528308,6.290477312240451,2.0466134187017224,0.0682613934883714,0.4,0.1,0.85,9.755352124430546
hex_010,-24.550423709209024,17.12012686421263,0.8357975881257154,0.6099661340085155,46.7952772915371,13.82117256875169,422.19778623486286,93.77986407537722,53.279934278505074,53.199663963046646,53.199663963046646,wind,3049.8306700425774,2.530784014242076,1.4401258663740348,0.5300939465449817,0.028666254322872516,0.018015847689271204,4.547685929173236,1.1842797921955617,0.16613845643667413,0.4,0.1,0.85,7.248104177805471
hex_011,-17.878820133816777,22.657494744809725,0.7308695675118385,0.4141781416959909,231.6544290023153,110.00540957137534,116.02705300250128,149.13229337870234,60.92912134387078,78.34791383537132,60.92912134387078,solar,1754.0869620284125,2.898485343929853,2.5039465722441343,0.5300939465449817,0.029893582780241266,0.14339164741452845,6.105811092913739,1.9707135031315306,0.06514229497529192,0.4,0.1,0.85,9.49166689102056
hex_012,-21.273618559032023,20.803711428031487,0.6224313676662078,0.4932756168940916,147.35997922659678,28.395464916490816,64.01349026105385,200.5449427652568,71.54401734674786,65.78470989993988,65.78470989993988,wind,2466.378084470458,3.12947262809714,1.7808056532955212,0.5300939465449817,0.03101403536122989,0.037013384244846806,5.50839964754372,1.4644359901232071,0.04798464530264937,0.4,0.1,0.85,8.370820282969577
hex_013,-19.12686064075004,15.373132979348576,0.6366712785996519,0.7448842446679098,89.98310211103508,5.452094184965394,375.6895757349587,286.9088608288561,69.94385024469285,43.563806847007235,43.563806847007235,wind,3724.421223339549,2.0723925257219156,1.1792812285745977,0.5300939465449815,0.032641022054920844,0.009005593673475226,3.8234143165698913,0.9697756015124039,0.15079685050543878,0.4,0.1,0.85,6.293986768587734
hex_014,-23.67902961407203,22.651637219532816,0.6580547713998388,0.4965604043407861,149.7742954129471,67.02744385758652,77.44509931477738,89.50163693020623,67.67102451174793,65.34953869544034,65.34953869544034,wind,2482.80202170393,3.108770912225948,1.7690254791136646,0.5300939465449817,0.028678470500576033,0.0873700269302491,5.523938835315419,1.4547486269851209,0.052415313584867285,0.4,0.1,0.85,8.381102775885408
