epoch,loss,val_mae
1,1.218718409538269,26.412121940258448
2,1.213292121887207,26.40220091429498
3,1.2086879014968872,26.391159830701593
4,1.2037363052368164,26.377192554638103
5,1.1987158060073853,26.36156578819841
6,1.193826675415039,26.343229298540514
7,1.1890672445297241,26.319664670379872
8,1.1834536790847778,26.288510596002567
9,1.1782761812210083,26.25957747006866
10,1.1727135181427002,26.23032259225718
11,1.16721510887146,26.197524285047304
12,1.1617836952209473,26.158236325973743
13,1.1562873125076294,26.113132568534443
14,1.1503984928131104,26.06139120824835
15,1.1436940431594849,26.000494443196047
16,1.136413812637329,25.929530236391138
17,1.1286475658416748,25.844554971786167
18,1.1197518110275269,25.740699059509307
19,1.1098859310150146,25.61720279308928
20,1.0987014770507812,25.481751108602513
21,1.087148666381836,25.343700630234277
22,1.0751832723617554,25.193509193523532
23,1.06229567527771,25.026872138474463
24,1.0489674806594849,24.85044995308873
25,1.034365177154541,24.670532400659177
26,1.019614577293396,24.473827560214172
27,1.004003882408142,24.26154556267134
28,0.9874969720840454,24.040601426729978
29,0.970979630947113,23.81026491076418
30,0.9534472823143005,23.568370681545247
