year,month,day,hour,Electricity [kW],Heat [mmBTU],Cooling Energy [Ton],PV Power Generation [kW],Greenhouse Gas Emission [Ton]
2014,1,1,0,609.8704907957077,179.438811114454,281.270036767583,0.0,415.02089608570674
2014,1,1,1,627.3189243230432,167.69044238446963,270.1095061644163,0.0,417.9884961097458
2014,1,1,2,656.2718267807653,173.9322184877458,274.7623419453526,0.0,435.268047325777
2014,1,1,3,680.1982548819269,163.87376656697603,258.8629268107604,0.0,441.0338427732083
2014,1,1,4,705.5670418416566,162.56126137798103,257.51827714204626,0.0,453.0555547626319
2014,1,1,5,708.1348083447573,156.3564332275739,256.0163189132435,0.0,452.1775979232995
2014,1,1,6,696.3176323004677,154.40899180825693,262.2282407446152,72.86928719025384,410.492518246507
2014,1,1,7,694.5491278662145,150.88942880125785,271.62981745590434,69.5951630602749,412.06977453452805
2014,1,1,8,672.8258514540273,148.79991945031546,268.5286508326709,72.40716595625419,398.5550487505155
2014,1,1,9,680.9126040948795,146.79620550361503,279.52130392579727,72.20407746563494,404.2973857508662
2014,1,1,10,634.0054398418893,145.96006142027827,287.4714672171878,71.67482490685316,382.44761933703904
2014,1,1,11,623.3447400196701,140.63750644191364,294.20375570161036,73.56384111422462,375.92245252561895
2014,1,1,12,590.6910207753031,139.83345386950452,288.0031583632898,72.65078193905019,358.57078725163575
2014,1,1,13,573.8256877039936,135.17193421062277,303.55355569085975,75.37955198470326,350.4853592610039
2014,1,1,14,558.9127802338102,140.24773873670543,300.23648094575265,74.6451739697854,344.2554209421745
2014,1,1,15,552.4198102832731,145.83646525841743,301.6170286167939,79.23074065832452,340.6688801133583
2014,1,1,16,529.7097858326904,152.85867929709738,301.7342498028403,74.67775230486114,333.7204705136119
2014,1,1,17,521.1444239345831,148.8549857093037,304.4360239609853,79.07546556294021,326.5781796908096
2014,1,1,18,538.844798504683,156.19903168190626,285.23932923605906,77.36982926526215,334.64505997149405
2014,1,1,19,549.6033047380271,154.19993632459014,295.32771867936594,0.0,380.12717700226375
2014,1,1,20,548.805982888159,159.69663666489635,276.8508758225998,0.0,377.68215760806834
