year,month,day,hour,Electricity [kW],Heat [mmBTU],Cooling Energy [Ton],PV Power Generation [kW],Greenhouse Gas Emission [Ton]
2014,1,1,0,65.88233373477371,20.435373746111033,20.972840524998915,0.0,43.266347096219945
2014,1,1,1,73.29733515495828,19.804544913787318,22.68981863234751,0.0,47.12799477808483
2014,1,1,2,73.70409036586103,20.593828615053777,23.823024055668945,0.0,47.79479857858043
2014,1,1,3,76.5889017943589,18.554025623618116,23.985171538913345,0.0,48.65769289204756
2014,1,1,4,71.0365815548047,21.114232547909104,27.519104534074888,0.0,47.35638144859006
2014,1,1,5,65.2746009861154,17.610422813968647,29.894356067783047,0.0,43.89929855080491
2014,1,1,6,65.38594748624696,15.388837035203832,31.88665746550603,5.765283004972774,40.80431484429945
2014,1,1,7,64.39006037005353,15.557346756600296,36.88594012633146,5.644661594894114,41.41709143982609
2014,1,1,8,60.841202763944764,12.140345291862015,37.32962197567861,7.531574402088458,37.76284216362248
2014,1,1,9,61.95994234067223,13.747314060697155,39.22392031359526,7.217890506293118,39.340004198117754
2014,1,1,10,50.237717083124764,11.752434670749347,42.791553059489736,7.879271599071737,33.26326375514926
2014,1,1,11,50.77827631800152,11.040353827396395,40.53989507823874,9.236831829266109,32.19080740823437
2014,1,1,12,47.76994232492659,9.491689689683755,37.90437353395543,8.757179912601345,29.934762819858832
2014,1,1,13,44.829448790889494,8.635891082204498,37.685999592668445,11.16302081117406,26.961181233052756
2014,1,1,14,43.19201123514783,8.66498375847107,35.04595989368368,10.162751623545734,26.123316912079105
2014,1,1,15,40.141064084234735,10.419732617845725,30.819481920971775,10.373245961870808,24.173725230730035
2014,1,1,16,41.9492349192396,11.93682571250189,27.944458427535427,9.21769330588828,25.535710205933313
2014,1,1,17,40.35324668658363,12.56394566821631,28.126396346895575,8.2395973184661,25.451287653902774
2014,1,1,18,43.90259424135322,13.512288132491815,23.13247214441064,8.62262045149367,26.320167763559446
2014,1,1,19,49.128080902772076,16.667411320077157,23.855161184478888,0.0,34.335296084304964
2014,1,1,20,52.392334271163975,15.182469709144142,18.491349723136473,0.0,34.44917799295252
2014,1,1,21,54.78721166278969,17.517154716691362,17.560712436468418,0.0,36.16089473369594
2014,1,1,22,51.55936346542693,17.60008693458407,16.691547538830555,0.0,34.3980173208548
2014,1,1,23,63.01388112137215,19.68516764431384,20.303379736814325,0.0,41.4731668013431
2014,1,2,0,62.047210711728006,17.484311422058546,18.4615966319765,0.0,39.961218108876864
2014,1,2,1,69.54050487270284,20.081701882256727,21.457143460835585,0.0,45.08619169319555
2014,1,2,2,74.18517420395968,18.619623505233537,19.736390147163593,0.0,46.625752182982616
2014,1,2,3,79.35361423890842,18.740676337562796,22.819367851082866,0.0,49.86288359093962
