year,month,day,hour,Electricity [kW],Heat [mmBTU],Cooling Energy [Ton],PV Power Generation [kW],Greenhouse Gas Emission [Ton]
2014,1,1,0,73.2939495789923,17.533505046883384,42.546661080004085,0.0,50.41635851956198
2014,1,1,1,78.64218338141818,15.480889541650757,39.854791150006825,0.0,51.93631678320568
2014,1,1,2,89.6609688524983,15.874091575150537,37.254412629758704,0.0,57.043594424746054
2014,1,1,3,84.3451307372172,17.702451814177635,37.19946513217539,0.0,54.92319393929697
2014,1,1,4,86.20702710711515,15.581580476489439,31.345463864365822,0.0,54.047080469377576
2014,1,1,5,93.56465540678109,16.046882678572512,27.51840737363475,0.0,57.10007398168925
2014,1,1,6,92.1379793991419,17.435680360605463,23.59579090506214,9.459669068444017,51.289017454543014
2014,1,1,7,88.75936089214171,17.68562663600578,24.92536577142242,8.91039356145876,50.2152448104277
2014,1,1,8,81.95545315603185,20.591761650815478,25.526660492141588,7.522048921537387,48.499562710920195
2014,1,1,9,88.39649940381345,21.649092731147835,27.106005570223356,8.077874896848739,52.075241186871374
2014,1,1,10,76.14727297494751,22.02866430036045,26.531699180074007,7.099440123257133,46.438855551968125
2014,1,1,11,77.71208619444202,23.896777955854365,31.70648129392395,6.38646766991629,49.17313890780397
2014,1,1,12,67.4451502148107,25.074649204417536,31.6589013872368,6.813063647077099,44.170218322639414
2014,1,1,13,71.07426144899212,25.200774859814636,28.976568506986816,7.452066044634578,45.16664386152052
2014,1,1,14,65.94364725195835,24.98037185169671,35.80532971770402,7.075449003750918,44.08927662315354
2014,1,1,15,62.50713854651279,25.46863204899369,38.584071630865026,8.99621593570452,42.11286524627525
2014,1,1,16,52.46171424731737,26.914688133152854,40.15043662335507,9.136174109233746,37.76726383365868
2014,1,1,17,55.78395393283319,24.993448785673362,39.14281238394148,10.776978225957974,37.83008496592792
2014,1,1,18,52.22128453705412,25.566626971904114,42.699206643578165,10.172353200053585,37.234295088787135
2014,1,1,19,53.962126884618336,23.818736178855318,48.34213108930932,0.0,43.79511051382762
2014,1,1,20,58.435246884117646,23.928043736010448,45.274827443106204,0.0,45.4510020514832
2014,1,1,21,63.23040503053618,18.78391714356497,48.60201778108045,0.0,46.970781214553675
2014,1,1,22,64.26575341777938,20.472615166774933,42.82363712057822,0.0,46.83938868303781
2014,1,1,23,71.69202832957643,19.478461766051275,42.473311502503954,0.0,50.18421499510439
2014,1,2,0,73.4538225696553,17.842739857206773,42.5942873083513,0.0,50.598590703659944
2014,1,2,1,80.96532658514946,16.954608754560418,40.66608074626482,0.0,53.70226206819582
2014,1,2,2,79.58239876232962,15.299523355540064,40.34790352223093,0.0,52.45063709227302
2014,1,2,3,83.9967442117573,16.36781227848376,36.85560749269352,0.0,54.279837287962486
2014,1,2,4,89.06069626546427,17.062765948183475,32.99123849867383,0.0,56.247425616921944
2014,1,2,5,90.32818820383076,16.97623128966538,27.95138720674067,0.0,55.84724093016313
2014,1,2,6,83.31429716665735,17.36704066780425,29.697549807526556,10.4374019334642,47.588069778443156
2014,1,2,7,84.08150146932485,18.311207212734125,28.61753951945196,9.393356865390112,48.560942369677996
