datetime,Temperature [°F],Dew Point [°F],Humidity [%],Wind Speed [mph],Wind Gust [mph],Pressure [in],Precipitation [in]
2014-01-01 00:00:00,80.56122795948983,69.14502797234573,59.21651867064393,10.469174813122962,17.602183325819748,29.99553003461836,0.0
2014-01-01 01:00:00,79.37456722040996,72.27970499321395,75.34357133793927,10.297622382083581,12.611402818283597,29.898656802675507,0.0
2014-01-01 02:00:00,72.41088138964878,67.10690724153352,74.82261001630066,9.229387651792988,14.975966177307244,29.951575586830884,0.0
2014-01-01 03:00:00,68.69563616587888,59.359410296862144,55.684840807230586,9.231694103515743,14.708172907322497,29.909966778666607,0.0
2014-01-01 04:00:00,68.60533867268123,57.91021997923701,57.662915379978955,10.214822537348185,13.885239191945946,29.86848119854315,0.0
2014-01-01 05:00:00,63.52750576030687,49.76145297660089,49.14352250534739,10.316545164980226,12.859524249927427,29.831018627385042,0.0
2014-01-01 06:00:00,58.108733371216964,43.82656541474102,47.48001706312896,8.616591985142035,15.072083903651215,29.812488278736183,0.0
2014-01-01 07:00:00,57.909114847405704,47.62106266583804,55.62831454640388,9.868683538583348,13.620854538750814,29.91782364948948,0.0
2014-01-01 08:00:00,54.55756560352575,42.0195307658403,49.42727606138031,8.242332920107938,10.441634110991945,29.875684965708857,0.0
2014-01-01 09:00:00,54.20003874304594,44.807006019765964,62.42856485568879,8.810498791267365,14.17530178659699,29.89393099219934,0.0
2014-01-01 10:00:00,56.28457154270977,43.82374997698084,49.85542219349872,9.793673396312158,13.025671187112666,29.90458936379818,0.0
2014-01-01 11:00:00,53.63098477321823,46.58296952382656,73.08989962106276,8.539597329022914,12.68453387270977,29.88248767572744,0.0
2014-01-01 12:00:00,56.55071489666753,47.84006754863221,68.5784440943157,8.838459498933183,10.873455815470937,29.842004204212447,0.0
2014-01-01 13:00:00,62.143015968834206,50.80073598069806,70.07226250472768,7.529197353144234,13.520860095673248,29.917216417865294,0.0
2014-01-01 14:00:00,65.02153248969655,59.839952833625766,84.45799258961034,9.631576865638083,14.14467061229871,29.857730875526585,0.0575376059297723
2014-01-01 15:00:00,71.72138029466929,59.496767191279744,58.916362368570134,8.289366546443604,14.916433168903414,29.87330083459459,0.0
2014-01-01 16:00:00,73.32391694248189,59.96856192980022,51.956374097487846,8.340326630319652,11.93838462442665,29.905845701628422,0.0
2014-01-01 17:00:00,76.09892798560266,67.10751137466315,69.23382699289905,10.504602196344258,14.797954269505873,29.868301763739673,0.0
2014-01-01 18:00:00,85.12783441557904,75.6484102438074,69.45634073978717,8.448329512108117,14.77396044964343,29.78169948532653,0.0
2014-01-01 19:00:00,84.29501715490343,70.78219503273812,54.356030233247076,9.872864114768193,13.799099900999456,29.92602950217668,0.0
2014-01-01 20:00:00,86.54541036580633,73.788864012546,63.17509040286686,10.202750561946399,14.887887578722705,29.938219152132653,0.0
2014-01-01 21:00:00,84.23534547012096,76.3538505797872,65.40834278119407,10.002421993161263,12.471682521844588,29.78545176518525,0.0
