family,map_name,agents,seed,method,success,runtime_sec,sum_of_costs,makespan,final_collisions,iterations
empty,eval_map_empty_10,20,7082,LNS-PP,1,2.290024829999311,620.0,31.0,0,2
empty,eval_map_empty_10,20,7082,MARL-LNS-PP,1,1.0271264819966746,980.0,49.0,0,2
empty,eval_map_empty_10,20,7082,PP,1,0.7506438569980673,620.0,31.0,0,1
empty,eval_map_empty_10,20,7082,PP-RR,1,0.716691584995715,620.0,31.0,0,1
empty,eval_map_empty_10,32,7094,LNS-PP,1,5.112546523996571,1344.0,42.0,0,3
empty,eval_map_empty_10,32,7094,MARL-LNS-PP,1,10.34984654100117,2016.0,63.0,0,3
empty,eval_map_empty_10,32,7094,PP,1,2.5272883939978783,1344.0,42.0,0,1
empty,eval_map_empty_10,32,7094,PP-RR,1,1.4606542820038158,1344.0,42.0,0,1
empty,eval_map_empty_24,20,7113,LNS-PP,1,0.05021055600082036,520.0,26.0,0,1
empty,eval_map_empty_24,20,7113,MARL-LNS-PP,1,0.06968877199687995,520.0,26.0,0,1
empty,eval_map_empty_24,20,7113,PP,1,0.3280042219994357,520.0,26.0,0,1
empty,eval_map_empty_24,20,7113,PP-RR,1,0.41788925800210563,520.0,26.0,0,1
empty,eval_map_empty_24,32,7125,LNS-PP,1,2.4509770369986654,1184.0,37.0,0,3
empty,eval_map_empty_24,32,7125,MARL-LNS-PP,1,3.176062334998278,1568.0,49.0,0,2
empty,eval_map_empty_24,32,7125,PP,1,1.4540019029955147,1184.0,37.0,0,1
empty,eval_map_empty_24,32,7125,PP-RR,1,1.3143225470048492,1184.0,37.0,0,1
empty,eval_map_empty_39,20,7020,LNS-PP,1,0.2213091239973437,720.0,36.0,0,1
empty,eval_map_empty_39,20,7020,MARL-LNS-PP,1,0.3768471849980415,720.0,36.0,0,1
empty,eval_map_empty_39,20,7020,PP,1,0.6096173959958833,720.0,36.0,0,1
empty,eval_map_empty_39,20,7020,PP-RR,1,0.7173077449988341,720.0,36.0,0,1
empty,eval_map_empty_39,32,7032,LNS-PP,1,1.422087767998164,1056.0,33.0,0,2
empty,eval_map_empty_39,32,7032,MARL-LNS-PP,1,9.072135998001613,1504.0,47.0,0,2
empty,eval_map_empty_39,32,7032,PP,1,0.8083270220013219,1056.0,33.0,0,1
empty,eval_map_empty_39,32,7032,PP-RR,1,0.9089263249989017,1056.0,33.0,0,1
empty,eval_map_empty_44,20,7051,LNS-PP,1,0.6760703750042012,780.0,39.0,0,2
empty,eval_map_empty_44,20,7051,MARL-LNS-PP,1,0.12350018799770623,980.0,49.0,0,1
empty,eval_map_empty_44,20,7051,PP,1,0.3527859730020282,780.0,39.0,0,1
empty,eval_map_empty_44,20,7051,PP-RR,1,0.3564351680033724,780.0,39.0,0,1
empty,eval_map_empty_44,32,7063,LNS-PP,1,1.6042710070032626,1376.0,43.0,0,2
empty,eval_map_empty_44,32,7063,MARL-LNS-PP,1,2.204742379995878,1504.0,47.0,0,1
empty,eval_map_empty_44,32,7063,PP,1,0.8203721669997321,1376.0,43.0,0,1
empty,eval_map_empty_44,32,7063,PP-RR,1,0.7585533669989672,1376.0,43.0,0,1
maze,eval_map_maze_30,10,7134,LNS-PP,1,0.005223038999247365,360.0,36.0,0,1
maze,eval_map_maze_30,10,7134,MARL-LNS-PP,1,0.03210529399802908,360.0,36.0,0,1
maze,eval_map_maze_30,10,7134,PP,1,0.11205392000556458,360.0,36.0,0,1
maze,eval_map_maze_30,10,7134,PP-RR,1,0.06882999499794096,360.0,36.0,0,1
maze,eval_map_maze_30,16,7140,LNS-PP,1,0.6942284260003362,592.0,37.0,0,2
maze,eval_map_maze_30,16,7140,MARL-LNS-PP,1,0.9358655600008206,592.0,37.0,0,2
maze,eval_map_maze_30,16,7140,PP,1,0.5691746129959938,528.0,33.0,0,1
maze,eval_map_maze_30,16,7140,PP-RR,1,0.31469952200131956,528.0,33.0,0,1
maze,eval_map_maze_42,10,7165,LNS-PP,1,0.4507718800014118,280.0,28.0,0,2
maze,eval_map_maze_42,10,7165,MARL-LNS-PP,1,0.33193971600121586,520.0,52.0,0,1
maze,eval_map_maze_42,10,7165,PP,0,0.9554244160026428,,,-1,1
maze,eval_map_maze_42,10,7165,PP-RR,1,2.9098252979965764,280.0,28.0,0,4
maze,eval_map_maze_42,16,7171,LNS-PP,1,0.9622889110032702,592.0,37.0,0,2
maze,eval_map_maze_42,16,7171,MARL-LNS-PP,1,0.8833683310003835,592.0,37.0,0,2
maze,eval_map_maze_42,16,7171,PP,1,0.7475948569990578,640.0,40.0,0,1
maze,eval_map_maze_42,16,7171,PP-RR,1,0.6556093089966453,640.0,40.0,0,1
maze,eval_map_maze_52,10,7227,LNS-PP,1,0.11850597800366813,310.0,31.0,0,1
maze,eval_map_maze_52,10,7227,MARL-LNS-PP,1,0.10935492000135127,310.0,31.0,0,1
maze,eval_map_maze_52,10,7227,PP,1,0.12409560599917313,310.0,31.0,0,1
maze,eval_map_maze_52,10,7227,PP-RR,1,0.15546846500365064,310.0,31.0,0,1
maze,eval_map_maze_52,16,7233,LNS-PP,1,2.7324538699976983,704.0,44.0,0,3
maze,eval_map_maze_52,16,7233,MARL-LNS-PP,1,1.0575920730043435,656.0,41.0,0,2
maze,eval_map_maze_52,16,7233,PP,1,0.7932434110043687,656.0,41.0,0,1
maze,eval_map_maze_52,16,7233,PP-RR,1,0.8064455579951755,656.0,41.0,0,1
maze,eval_map_maze_76,10,7196,LNS-PP,1,0.19866753100359347,440.0,44.0,0,1
maze,eval_map_maze_76,10,7196,MARL-LNS-PP,1,0.7084049839977524,650.0,65.0,0,2
maze,eval_map_maze_76,10,7196,PP,1,0.28469394100102363,400.0,40.0,0,1
maze,eval_map_maze_76,10,7196,PP-RR,1,0.29020051100087585,400.0,40.0,0,1
maze,eval_map_maze_76,16,7202,LNS-PP,1,5.064210438998998,688.0,43.0,0,2
maze,eval_map_maze_76,16,7202,MARL-LNS-PP,1,2.6143700489992625,688.0,43.0,0,2
maze,eval_map_maze_76,16,7202,PP,1,0.6463455409975722,688.0,43.0,0,1
maze,eval_map_maze_76,16,7202,PP-RR,1,0.6997585709978011,688.0,43.0,0,1
random_large,eval_map_21,20,7516,LNS-PP,1,0.28759897199779516,1460.0,73.0,0,1
random_large,eval_map_21,20,7516,MARL-LNS-PP,1,0.288053188000049,1460.0,73.0,0,1
random_large,eval_map_21,20,7516,PP,1,0.5540633690034156,1460.0,73.0,0,1
random_large,eval_map_21,20,7516,PP-RR,1,0.6234843779966468,1460.0,73.0,0,1
random_large,eval_map_40,20,7547,LNS-PP,1,1.3320383009995567,1220.0,61.0,0,2
random_large,eval_map_40,20,7547,MARL-LNS-PP,1,1.1254587980001816,1220.0,61.0,0,2
random_large,eval_map_40,20,7547,PP,1,0.7071146590024,1220.0,61.0,0,1
random_large,eval_map_40,20,7547,PP-RR,1,0.8573734349993174,1220.0,61.0,0,1
random_medium,eval_map_17,16,7388,LNS-PP,0,182.4519567019961,560.0,35.0,5,24
random_medium,eval_map_17,16,7388,MARL-LNS-PP,1,6.011660383999697,864.0,54.0,0,2
random_medium,eval_map_17,16,7388,PP,0,2.039993284997763,,,-1,1
random_medium,eval_map_17,16,7388,PP-RR,1,2.641183629995794,560.0,35.0,0,2
random_medium,eval_map_17,24,7396,LNS-PP,1,0.605125173999113,696.0,29.0,0,2
random_medium,eval_map_17,24,7396,MARL-LNS-PP,1,0.6378665019947221,696.0,29.0,0,2
random_medium,eval_map_17,24,7396,PP,1,0.3901874169969233,696.0,29.0,0,1
random_medium,eval_map_17,24,7396,PP-RR,1,0.3691691330022877,696.0,29.0,0,1
random_medium,eval_map_26,16,7419,LNS-PP,1,0.09269317299913382,432.0,27.0,0,1
