ISO3,Country,sample_count,estimated_mangrove_area_ha,mean_composite_risk,mean_hazard_index,mean_tc_hazard,mean_slr_cm_2100,mean_service_index,p90_composite_risk,high_risk_area_ha,high_risk_area_share,scenario
PHL,Philippines,4370.0,6502333.196999999,0.5835331858951882,0.6553422671515803,0.36744940844503676,5.534805491990848,0.8528735077313268,0.6838336269979418,973118.0573999998,0.1496567505720824,ssp245
CHN,China,776.0,1154647.7256,0.5009188392627454,0.4123863421459589,0.17359678223006214,4.483762886597938,0.9824188939658864,0.5296076137355903,0.0,0.0,ssp245
VNM,Viet Nam,1708.0,2541415.3548,0.49473099059198095,0.3970043660063502,0.12299365590028823,4.547248243559719,0.9874293586293525,0.5095645905724706,0.0,0.0,ssp245
IDN,Indonesia,19581.0,29135511.746099994,0.4655045269533192,0.4014004874592157,0.12998836320299284,4.553000357489404,0.8826809440790379,0.5105550693518399,0.0,0.0,ssp245
SLB,Solomon Islands,783.0,1165063.3623000002,0.4640500448246792,0.680537749739486,0.6240464445619862,4.758492975734354,0.41260389984978724,0.4964340519202284,0.0,0.0,ssp245
AUS,Australia,5666.0,8430713.9346,0.461074192212256,0.4735154817133031,0.36324720945555083,4.268108012707377,0.7477215045186812,0.5790502058682397,0.0,0.0,ssp245
GUM,Guam,13.0,19343.3253,0.452843671429991,0.905687342859982,0.8113746857199639,6.676923076923078,0.0,0.4540586402420837,0.0,0.0,ssp245
TWN,"Taiwan, Province of China",89.0,132427.3809,0.4436429608954259,0.43238725794397886,0.16428294285424988,4.641573033707867,0.7581644397447883,0.48588972782178447,0.0,0.0,ssp245
JPN,Japan,154.0,229144.00739999994,0.4368443179048289,0.5741903485949563,0.4255722556314706,4.712987012987015,0.499163812024503,0.4572172558106463,0.0,0.0,ssp245
FJI,Fiji,620.0,922527.8219999999,0.41241556283748654,0.5946477112274056,0.7032571160031984,3.955322580645161,0.3836390240792794,0.45571670722378377,0.0,0.0,ssp245
WLF,Wallis and Futuna,11.0,16367.4291,0.41099466201250695,0.8219893240250139,0.8002286480500277,5.100000000000002,0.0,0.41113521136010234,0.0,0.0,ssp245
WSM,Samoa,18.0,26783.065800000004,0.4075959963358339,0.7949652777777776,0.7999999999999998,4.927777777777777,0.033711191489817,0.42105085744694515,0.0,0.0,ssp245
HKG,Hong Kong,29.0,43150.49490000001,0.4012142404773382,0.4552285614744486,0.24127608846613885,4.541379310344826,0.5786665324670467,0.4119833672465534,0.0,0.0,ssp245
BGD,Bangladesh,2967.0,4414742.0127,0.39584293481038,0.2646250118944616,0.06944213703462584,3.8713852376137514,0.8784347628771642,0.40761732932420913,0.0,0.0,ssp245
ASM,American Samoa,6.0,8927.6886,0.3953125,0.790625,0.8,4.900000000000001,0.0,0.39531250000000007,0.0,0.0,ssp245
TUV,Tuvalu,15.0,22319.221500000003,0.38195131548258177,0.7639026309651635,0.5736385952636601,5.453333333333333,0.0,0.44414208344372036,0.0,0.0,ssp245
PLW,Palau,73.0,108620.21129999998,0.3811455817026997,0.7622911634053994,0.7446165733861412,4.895890410958905,0.0,0.3869316812461793,0.0,0.0,ssp245
MYS,Malaysia,2998.0,4460868.4037999995,0.37958918451952667,0.3857739176778555,0.09359586737705868,4.569446297531688,0.6223407522686628,0.41666657374821425,0.0,0.0,ssp245
IND,India,3490.0,5192938.869000001,0.36956157607181567,0.1781775915031603,0.03583226037021759,3.4244412607449846,0.9349092677341182,0.41757838176377987,0.0,0.0,ssp245
KHM,Cambodia,395.0,587739.4994999999,0.3635799565382813,0.3323737747857056,0.05462096729293009,4.352405063291141,0.6579768971514282,0.372215372753377,0.0,0.0,ssp245
THA,Thailand,1580.0,2350957.9979999997,0.36293322778443865,0.3391848306132846,0.06666080046707545,4.357468354430381,0.644469374925988,0.3868274849667296,0.0,0.0,ssp245
BRA,Brazil,7369.0,10964689.5489,0.3612038256154054,0.23240178039962395,0.029080430116658753,3.794314018184286,0.8166764513853114,0.408335338706662,0.0,0.0,ssp245
MMR,Myanmar,3023.0,4498067.1063,0.356072963407856,0.2797006394072473,0.030518546429446597,4.092424743632154,0.7207421456807748,0.3675847003237368,0.0,0.0,ssp245
MEX,Mexico,4583.0,6819266.142299999,0.346955747424853,0.24930235131796674,0.3375884469082442,2.905193104953089,0.7410152392195658,0.4764106764170325,0.0,0.0,ssp245
PNG,Papua New Guinea,3382.0,5032240.4742,0.3443083579835313,0.3929802702685788,0.303655321731717,3.9433767001774105,0.4927274094974734,0.41146507982463193,0.0,0.0,ssp245
MDG,Madagascar,1226.0,1824224.3705999998,0.3417425132189471,0.3365059842950336,0.2713500599440639,3.685318107667211,0.5782984035714345,0.3907067699529816,0.0,0.0,ssp245
CUB,Cuba,1815.0,2700625.8015000005,0.33835376768249964,0.3611838531000435,0.33719208636537634,3.6325619834710743,0.5258728037749264,0.3956848264431693,0.0,0.0,ssp245
PRI,Puerto Rico,122.0,181529.66820000004,0.33612968294999934,0.34121240857999485,0.1450272761763833,4.11967213114754,0.5517449288666733,0.34254557229350585,0.0,0.0,ssp245
BLZ,Belize,398.0,592203.3438,0.335729903054656,0.4470255018828814,0.677342461052195,3.0934673366834184,0.37405717371071767,0.37113088241253506,0.0,0.0,ssp245
FSM,"Micronesia, Federated States of",168.0,249975.28079999995,0.33036324177572063,0.6526794263207925,0.5356415907368229,4.929166666666668,0.013411762051081435,0.45714289793718615,0.0,0.0,ssp245
JAM,Jamaica,136.0,202360.94159999996,0.32892590733412613,0.40831727867277356,0.4735738955808412,3.49779411764706,0.4158908933257978,0.3556199074980334,0.0,0.0,ssp245
HTI,Haiti,209.0,310981.1529,0.3258733659036982,0.31000171913557695,0.18698908420416824,3.785645933014355,0.5695750211196989,0.35423365324301165,0.0,0.0,ssp245
MOZ,Mozambique,1751.0,2605397.1231000004,0.32397712490020497,0.31357976112389696,0.20525775183088957,3.750085665334094,0.5572908144608549,0.3547339725245723,0.0,0.0,ssp245
BRN,Brunei Darussalam,89.0,132427.3809,0.32101400256524515,0.4398803831384448,0.19226076627688957,4.6000000000000005,0.3369127033200758,0.3253679731717166,0.0,0.0,ssp245
USA,United States,1878.0,2794366.5318000005,0.31950777777029893,0.17200167372683206,0.2649132249829506,2.615015974440894,0.7783564696896095,0.3527370361788233,0.0,0.0,ssp245
TON,Tonga,30.0,44638.443000000014,0.31881811605402915,0.4633631318259689,0.3704762636519383,4.18,0.2904551671368157,0.3759217910396363,0.0,0.0,ssp245
DOM,Dominican Republic,180.0,267830.658,0.311803149280707,0.3185031485493989,0.14395074154324236,3.9777777777777783,0.5085052500200253,0.3436780736511789,0.0,0.0,ssp245
VEN,"Venezuela, Bolivarian Republic of",1894.0,2818173.7014000006,0.305077519341504,0.2316285744664049,0.160838326335133,3.3677402323125656,0.6308774403610051,0.31436798905834984,0.0,0.0,ssp245
VUT,Vanuatu,18.0,26783.065800000004,0.30424923231719225,0.39944938455168133,0.554107102436696,3.1833333333333327,0.3484151334711719,0.32290672838652734,0.0,0.0,ssp245
SYC,Seychelles,121.0,180041.72010000004,0.3000259146652574,0.4030506921859035,0.46545055792552614,3.490082644628099,0.32833522857435243,0.32328191885248037,0.0,0.0,ssp245
GUY,Guyana,247.0,367523.18070000014,0.2987268879349648,0.25171953547397347,0.14766984017871626,3.538461538461537,0.5762237339932602,0.31248516988738617,0.0,0.0,ssp245
BHS,Bahamas,1484.0,2208114.9804,0.29603277138890033,0.3451834326336213,0.23519924397344208,3.8565363881401615,0.4114701835736323,0.3129777909919957,0.0,0.0,ssp245
