lat_band,area_ha,mean_composite_risk,mean_tc_hazard,mean_slr_cm_2100,mean_hazard_index,scenario
-40,806467.8701999999,0.27510997967626816,0.0,3.8127306273062738,0.2207391605166052,ssp245
-35,540125.1602999999,0.3006272631142107,0.0,3.863085399449037,0.22860709366391188,ssp245
-30,1410574.7988000002,0.3354988682582812,0.015009338286506722,3.947995780590717,0.24937900986055292,ssp245
-25,3352347.0692999996,0.28162782161538424,0.08118692436389617,3.8574345317354646,0.26831760776561425,ssp245
-20,6936814.042199999,0.40211953563500097,0.34851506887067285,4.030823680823681,0.42907373456403647,ssp245
-15,6554411.380499999,0.4560016500401983,0.4630015425764378,4.138251986379116,0.5031026441599555,ssp245
-10,14117651.5728,0.42406302080372416,0.29007085565827695,4.264154721753795,0.4363096031031688,ssp245
-5,25391834.3265,0.3972491384670748,0.06365993947232279,4.192991503076473,0.31198489209186014,ssp245
0,18441628.7514,0.3379228222630694,0.026896940675434782,3.9414394061642732,0.2542983775508851,ssp245
5,18489243.0906,0.3314558318848615,0.10791440260076009,4.001005955255112,0.30261173614667003,ssp245
10,17486366.0712,0.3549180472034487,0.1617909191686574,4.104195030633084,0.34175132454348456,ssp245
15,10248986.5128,0.333798666323592,0.2269195124384647,3.4660423925667834,0.2798428681530302,ssp245
20,18987705.704099998,0.35692258115681674,0.17115237690759033,3.5352480213149446,0.2636823321729394,ssp245
25,5959232.140500002,0.2863285613755615,0.23491455165999553,2.7801747815230957,0.18158414848917373,ssp245
30,71421.5088,0.21757909501877534,0.024052481483105202,3.716666666666667,0.21970853240821922,ssp245
-40,806467.8701999999,0.35838191916649637,0.0,7.291328413284133,0.3872830394970618,ssp370
-35,540125.1602999999,0.3587295932335863,0.0,7.061983471074383,0.34481175390266305,ssp370
-30,1410574.7988000002,0.4145831856320896,0.015009338286506722,7.360232067510549,0.4075476446081699,ssp370
-25,3352347.0692999996,0.37735460976616275,0.08118692436389617,7.600133155792278,0.45977118406717127,ssp370
-20,6936814.042199999,0.45353708661852427,0.34851506887067285,7.131488631488633,0.5319088365310831,ssp370
-15,6554411.380499999,0.4946888794091815,0.4630015425764378,7.084835414301931,0.5804771028979218,ssp370
-10,14117651.5728,0.443112515828629,0.29007085565827695,6.978952360876899,0.47440859315297845,ssp370
-5,25391834.3265,0.4397524414697553,0.06365993947232279,7.179712862584238,0.3969914980972211,ssp370
0,18441628.7514,0.3981946215655993,0.026896940675434782,7.151879941907374,0.3748419761559449,ssp370
5,18489243.0906,0.38360813835397345,0.10791440260076009,7.10884435860293,0.40691634908489405,ssp370
10,17486366.0712,0.39583683584935303,0.1617909191686574,7.050884955752214,0.4235889018352932,ssp370
15,10248986.5128,0.38517151651662773,0.2269195124384647,6.653368176538907,0.3825885685391016,ssp370
20,18987705.704099998,0.39237139147877576,0.17115237690759033,6.4977666327090375,0.33457995281685743,ssp370
25,5959232.140500002,0.324094504987713,0.23491455165999553,5.942097378277153,0.2571160357134767,ssp370
30,71421.5088,0.2285141837533432,0.024052481483105202,6.4229166666666675,0.24157870987735502,ssp370
-40,806467.8701999999,0.3225553704248185,0.0,8.925645756457568,0.31562994201370603,ssp585
-35,540125.1602999999,0.28828488642524325,0.0,8.456473829201105,0.2039223402859768,ssp585
-30,1410574.7988000002,0.3364096987033285,0.015009338286506722,8.623523206751054,0.2512006707506475,ssp585
-25,3352347.0692999996,0.31188047416330983,0.08118692436389617,8.810563692853973,0.3288229128614655,ssp585
-20,6936814.042199999,0.43312239755304155,0.34851506887067285,8.931617331617334,0.49107945840011774,ssp585
-15,6554411.380499999,0.49075095413186914,0.4630015425764378,9.034006810442682,0.5726012523432972,ssp585
-10,14117651.5728,0.4796876773247434,0.29007085565827695,9.306028667790896,0.5475589161452071,ssp585
-5,25391834.3265,0.4270452698554638,0.06365993947232279,9.029539994140054,0.37157715486863824,ssp585
0,18441628.7514,0.353764841154699,0.026896940675434782,8.744650637405197,0.28598241533414437,ssp585
5,18489243.0906,0.3403179982909379,0.10791440260076009,8.720867535812008,0.32033606895882294,ssp585
10,17486366.0712,0.35616273782348506,0.1617909191686574,8.707224302246427,0.34424070578355725,ssp585
15,10248986.5128,0.35173709487082394,0.2269195124384647,8.449622531939605,0.3157197252474942,ssp585
20,18987705.704099998,0.3680967642145709,0.17115237690759033,8.438288535381242,0.28603069828844774,ssp585
25,5959232.140500002,0.2846943504190191,0.23491455165999553,7.798751560549312,0.17831572657608896,ssp585
30,71421.5088,0.15838080632829918,0.024052481483105202,7.6395833333333325,0.10131195502726689,ssp585
