ML,NO.,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Glass (kPa)_max,source,predicted_by_best,within_1MPa_gap,mahalanobis_to_training
RFR-RFR,1,0.06884542092530306,0.32659784674289927,0.029678038914051935,0.33709696774407394,0.22780497069414712,0.009976754979524381,115.3857041755131,EI,52.28806928252949,947.7119307174705,3.1378487075649066
RFR-RFR,2,0.0705569241329276,0.28289794171587374,0.019934387044717033,0.040593946600422585,0.38380140523527995,0.20221539527078194,182.9865534324133,EI,180.12882878551244,819.8711712144875,5.595487164669787
RFR-RFR,3,0.019795136119078297,0.45561467165176217,0.0693951389729064,0.049429891497451035,0.16830769773315357,0.2374574640256487,149.58244869072894,EI,178.04887334719967,821.9511266528003,4.931775039708624
RFR-RFR,4,0.07000394945633134,0.3797019603386503,0.03986354608559462,0.05035568111607122,0.13997395371555724,0.32010090928779855,87.98301486199576,EI,129.36437284096874,870.6356271590313,6.414101875035225
RFR-RFR,5,0.09135703872266165,0.42406318890205646,0.060534257477514106,0.2320105921667729,0.14137585140767983,0.05065907132331367,123.14225053078556,EI,103.2685688449958,896.7314311550042,2.171618110716888
RFR-RFR,6,0.09943975697769035,0.08119328219560237,0.1790867092533545,0.06978178038710518,0.14936616968528024,0.4211323015009711,37.310686482661005,EI,89.4398712392761,910.560128760724,8.918913889356746
RFR-RFR,7,0.227224803109542,0.09873085979990148,0.2572130615716996,0.07912182520738337,0.14841845038052473,0.18929099993094667,65.84571832979476,EI,70.90702232297042,929.0929776770296,4.6779037684255895
RFR-RFR,8,0.02050118733233578,0.319769269353473,0.04003455579891344,0.04053218574791113,0.059931601695884,0.5192312000714863,37.14083510261854,EI,95.51805169571209,904.4819483042879,10.419785867325555
RFR-RFR,9,0.12129440786166334,0.34304732594513415,0.04073460810304279,0.040604246190731726,0.4543194118994327,0.0,93.36164189667375,EI,154.74163774710877,845.2583622528912,4.726611337966369
RFR-RFR,10,0.1793287325198463,0.2501117032747501,0.12054717063892714,0.15981108323826002,0.2699873548489832,0.020213955479231358,123.14225053078556,EI,129.87471131783357,870.1252886821665,2.630324639923301
RFR-GP,1,0.0,0.2527142641696688,0.03983828851648235,0.11149497883067107,0.3333308161401877,0.26262165234298546,121.27388535031847,EI,230.97628854133575,769.0237114586643,6.1982787700799715
RFR-GP,2,0.0,0.5052813906643826,0.0,0.07068748451055998,0.15105430447562626,0.27297682034942733,138.20240622788393,EI,199.50409608812373,800.4959039118762,5.623384084177318
RFR-GP,3,0.0,0.1394755208280519,0.45021998254641005,0.10996599804341498,0.30033849858212264,0.0,125.35031847133757,EI,186.37266712996296,813.627332870037,5.745445392832659
RFR-GP,4,0.0,0.5862277169858116,0.0,0.08070109448767526,0.33307118852651296,0.0,272.3849964614296,EI,310.7928407864313,689.2071592135687,3.8189292650145767
RFR-GP,5,0.22026767528275587,0.31950915131503504,0.0,0.13017463865850953,0.3300485347437033,0.0,104.45859872611464,EI,138.19665702636146,861.8033429736386,3.0842759131719353
RFR-GP,6,0.0,0.6694037395676202,0.1801772670242751,0.08059419584412708,0.06982479756398181,0.0,110.85633404104742,EI,157.6462001435097,842.3537998564902,2.612105678852722
RFR-GP,7,0.09019319805734387,0.6394575527072175,0.0,0.07022192728620198,0.20012732194923546,0.0,205.1238499646143,EI,199.00432631053525,800.9956736894648,3.0466612024204047
RFR-GP,8,0.12007216990540996,0.499946645104958,0.0,0.06998318899510875,0.30999799599452477,0.0,258.1740976645435,EI,214.52527495558797,785.474725044412,3.3426054772497404
RFR-GP,9,0.0,0.48425920995183225,0.0,0.09102000698981905,0.4247207830583444,0.0,197.76362349610758,EI,271.4397013808545,728.5602986191454,4.426817612847625
RFR-GP,10,0.0,0.6800526006189997,0.0,0.09985284603006436,0.2200945533509406,0.0,321.18895966029726,EI,273.2733592788461,726.7266407211539,3.3503353489365377
GP-GP,1,0.0,0.2695054826505967,0.0499425117731952,0.12008353248247922,0.3505987978332005,0.20986967526052855,95.96602972399151,EI,235.12448876188296,764.875511238117,5.42245080299421
GP-GP,2,0.0,0.43921356343284346,0.0,0.05996213303292419,0.13983642447619687,0.3609878790580323,72.13021939136588,EI,174.22789241461464,825.7721075853854,7.2910095436153295
GP-GP,3,0.0,0.6866802313494658,0.0,0.10116700465156638,0.21215276399897148,0.0,216.1641896673744,EI,267.7573749213597,732.2426250786402,3.3380018257329676
GP-GP,4,0.0,0.6696058409186365,0.0,0.10017596063123838,0.17015598826332723,0.06006221018679824,169.6815286624204,EI,236.44509301148918,763.5549069885108,3.1022006567460867
GP-GP,5,0.0,0.6921834555062866,0.0,0.10968910475579655,0.16839063220806516,0.029736807529850716,248.54918612880397,EI,235.04212083531303,764.957879164687,3.130733851302511
GP-GP,6,0.0,0.6805383235345969,0.0,0.10992958475014866,0.14978719904546114,0.05974489266979317,164.41613588110403,EI,220.85194286399462,779.1480571360054,3.07646781010793
GP-GP,7,0.03981297918803201,0.15005038298283863,0.3800101218052041,0.11010533715715531,0.32002117886676795,0.0,109.32767162066526,EI,180.1767195842807,819.8232804157193,5.208564011988591
GP-GP,8,0.0,0.6802319727129349,0.0,0.0999317619993385,0.16994452648896496,0.04989173879876124,134.80537862703468,EI,236.22706756459718,763.7729324354028,3.1032583869043195
GP-GP,9,0.0,0.6698724083478642,0.0,0.09992410157279753,0.16034664571542787,0.06985684436391423,193.97027600849256,EI,228.76865446699884,771.2313455330011,3.117849906589758
GP-GP,10,0.0,0.729439933008693,0.0,0.11007404150995177,0.1400028008912618,0.020483224590092084,199.34890304317057,EI,212.13230922721095,787.867690772789,3.254489174985529
GP-RFR,1,0.0692378865429358,0.3269641513459878,0.029726709642903068,0.3369543479492612,0.22736798017860224,0.009748924340310007,110.2901627742392,EI,52.36748372191219,947.6325162780878,3.1272562484688184
GP-RFR,2,0.06043102568664179,0.28979046121354424,0.02962688890561993,0.05000242158040647,0.10002218431185886,0.47012701830192644,48.69072894550602,EI,104.53918510675615,895.4608148932439,9.444394034420158
GP-RFR,3,0.04972352737245708,0.2400799631010814,0.029760912926648043,0.08012129801856045,0.28995971170185686,0.31035458687939654,74.11181882519462,EI,192.0186909057491,807.981309094251,6.827006898352719
GP-RFR,4,0.10061024173575601,0.4097312981358741,0.0496967656056116,0.04997852531172399,0.21021552666374288,0.17976764254729177,130.72894550601558,EI,154.5368943528319,845.463105647168,3.9777020376550647
GP-RFR,5,0.07887924971028838,0.5152114137076993,0.03967127739027571,0.03952070717234672,0.3066737384252711,0.020043613594118773,254.04104741684358,EI,222.15691502458128,777.8430849754187,3.4014627465735163
GP-RFR,6,0.059479369946234685,0.15959700831454746,0.11013292957208375,0.1702466547149691,0.37014010177039636,0.13040393568176872,136.2208067940552,EI,164.26799208988587,835.7320079101141,4.696557724368586
GP-RFR,7,0.020486070904598756,0.3202515436670955,0.03969950138638956,0.040535607064567845,0.0600045549268573,0.5190227220504914,74.73460721868365,EI,95.59425169392503,904.405748306075,10.41583478927287
GP-RFR,8,0.19012443032465587,0.13013187366362483,0.08983645080346277,0.16996133637818892,0.3302152284339405,0.08973068039612707,102.64685067232838,EI,119.56827034800939,880.4317296519906,3.7744350630847645
GP-RFR,9,0.11973067162975046,0.09030057988743488,0.10973673846413708,0.07998922755566634,0.15020440509944688,0.45003837736356406,42.40622788393489,EI,89.56804031756246,910.4319596824375,9.35398299508637
GP-RFR,10,0.119716575156047,0.1496158631863494,0.06968073195358354,0.11989999951338076,0.23020479110423533,0.3108820390864083,63.467799009200284,EI,121.79213131984413,878.2078686801559,6.66843088693621
ENU-RFR,1,0.0076698542810283024,0.5908194969948446,0.09188271945307903,0.09522713289899284,0.18602374527201085,0.02837705110004133,118.55626326963906,EI,241.03502568441286,758.9649743155871,2.561156860464788
ENU-RFR,2,0.13200113246503298,0.5865731464642919,0.00728738191315575,0.07534488114498074,0.09658101745493361,0.10221244055760915,111.76220806794055,EI,117.03027804405885,882.9697219559412,2.739243270037527
ENU-RFR,3,0.03287831731405658,0.5899099580820163,0.08876638694710208,0.08851667303787093,0.1493610329381764,0.05056763168077526,111.76220806794055,EI,199.94665606333547,800.0533439366645,2.369946617180013
ENU-RFR,4,0.04770007044429061,0.5916451262972285,0.03582745648021076,0.07729956754504155,0.14629059011329415,0.10123718911993332,102.30714791224345,EI,186.5548171186236,813.4451828813765,2.851998633348808
ENU-RFR,5,0.03580603356186929,0.5899208919997038,0.020893913662986967,0.11540058049161582,0.17234749165836813,0.06563108862545615,122.12314225053079,EI,217.2946336334245,782.7053663665755,2.670323908823225
ENU-GP,1,0.0031130972360894145,0.5209649133930009,0.20697117125103442,0.09989648142802053,0.16687887720925684,0.0021754594825963455,91.38004246284501,EI,221.15562648600007,778.8443735139999,2.5549623607911163
ENU-GP,2,0.01528745814645494,0.5784187222625344,0.08897746101655464,0.0984151012073523,0.1808930094039388,0.03800824796316653,136.10757254069355,EI,232.91749394106387,767.0825060589361,2.475601416149357
ENU-GP,3,0.002746382260607573,0.4926767687012718,0.1597665411373265,0.10694259813533503,0.211762013940233,0.02610569582522884,61.59943382873319,EI,249.19518166169945,750.8048183383005,2.6014375204852813
ENU-GP,4,0.0005236960839860138,0.4599714558299957,0.2037498977332164,0.10388369722589721,0.17864989944769813,0.05322135367920881,114.93276716206653,EI,221.05514380400962,778.9448561959904,2.6133656578261357
ENU-GP,5,0.0019028579845820554,0.5729514090767938,0.03579944059130187,0.09798032458636836,0.14406670643449396,0.14729926132645627,127.95470629865534,EI,210.89560185326053,789.1043981467394,3.447515184213967
CLMax,1,0.2727129961052581,0.5251512121670532,0.050324860710620076,0.070913586061738,0.08089734495533045,0.0,123.42533616418967,EI,57.54166226621216,942.4583377337879,1.769326323210649
CLMax,2,0.1103522089490435,0.6299497149346583,0.04962589054630663,0.10004691836928029,0.08988259918717295,0.02014266801353781,132.88039631988676,EI,131.03195981362882,868.9680401863711,2.318508865964382
CLMax,3,0.09035686515760608,0.6898391619437658,0.059721829623666796,0.10015022979378264,0.05993191348118345,0.0,128.29440905874026,EI,126.48839172507421,873.5116082749258,2.705504714724613
