,electricity,heat,cooling,pv,ghg,temperature,dew_point,humidity,wind_speed,wind_gust,pressure,precipitation
electricity,1.0,-0.007165478203342706,-0.7148465041405204,-0.11882830926300171,0.831136005897237,-0.574439996093871,-0.556723494627915,-0.09388502631625412,0.015451889795223517,0.008495951134722766,-0.01568070902249849,0.0011702356663331659
heat,-0.007165478203342706,1.0,-0.2819572872794473,-0.7297590810563239,0.44594814405541927,0.46134008854473807,0.4442792376286575,0.0836730044405723,-0.0023909462463722955,0.010581858720494918,-0.1017750890136213,-0.004227683010533636
cooling,-0.7148465041405204,-0.2819572872794473,1.0,0.5271733865313067,-0.8105370024740524,0.0014826601295728145,0.0005934230950102421,-0.010195747063135842,-0.028326354386650123,-0.024317283477485626,-0.020887157023795233,-0.00462592776990055
pv,-0.11882830926300171,-0.7297590810563239,0.5271733865313067,1.0,-0.6446582844633763,-0.557705142550077,-0.5396857415186491,-0.1048078905706492,-0.006277402577019711,-0.013681303076276394,0.014435817936821346,0.0066071944603291475
ghg,0.831136005897237,0.44594814405541927,-0.8105370024740524,-0.6446582844633763,1.0,-0.14232416465648304,-0.13870375469418697,-0.01624013525189872,0.013475486768723963,0.013135764637506644,-0.03205167949837217,-0.003264413957167778
temperature,-0.574439996093871,0.46134008854473807,0.0014826601295728145,-0.557705142550077,-0.14232416465648304,1.0,0.9698694726424476,0.1760219778303013,-0.004858761363322817,0.00686833079470677,0.04407250592488342,0.0037971207962804164
dew_point,-0.556723494627915,0.4442792376286575,0.0005934230950102421,-0.5396857415186491,-0.13870375469418697,0.9698694726424476,1.0,0.37713379510326495,-0.0017970664260281905,0.009353577520611273,0.04570620560636473,0.008352316826610294
humidity,-0.09388502631625412,0.0836730044405723,-0.010195747063135842,-0.1048078905706492,-0.01624013525189872,0.1760219778303013,0.37713379510326495,1.0,0.008613089265458205,0.008300627402750449,0.024893892006146903,0.014785191402158115
wind_speed,0.015451889795223517,-0.0023909462463722955,-0.028326354386650123,-0.006277402577019711,0.013475486768723963,-0.004858761363322817,-0.0017970664260281905,0.008613089265458205,1.0,0.8136956753379873,-0.39948747892715786,0.010585196680199513
wind_gust,0.008495951134722766,0.010581858720494918,-0.024317283477485626,-0.013681303076276394,0.013135764637506644,0.00686833079470677,0.009353577520611273,0.008300627402750449,0.8136956753379873,1.0,-0.3266360144881924,0.0060327603279921775
pressure,-0.01568070902249849,-0.1017750890136213,-0.020887157023795233,0.014435817936821346,-0.03205167949837217,0.04407250592488342,0.04570620560636473,0.024893892006146903,-0.39948747892715786,-0.3266360144881924,1.0,-0.014708822997817275
precipitation,0.0011702356663331659,-0.004227683010533636,-0.00462592776990055,0.0066071944603291475,-0.003264413957167778,0.0037971207962804164,0.008352316826610294,0.014785191402158115,0.010585196680199513,0.0060327603279921775,-0.014708822997817275,1.0
