month,electricity,heat,cooling,pv,ghg
1,610.2735510389776,154.53945654205785,281.8611347213238,41.251384413151655,387.2451472197952
2,610.2254908991056,154.9445653984435,282.4537912431156,41.36416734179948,387.40478964680926
3,609.7951042469571,155.4273126134803,283.1919493329153,41.45906083625686,387.4346053559772
4,609.9379316292452,155.29396757939838,282.33172253576515,41.27345033102262,387.3867754300838
5,609.6123532288073,154.54022717910556,282.054557412795,41.36600825974821,386.89615212082026
6,609.9913619132664,155.45905373374163,283.28987095565117,41.406234105582506,387.58825421509465
7,610.5286172296759,154.9236435260242,282.38454284044286,41.229323749250185,387.6036483661087
8,609.4657987546911,154.93365776733697,282.7879342763698,41.31793526334477,387.11161593114826
9,610.0312578201225,155.4257648097416,282.36850221453545,41.37586668438813,387.42912545369677
10,610.2906577290203,154.6166260113159,281.9712947418066,41.243567101612726,387.30279206545987
11,609.5570296080829,154.9507473600077,282.61249380046155,41.372869248484015,387.099803147894
12,609.8450516641461,155.33341413332667,282.31053967544926,41.33436409144018,387.31747596144083
