operator_affiliation,records,share
north american weather consultants,201,0.24158653846153846
weather modification inc,120,0.14423076923076922
western weather consultants llc,108,0.12980769230769232
desert research institute,62,0.07451923076923077
atmospherics inc,52,0.0625
pacific gas and electric company,40,0.04807692307692308
rhs consulting ltd,32,0.038461538461538464
west texas weather modification association,21,0.025240384615384616
idaho power company,21,0.025240384615384616
panhandle groundwater conservation district,19,0.02283653846153846
clark county,17,0.020432692307692308
eden valley irrigation and drainage,16,0.019230769230769232
western kansas groundwater management,15,0.018028846153846152
south texas weather modification association,13,0.015625
water district 34,9,0.010817307692307692
sacramento municipal utility district,9,0.010817307692307692
southwest texas rain enhancement association,9,0.010817307692307692
water enhancement authority,7,0.008413461538461538
colorado river municipal water district,7,0.008413461538461538
north plains groundwater district,6,0.007211538461538462
mud lake water users,5,0.006009615384615385
belding farms,5,0.006009615384615385
franklin soil and water conservation,5,0.006009615384615385
madison county,4,0.004807692307692308
powell plant farms inc,4,0.004807692307692308
rainmaker technology corporation,3,0.003605769230769231
high plains underground water conservation,3,0.003605769230769231
barken fog ops inc,3,0.003605769230769231
barken international inc,2,0.002403846153846154
transpecos weather modification association,2,0.002403846153846154
texas border weather modification association,2,0.002403846153846154
district v cloud seeding consortium,1,0.001201923076923077
awms,1,0.001201923076923077
powell plant farms,1,0.001201923076923077
pacific coast forecasting inc,1,0.001201923076923077
nike noor llc,1,0.001201923076923077
make sunsets incorporated,1,0.001201923076923077
let it snow inc,1,0.001201923076923077
soar program,1,0.001201923076923077
uw college of the environment,1,0.001201923076923077
water district 33,1,0.001201923076923077
