agent,records,share
silver iodide,795,0.6998239436619719
sodium iodide,108,0.09507042253521127
ammonium iodide,79,0.06954225352112677
calcium chloride,28,0.02464788732394366
acetone,26,0.022887323943661973
ionized air,21,0.018485915492957746
hygroscopic aerosols,14,0.01232394366197183
dry ice,14,0.01232394366197183
hygroscopic,8,0.007042253521126761
hygroscopic agents,6,0.00528169014084507
sodium chloride,5,0.0044014084507042256
hygroscopic materials,4,0.0035211267605633804
carbon dioxide,4,0.0035211267605633804
sodium perchlorate,3,0.002640845070422535
water,3,0.002640845070422535
propane,3,0.002640845070422535
ammonium perchlorate,3,0.002640845070422535
cesium iodide,2,0.0017605633802816902
potassium chloride,2,0.0017605633802816902
sulfur dioxide,1,0.0008802816901408451
calcium carbonate,1,0.0008802816901408451
liquid propane,1,0.0008802816901408451
sodium precipitate,1,0.0008802816901408451
ammonium sodium perchlorate,1,0.0008802816901408451
ammonium,1,0.0008802816901408451
silver chloride,1,0.0008802816901408451
potassium iodide,1,0.0008802816901408451
