state,state_title,records,share
california,California,215,0.25841346153846156
colorado,Colorado,142,0.17067307692307693
utah,Utah,130,0.15625
texas,Texas,104,0.125
idaho,Idaho,73,0.08774038461538461
nevada,Nevada,58,0.06971153846153846
wyoming,Wyoming,47,0.056490384615384616
north dakota,North Dakota,44,0.052884615384615384
kansas,Kansas,15,0.018028846153846152
montana,Montana,1,0.001201923076923077
oklahoma,Oklahoma,1,0.001201923076923077
oregon,Oregon,1,0.001201923076923077
south dakota,South Dakota,1,0.001201923076923077
