lattice_a,lattice_b,nearest_training_distance
5.178111598328677,5.844420046737645,0.07787644426963304
5.846912824433425,5.624814917590154,0.07663089174918918
5.832645720091666,5.610913053270505,0.061348873213984016
5.842364040483468,5.6202200711045744,0.07480364076253158
5.853730874816074,5.631472515702145,0.0671020425363529
5.159128782948405,5.824897569818945,0.050647620377271906
5.181072863087354,5.847728737590662,0.07558858949822297
5.857608208058386,5.636159945605059,0.06104880485614341
5.1734327683915415,5.8389805223747135,0.07072008575907478
5.830246998953283,5.609009999229885,0.05830590844141983
5.8591004661127695,5.63771577052651,0.05889407025199673
5.167145432007733,5.833726180434543,0.062562720831231
5.832745297020893,5.6116039775076825,0.061906699612721605
5.855793660194903,5.634507440439758,0.0635014569817539
5.201373476839819,5.867931304136284,0.04694861724432816
5.150811407487615,5.816579300790496,0.03888448395626107
5.2039243791688605,5.87043801238543,0.04337243907377804
5.829133674903177,5.606998281895243,0.05610006385711895
5.841801170151724,5.619374971230099,0.07381017021235517
5.874032960802261,5.651738026776837,0.03841641326500099
