dataset,method,success_rate,mean_runtime,mean_soc,mean_makespan,mean_collisions,mean_norm_soc,n
empty,hybrid_marl_lns,1.0,1.6210290906019509,1354.25,37.75,0.0,1.0147050332604128,4
empty,lns_pp,1.0,1.6218355195596814,1354.25,37.75,0.0,1.0147050332604128,4
empty,pp,1.0,1.542102382518351,1353.5,37.75,0.0,1.0141286117684984,4
empty,rand_pp,1.0,1.5818254458718002,1354.25,37.75,0.0,1.0147050332604128,4
maze,hybrid_marl_lns,0.25,2.850602540653199,inf,inf,7.5,inf,4
maze,lns_pp,0.25,3.5173862245865166,inf,inf,3.5,inf,4
maze,pp,0.0,0.06425155187025666,inf,inf,1.0,inf,4
maze,rand_pp,0.0,0.0933383610099554,inf,inf,1.0,inf,4
random_medium,hybrid_marl_lns,0.25,8.062954486347735,inf,inf,2.25,inf,4
random_medium,lns_pp,0.5,3.309516228735447,inf,inf,0.75,inf,4
random_medium,pp,0.25,0.5111132944002748,inf,inf,0.75,inf,4
random_medium,rand_pp,0.25,0.5673900223337114,inf,inf,0.75,inf,4
random_small,hybrid_marl_lns,0.0,0.20952904736623168,inf,inf,10.0,inf,4
random_small,lns_pp,0.25,0.14852030342444777,inf,inf,4.0,inf,4
random_small,pp,0.0,0.011927970219403505,inf,inf,1.0,inf,4
random_small,rand_pp,0.0,0.015643972903490067,inf,inf,1.0,inf,4
room,hybrid_marl_lns,0.0,8.102740806527436,inf,inf,8.5,inf,4
room,lns_pp,0.0,6.2019700556993484,inf,inf,5.0,inf,4
room,pp,0.0,0.46704956144094467,inf,inf,1.0,inf,4
room,rand_pp,0.0,0.5431319689378142,inf,inf,1.0,inf,4
warehouse,hybrid_marl_lns,0.25,8.284895400516689,inf,inf,1.75,inf,4
warehouse,lns_pp,0.5,2.4322639666497707,1346.0,49.25,1.75,0.8859055902623784,4
warehouse,pp,0.25,0.6243279618211091,inf,inf,0.75,inf,4
warehouse,rand_pp,0.25,0.6396690779365599,inf,inf,0.75,inf,4
