mae,rmse,r2,fold,model
0.20904185131152522,0.2864201610202362,0.6644968167639216,0,short_range_only
0.1642325750404337,0.19843549670231525,0.6725570050044154,1,short_range_only
0.10795790459509234,0.13906386922588906,0.6930661051455397,2,short_range_only
0.269285437102841,0.35550279199254203,0.309698437230315,3,short_range_only
0.1774721497879609,0.30949816788244244,-0.14480652918823633,4,short_range_only
0.211124052479749,0.29253554395102427,0.6500171532214021,0,coulomb_aware
0.165468267829244,0.1943958098877349,0.6857532620695515,1,coulomb_aware
0.1211440153402507,0.152508050630416,0.6308509349916298,2,coulomb_aware
0.2905221635440862,0.369194524576316,0.2555023558432338,3,coulomb_aware
0.1803853505069238,0.30662693439588484,-0.12366417488883674,4,coulomb_aware
