frame,n_atoms,same_sign_mean_distance,opposite_sign_mean_distance,distance_gap_same_minus_opposite,forces_available
0,128,10.259408756553368,10.196859724731548,0.06254903182182048,False
1,128,10.27997192878799,10.267845324809796,0.012126603978193984,False
2,128,9.85882488313368,9.773792036674369,0.08503284645931153,False
3,128,10.03590115655242,9.988971104976367,0.046930051576053344,False
4,128,9.881950840450434,9.812629506729664,0.06932133372077054,False
5,128,10.044395065624185,10.030516335237532,0.013878730386652549,False
6,128,10.243133718110833,10.226968853009147,0.016164865101686132,False
7,128,10.084450111485767,10.09789783390136,-0.013447722415593333,False
8,128,10.07007098087588,9.984929271180912,0.08514170969496782,False
9,128,9.969028316928897,10.077858512382033,-0.10883019545313566,False
10,128,10.150028892555623,10.182196626329173,-0.032167733773549756,False
11,128,9.927322663278906,9.875410034731214,0.05191262854769185,False
12,128,10.090882610938527,10.049044630536887,0.041837980401639996,False
13,128,10.37415179883871,10.397279402563568,-0.023127603724857337,False
14,128,9.85061986818358,9.89173135865842,-0.041111490474840195,False
15,128,10.28714390879266,10.239015623313868,0.048128285478791,False
16,128,10.110518372149832,10.019003143723573,0.09151522842625859,False
17,128,10.240699036593487,10.158460710290882,0.08223832630260475,False
18,128,10.213951353874494,10.18921624010169,0.02473511377280424,False
19,128,10.15718368415138,10.090621363912744,0.06656232023863673,False
20,128,10.227715175818355,10.27498512949858,-0.047269953680224575,False
21,128,10.290660382028172,10.400273045270195,-0.10961266324202334,False
22,128,10.094301706425645,10.08183012813765,0.012471578287994944,False
23,128,10.003196982971447,10.028943013734706,-0.025746030763258432,False
24,128,10.442236467957464,10.57751177319056,-0.13527530523309572,False
25,128,10.080316408716664,10.087099226962705,-0.006782818246040989,False
26,128,10.246575363217,10.229344878193308,0.017230485023691955,False
27,128,10.40576006245469,10.470485107044716,-0.06472504459002693,False
28,128,10.435048138920207,10.366515530165863,0.06853260875434408,False
29,128,9.946209882167336,10.03316253741659,-0.08695265524925411,False
30,128,10.256149254113888,10.20073222396685,0.05541703014703714,False
31,128,9.984274127948842,9.90716554473471,0.07710858321413205,False
32,128,9.94959308260605,9.869074063538598,0.08051901906745229,False
33,128,9.914561971408022,9.958911731644966,-0.044349760236944036,False
34,128,10.3270597991533,10.318745465975535,0.008314333177764865,False
35,128,9.976095769424196,10.042707013851384,-0.0666112444271878,False
36,128,10.006603534404562,9.991974351637754,0.014629182766807247,False
37,128,9.765385205786473,9.805525471671638,-0.040140265885165505,False
38,128,9.894265306949519,9.908656513422693,-0.014391206473174378,False
39,128,9.880071466938569,9.818756907196784,0.06131455974178479,False
40,128,10.064621998787768,9.965505552166249,0.09911644662151886,False
41,128,9.892890531150226,9.918017099195318,-0.025126568045092057,False
42,128,10.1820111678502,10.229502195134216,-0.047491027284015885,False
43,128,10.334170100259486,10.369273936480376,-0.035103836220889306,False
44,128,9.799609147327184,9.80062523481618,-0.001016087488997286,False
45,128,10.182701102069634,10.212085408949932,-0.029384306880297473,False
46,128,10.152505997272433,10.130343925571646,0.022162071700787322,False
47,128,10.269922364207032,10.240440275947428,0.029482088259603856,False
48,128,10.130162410578201,10.08943244677205,0.04072996380615024,False
49,128,10.112118106503445,10.084626528906735,0.027491577596709504,False
50,128,9.832005075092786,9.764506849589253,0.0674982255035328,False
51,128,10.17686909546648,10.295810664853605,-0.11894156938712364,False
52,128,10.090870846220826,10.157885263581719,-0.06701441736089286,False
53,128,9.704635926252852,9.666965028305304,0.03767089794754774,False
