,Nucleophilic-HEA,Hydrophobic-BA,Acidic-CBEA,Cationic-ATAC,Aromatic-PEA,Amide-AAm,Predicted_Ensemble (kPa),Predicted_RF (kPa),Predicted_GP (kPa)
0,2.6148923103521105e-20,0.5299198917368714,7.635669393932557e-07,0.05121085776112773,0.37424577407329296,0.04462271286176843,222.66099553067897,241.24000891195513,204.0819821494028
1,2.65100486259324e-10,0.5237394803132818,4.653163083847691e-07,0.05846500210808204,0.3666296439780941,0.05116540801913319,217.79552234981531,233.725208251422,201.8658364482086
2,5.97713729051457e-16,0.5249804800740472,0.003920378858732229,0.04739845121876625,0.3716253587128498,0.052075331135603954,217.15127587143292,239.31072842127338,194.99182332159245
3,6.935899261611594e-09,0.5204366536794462,0.00010604290136041018,0.05809854410562447,0.3710355739011801,0.050323178476489636,213.71080219221213,232.87387538989805,194.5477289945262
4,4.323672673305073e-11,0.5418417602564976,6.0657690593198e-14,0.03853697185579926,0.3719250795792357,0.047696188265170206,207.23078242224096,239.69907472936492,174.76249011511698
5,7.517427503287042e-05,0.4842439688598251,2.827718654649862e-34,0.06051302675434364,0.45418809556275813,0.0009797345480403144,206.86115543631198,210.04585620298286,203.6764546696411
6,1.068343451517927e-05,0.5196504258775714,1.220511279182912e-05,0.0606686232859644,0.3708701362239132,0.04878792606524407,206.62103575556154,232.87387538989805,180.36819612122503
7,4.848410846961518e-17,0.5315533534189246,4.4085595939034784e-10,0.04079280542686948,0.375184376737983,0.052469463975366865,205.94051730450562,239.31072842127338,172.57030618773786
8,5.9001994845344925e-05,0.5387764884229481,4.798882007246678e-23,0.04690222295575535,0.37182848201417146,0.042433804612279684,205.83937468282323,239.31072842127338,172.36802094437311
9,0.0007835204307939304,0.520367726541434,5.63804316093152e-07,0.048987569260240074,0.37957407238663327,0.05028654757658254,202.29473512156403,233.7937149747058,170.79575526842228
10,0.0007507804178657866,0.48384249077487,1.28086911305273e-07,0.05932506547625317,0.4560808982914975,6.369526022395104e-07,202.11254414519092,210.04585620298286,194.179232087399
11,0.0008981279393836219,0.5271029615236569,5.9014501254901235e-05,0.041629890981638454,0.3787428370058588,0.05156716804820719,200.17300789679885,239.31072842127338,161.03528737232432
