structure_id,atom_index,charge_state,latent_charge
0,0,-1,-0.3333333333333333
0,1,-1,-0.3333333333333333
0,2,-1,-0.3333333333333333
1,0,-1,-0.3333333333333333
1,1,-1,-0.3333333333333333
1,2,-1,-0.3333333333333333
2,0,-1,-0.3333333333333333
2,1,-1,-0.3333333333333333
2,2,-1,-0.3333333333333333
3,0,1,0.3333333333333333
3,1,1,0.3333333333333333
3,2,1,0.3333333333333333
4,0,-1,-0.3333333333333333
4,1,-1,-0.3333333333333333
4,2,-1,-0.3333333333333333
5,0,1,0.3333333333333333
5,1,1,0.3333333333333333
5,2,1,0.3333333333333333
6,0,-1,-0.3333333333333333
6,1,-1,-0.3333333333333333
6,2,-1,-0.3333333333333333
7,0,1,0.3333333333333333
7,1,1,0.3333333333333333
7,2,1,0.3333333333333333
8,0,1,0.3333333333333333
8,1,1,0.3333333333333333
8,2,1,0.3333333333333333
9,0,1,0.3333333333333333
9,1,1,0.3333333333333333
9,2,1,0.3333333333333333
10,0,-1,-0.3333333333333333
10,1,-1,-0.3333333333333333
10,2,-1,-0.3333333333333333
11,0,1,0.3333333333333333
11,1,1,0.3333333333333333
11,2,1,0.3333333333333333
