method,num_crops,hotspot_recovery,weighted_detail_fidelity
guided_crops,0,0.36842945981811076,0.8319330352583743
guided_crops,1,0.5132428576241542,0.835275835772745
guided_crops,2,0.5854491100030733,0.8382029203028462
guided_crops,3,0.6507083075528975,0.8410017362607071
guided_crops,4,0.7532406717050651,0.8443407557369058
guided_crops,5,0.7533460837002774,0.8466928307527031
guided_crops,6,0.7747463219944136,0.84924392575532
random_crops,0,0.36842945981811076,0.8319330352583743
random_crops,1,0.37985474851248063,0.8331021160861246
random_crops,2,0.37183220652825905,0.8345726374707191
random_crops,3,0.3847649764195405,0.8358116340013891
random_crops,4,0.39059977206493207,0.8378985867780798
random_crops,5,0.3975831926296141,0.8382051195194519
random_crops,6,0.40157413505110373,0.8390397511276544
uniform_crops,0,0.36842945981811076,0.8319330352583743
uniform_crops,1,0.3741785475936628,0.8339819228727053
uniform_crops,2,0.3741785475936628,0.8347401949315288
uniform_crops,3,0.38269212785101514,0.8360375984042299
uniform_crops,4,0.3741785475936628,0.8364449494804432
uniform_crops,5,0.38269212785101514,0.8378380794151156
uniform_crops,6,0.38269212785101514,0.8388770745470633
