image,method,encoder_resolution,num_crops,hotspot_recovery,weighted_detail_fidelity,mean_crop_fraction
demo1,global_only,336,0,0.7187805315791725,0.9484059053308823,0.0
demo1,uniform_crops,336,4,0.7187805315791725,0.9505056942210478,0.010762532552083334
demo1,guided_crops,336,4,0.9552558742085188,0.9544432284785251,0.010762532552083334
demo1,random_crops,336,4,0.7349970032472108,0.9506500688253665,0.010762532552083334
demo2,global_only,336,0,0.1734739379707475,0.7634671678730086,0.0
demo2,uniform_crops,336,4,0.1734739379707475,0.7704063415527344,0.0096
demo2,guided_crops,336,4,0.5651646936906429,0.7755669537712546,0.0096
demo2,random_crops,336,4,0.20460449164242445,0.7711273230758368,0.0096
method_case,global_only,336,0,0.21303390990441207,0.7839260325712316,0.0
method_case,uniform_crops,336,4,0.23028117323106842,0.7884228126675474,0.009709458655562166
method_case,guided_crops,336,4,0.7393014472160337,0.8030120849609375,0.009709458655562166
method_case,random_crops,336,4,0.22918112526652884,0.7899804451886345,0.009709458655562166
