channel_index,channel_name,variable_group,pressure_or_type,is_surface
0,Z50,Z,50,False
1,Z100,Z,100,False
2,Z150,Z,150,False
3,Z200,Z,200,False
4,Z250,Z,250,False
5,Z300,Z,300,False
6,Z400,Z,400,False
7,Z500,Z,500,False
8,Z600,Z,600,False
9,Z700,Z,700,False
10,Z850,Z,850,False
11,Z925,Z,925,False
12,Z1000,Z,1000,False
13,T50,T,50,False
14,T100,T,100,False
15,T150,T,150,False
16,T200,T,200,False
17,T250,T,250,False
18,T300,T,300,False
19,T400,T,400,False
20,T500,T,500,False
21,T600,T,600,False
22,T700,T,700,False
23,T850,T,850,False
24,T925,T,925,False
25,T1000,T,1000,False
26,U50,U,50,False
27,U100,U,100,False
28,U150,U,150,False
29,U200,U,200,False
30,U250,U,250,False
31,U300,U,300,False
32,U400,U,400,False
33,U500,U,500,False
34,U600,U,600,False
35,U700,U,700,False
36,U850,U,850,False
37,U925,U,925,False
38,U1000,U,1000,False
39,V50,V,50,False
40,V100,V,100,False
41,V150,V,150,False
42,V200,V,200,False
43,V250,V,250,False
44,V300,V,300,False
45,V400,V,400,False
46,V500,V,500,False
47,V600,V,600,False
48,V700,V,700,False
49,V850,V,850,False
50,V925,V,925,False
51,V1000,V,1000,False
52,R50,R,50,False
53,R100,R,100,False
54,R150,R,150,False
55,R200,R,200,False
56,R250,R,250,False
57,R300,R,300,False
58,R400,R,400,False
59,R500,R,500,False
60,R600,R,600,False
61,R700,R,700,False
62,R850,R,850,False
63,R925,R,925,False
64,R1000,R,1000,False
65,T2M,T2M,surface,True
66,U10,U10,surface,True
67,V10,V10,surface,True
68,MSL,MSL,surface,True
69,TP,TP,surface,True
