channel_index,channel_name,variable_group,rmse_vs_latest_input,bias_vs_latest_input,corr_vs_latest_input,forecast_mean,latest_input_mean
0,Z50,Z,14.14169979095459,-0.08859343826770782,0.004609477240592241,-0.030800623819231987,0.012458390556275845
1,Z100,Z,14.130996704101562,-0.021720577031373978,0.004438531585037708,0.005991913843899965,0.0455087274312973
2,Z150,Z,14.116963386535645,-0.041477661579847336,-0.00032305350759997964,0.019106389954686165,0.027372712269425392
3,Z200,Z,14.110382080078125,-0.0948309600353241,0.002972103189677,-0.04024263471364975,0.03789951279759407
4,Z250,Z,14.152856826782227,0.05382372438907623,0.0012330481549724936,-0.013976704329252243,-0.04372056946158409
5,Z300,Z,14.100286483764648,-0.08007179945707321,0.00038305463385768235,-0.043732352554798126,0.05243027210235596
6,Z400,Z,14.103636741638184,-0.14208318293094635,0.0021656861063092947,-0.05708009749650955,0.05846897512674332
7,Z500,Z,14.153604507446289,-0.006092156283557415,-0.006299546919763088,0.0282217375934124,0.048029858618974686
8,Z600,Z,14.148078918457031,0.05964021012187004,-0.0029112943448126316,-0.001528476132079959,-0.08025744557380676
9,Z700,Z,14.154509544372559,-0.040880028158426285,-3.7013487599324435e-05,0.013957181014120579,0.009150141850113869
10,Z850,Z,14.134900093078613,-0.041045572608709335,0.00494678458198905,-0.0137937618419528,0.01017684955149889
11,Z925,Z,14.120553016662598,-0.0011198051506653428,0.004560771863907576,0.021314037963747978,0.01995663344860077
12,Z1000,Z,14.170845985412598,0.09652160853147507,-0.0002728751569520682,-0.016078246757388115,-0.08137713372707367
13,T50,T,14.130470275878906,-0.0396076999604702,-0.0027816614601761103,0.006783426273614168,0.012064681388437748
14,T100,T,14.154654502868652,-0.09698181599378586,-0.0025817235000431538,-0.029391199350357056,0.026884449645876884
15,T150,T,14.122190475463867,-0.05437907204031944,0.00028455458232201636,0.013643152080476284,0.07246468961238861
16,T200,T,14.207845687866211,-0.009506721049547195,-0.0011832504533231258,-0.0012886833865195513,0.021573904901742935
17,T250,T,14.06598949432373,0.05732853338122368,0.003013731213286519,0.014840743504464626,-0.06316360831260681
18,T300,T,14.1294584274292,0.00876745954155922,0.0011133746011182666,-0.010510185733437538,-0.03880703076720238
19,T400,T,14.170113563537598,-0.04564228653907776,-0.0009072819957509637,-0.005811785347759724,0.013421761803328991
20,T500,T,14.167526245117188,0.05979669839143753,-5.6902747019194067e-05,0.0240204818546772,0.003018793649971485
21,T600,T,14.09406566619873,-0.020825551822781563,0.003667979035526514,0.009114592336118221,-0.015707582235336304
22,T700,T,14.116606712341309,-0.0068511939607560635,-0.004441568162292242,-0.011845552362501621,0.008990117348730564
23,T850,T,14.097301483154297,-0.012471485882997513,0.009202247485518456,-0.03626975789666176,0.009794902056455612
24,T925,T,14.233366966247559,0.0178105216473341,-0.0069426666013896465,0.00529315322637558,-0.002447879407554865
25,T1000,T,14.11406421661377,-0.0063036116771399975,0.0058750007301568985,-0.031131891533732414,-0.009321823716163635
26,U50,U,14.118023872375488,0.055469829589128494,0.007672475650906563,0.06054572016000748,-0.004118442535400391
27,U100,U,14.085755348205566,0.013085678219795227,0.011750594712793827,0.030703913420438766,-0.0003739916137419641
28,U150,U,14.094799041748047,0.042934659868478775,0.0014468375593423843,-0.00964371394366026,-0.025938469916582108
29,U200,U,14.154562950134277,0.05149191617965698,-8.727867680136114e-05,0.02741609886288643,-0.016106413677334785
30,U250,U,14.167272567749023,0.03017333894968033,-0.0021013279911130667,0.0190920177847147,-0.010291333310306072
31,U300,U,14.09309196472168,-0.06232156604528427,0.005131931509822607,-0.0945720449090004,-0.01636972278356552
