region,region_label,method_family,years_compared,mean_abs_residual_gt,median_abs_residual_gt,rmse_gt,mean_abs_z,max_abs_z,method_uncertainty_mean,combined_uncertainty_mean,annual_variability_fraction,uncertainty_ratio_method_to_combined
alaska,Alaska,DEM diff. + glaciol.,24,14.242802211411787,11.679475209728267,18.53076851851996,0.38835089824539937,1.0584901483634221,19.503173911029783,31.732554264421093,1.0,0.6146109055235105
alaska,Alaska,altimetry,9,16.647031159270043,16.4796102577547,19.716664611008717,0.4036721409027335,0.8448765986129054,31.013577347234886,26.486367965111537,1.0,1.1709260170396596
alaska,Alaska,gravimetry,20,17.96168212148586,14.917181721330408,22.285448491936886,0.5195122864245516,1.422447384597694,17.912891184061092,28.76687862597577,0.9,0.6226915132838291
antarctic_and_subantarctic,Antarctic And Subantarctic,DEM diff. + glaciol.,23,17.699514884828744,15.271329430340892,22.82071953693372,0.40325355660397066,1.346701698264176,22.43949362910022,38.93233617505377,1.0,0.5763716189083592
antarctic_and_subantarctic,Antarctic And Subantarctic,altimetry,20,18.95910440059088,16.32841732553765,24.205850018239122,0.46669093185113864,1.4650460518423343,16.66047289864948,36.8883210086163,0.45,0.4516462783643083
arctic_canada_north,Arctic Canada North,DEM diff. + glaciol.,24,6.075390603225994,3.3998095376343866,9.077516028202846,0.3680476696899286,1.7186801876796591,11.99457481434945,12.180461680020008,1.0,0.9847389310394142
arctic_canada_north,Arctic Canada North,altimetry,21,6.11294732721728,4.563023304336809,7.8791742287665745,0.433210965359768,1.1879857505674976,8.867973259894281,10.883734506799236,0.42857142857142855,0.8147913985180658
arctic_canada_north,Arctic Canada North,gravimetry,20,6.624942792168836,5.4019249224879164,7.490813639540544,0.5524075484438833,1.1583752545604853,5.6108474421882715,10.568002325148159,0.9,0.5309279151875669
arctic_canada_south,Arctic Canada South,DEM diff. + glaciol.,24,6.618452586263868,5.128620414279514,8.006969327953874,0.5327541683558511,1.6966355886195537,8.414676832725844,10.14555976403065,1.0,0.8293950288044868
arctic_canada_south,Arctic Canada South,altimetry,21,4.72426666764655,3.593907794463065,5.530132756897275,0.4127646427144151,1.014338098095837,6.71108858385959,9.16107981744285,0.42857142857142855,0.7325652344040889
arctic_canada_south,Arctic Canada South,gravimetry,20,6.185810254732301,5.56761534006897,7.663431942533483,0.5188975576758359,1.202553398296332,7.702501321360525,8.985728198008253,0.9,0.857192778551641
caucasus_middle_east,Caucasus Middle East,DEM diff. + glaciol.,24,7.170190367370803e-17,0.0,1.7444108782428046e-16,1.803188074661383e-16,1.9034414955881433e-15,0.26540896899853617,0.2654089689985362,1.0,0.9999999999999998
central_asia,Central Asia,DEM diff. + glaciol.,24,4.486405880915693,1.7448822880149972,7.673009769121329,0.335936229673353,1.672090667240548,5.402386495771797,13.228034752817171,1.0,0.4084043167955279
central_asia,Central Asia,altimetry,21,5.0116872394228205,2.1821246342936984,8.19708521879753,0.3393092430941721,1.543237741877005,8.032395354166326,12.52085369454269,0.3333333333333333,0.6415213810594486
central_europe,Central Europe,DEM diff. + glaciol.,24,1.0177044392397268e-16,0.0,2.333229944976403e-16,1.9065365103186957e-16,1.5420978987620772e-15,0.41208072281738756,0.41208072281738767,1.0,0.9999999999999998
greenland_periphery,Greenland Periphery,DEM diff. + glaciol.,24,15.183786966177516,13.46316741273769,17.284547809249624,0.41229877220554156,0.8341382119800325,22.851248400400518,33.56371971635226,1.0,0.6808318205942883
greenland_periphery,Greenland Periphery,altimetry,21,16.712390240172002,17.08270020452499,18.399314683445734,0.49805295862122506,0.8962375394658814,15.412345386299151,30.195223376593283,1.0,0.5104232942435023
iceland,Iceland,DEM diff. + glaciol.,24,2.8277106827381426,2.6728991034918694,3.4151998688856167,0.4806981660551634,1.2080556691626556,2.113623222243073,6.0089920106441,1.0,0.3517433903222173
iceland,Iceland,altimetry,9,3.6455639747172444,3.0857280518800323,4.142600173162921,0.6385909658695534,1.1931960296621693,2.9859861554301617,4.844044946924232,1.0,0.6164241224322535
iceland,Iceland,gravimetry,20,3.119923396847601,3.111299102654713,3.805441660269648,0.5003661273874951,1.5656731841099345,2.798393439747307,5.459048112154225,0.9,0.5126156396234833
low_latitudes,Low Latitudes,DEM diff. + glaciol.,24,5.912515847287618e-17,0.0,1.2222313887071405e-16,6.922950220861531e-17,6.321204458025324e-16,0.6574648419394445,0.6574648419394447,1.0,0.9999999999999998
new_zealand,New Zealand,DEM diff. + glaciol.,23,5.0834940122102957e-17,0.0,1.1309823280580368e-16,8.861499012689551e-17,7.809595720307113e-16,0.4545923349013263,0.4545923349013263,1.0,1.0
north_asia,North Asia,DEM diff. + glaciol.,24,3.657375328517768e-17,0.0,7.102133894908224e-17,4.2768969119531997e-17,2.44610418735872e-16,0.6351043669668018,0.6351043669668021,1.0,0.9999999999999997
russian_arctic,Russian Arctic,DEM diff. + glaciol.,24,5.105364097613218,3.988813855449573,6.4624263001281435,0.4807260925797237,1.4354196215761608,5.808728324192066,10.058225818501562,1.0,0.5775102318251023
russian_arctic,Russian Arctic,altimetry,15,3.023340345881038,1.0053190786882382,4.600498302301052,0.30856192909343355,1.2522228217757694,5.045878277490712,8.268978650653944,0.6,0.6102178383410948
russian_arctic,Russian Arctic,gravimetry,20,6.565623681545647,7.971756316384656,7.727515273156612,0.6275220958932232,1.4410898893312645,5.4973541631649905,8.86833358836513,0.9,0.6198858115099866
scandinavia,Scandinavia,DEM diff. + glaciol.,24,9.136210306811184e-17,0.0,2.0901318356788837e-16,1.5891959691358804e-16,1.5926106411048827e-15,0.44668422963758686,0.446684229637587,1.0,0.9999999999999997
