region,region_label,years,mean_annual_gt,mean_annual_mwe,cumulative_gt,cumulative_gt_uncertainty,mean_gt_uncertainty,mean_mwe_uncertainty,latest_area_km2,cumulative_gt_abs
alaska,Alaska,24,-61.41082902382488,-0.7320277166261931,-1473.8598965717972,172.79174535916678,34.57925678200215,0.3970500463651659,80272.66,1473.8598965717972
greenland_periphery,Greenland Periphery,24,-35.436586854737946,-0.4466051923613572,-850.4780845137108,174.3679950202001,34.47702826355447,0.38459274995424964,72428.5341,850.4780845137108
arctic_canada_north,Arctic Canada North,24,-30.42657164569776,-0.2930927604783487,-730.2377194967462,63.218697165219226,12.340411357970055,0.11603713063070732,103308.34635,730.2377194967462
southern_andes,Southern Andes,24,-26.282882167382045,-0.9192548379252351,-630.7891720171691,162.56972885017439,32.52273323076262,1.1069024785625832,28184.1533,630.7891720171691
arctic_canada_south,Arctic Canada South,24,-23.010101306000866,-0.5700617959389733,-552.2424313440208,51.57451162307018,10.150230071639518,0.24666602100813717,40119.3056,552.2424313440208
antarctic_and_subantarctic,Antarctic And Subantarctic,24,-17.819153654022866,-0.14547475060075707,-427.6596876965488,208.75251450069092,42.02470979940596,0.31690917441936645,119414.21625,427.6596876965488
russian_arctic,Russian Arctic,24,-16.017819773703753,-0.3151662062045248,-384.42767456889004,53.817808817193644,10.616941259931396,0.20519821083335196,50663.344,384.42767456889004
svalbard,Svalbard,24,-13.795151516440136,-0.4181794988022909,-331.08363639456326,35.92697228020421,7.134134301741303,0.20896340134989114,32413.8655,331.08363639456326
central_asia,Central Asia,24,-10.484469748042555,-0.2178055248383941,-251.6272739530213,66.88222882528537,13.521235842538799,0.27445148235261313,47661.2101,251.6272739530213
western_canada_us,Western Canada Us,24,-9.243631301302939,-0.6947335348602119,-221.84715123127052,25.650595430466684,5.109690480791484,0.3490853151203324,12759.334,221.84715123127052
iceland,Iceland,24,-8.294894553976642,-0.7840805613867668,-199.07746929543939,30.887229156172985,6.166974728386488,0.5570624454841507,10084.508,199.07746929543939
south_asia_east,South Asia East,24,-7.355021193995356,-0.5269353933080533,-176.52050865588853,28.84253974376613,5.784887799150372,0.3928239150668776,13314.3791,176.52050865588853
south_asia_west,South Asia West,24,-5.610944972121096,-0.17631171148007532,-134.66267933090631,41.219342686412496,8.198705044600267,0.24434598548376749,30728.1472,134.66267933090631
central_europe,Central Europe,24,-1.97207942247639,-1.061529869356995,-47.32990613943336,2.3646319480425304,0.47472514192793697,0.22085346781541104,1693.1602,47.32990613943336
scandinavia,Scandinavia,24,-1.6680211091491615,-0.5826021493223924,-40.03250661957988,3.1888611982191666,0.6431657310317301,0.2142018863241011,2777.81055,40.03250661957988
north_asia,North Asia,24,-1.355185314557352,-0.5764891663859191,-32.52444754937645,3.2488565977466988,0.6384344112200778,0.26383271574264516,2249.3735,32.52444754937645
low_latitudes,Low Latitudes,24,-0.85004179012117,-0.4207200030056206,-20.40100296290808,3.716408579683126,0.6574648419394447,0.27994723059409315,1714.1972500000002,20.40100296290808
new_zealand,New Zealand,24,-0.8329537025264065,-0.960771550950061,-19.990888860633756,3.3551779978143963,0.6728328762614924,0.578715016285555,797.1901,19.990888860633756
caucasus_middle_east,Caucasus Middle East,24,-0.7366037844157988,-0.6219138378128549,-17.67849082597917,1.6433824925738956,0.3283562942285668,0.24913336194102276,1123.43185,17.67849082597917
