tool,curve,x,y,threshold
uncalled4,PR,1.0,0.2048,0.0
uncalled4,PR,1.0,0.22227045799869763,0.0007279192065768
uncalled4,PR,1.0,0.22231871471993053,0.0009163641988475
uncalled4,PR,1.0,0.2223669923995657,0.0010663343643078
uncalled4,PR,1.0,0.22241529105125976,0.0012712934940408
uncalled4,PR,1.0,0.22246361068868128,0.0014545565274976
uncalled4,PR,1.0,0.22251195132551066,0.0016406922494013
uncalled4,PR,1.0,0.22256031297544013,0.0016515819944809
uncalled4,PR,1.0,0.22260869565217392,0.0019322219901524
uncalled4,PR,1.0,0.22265709936942812,0.0020150796606599
uncalled4,PR,1.0,0.22270552414093084,0.0021324552546075
uncalled4,PR,1.0,0.22275396998042202,0.0025814882420598
uncalled4,PR,1.0,0.2228024369016536,0.0032329961853052
uncalled4,PR,1.0,0.22285092491838956,0.0042632094332825
uncalled4,PR,1.0,0.22289943404440574,0.0042638039165054
uncalled4,PR,1.0,0.2229479642934901,0.0043301348139059
uncalled4,PR,1.0,0.2229965156794425,0.0043971304553192
uncalled4,PR,1.0,0.22304508821607494,0.0046000919126678
uncalled4,PR,1.0,0.22309368191721132,0.0046342733890996
uncalled4,PR,1.0,0.22314229679668773,0.0047852280956639
uncalled4,PR,1.0,0.22319093286835223,0.0048944765080929
uncalled4,PR,1.0,0.22323959014606495,0.0051162492592874
uncalled4,PR,1.0,0.22328826864369822,0.0054731586322562
uncalled4,PR,1.0,0.2233369683751363,0.0054888394378564
uncalled4,PR,1.0,0.22338568935427575,0.0056968520621803
uncalled4,PR,1.0,0.2234344315950251,0.0057674414504998
uncalled4,PR,1.0,0.2234831951113051,0.0061666122625098
uncalled4,PR,1.0,0.22353197991704868,0.0063434996980091
uncalled4,PR,1.0,0.22358078602620088,0.0063605122973439
uncalled4,PR,1.0,0.22362961345271892,0.0067896736620606
uncalled4,PR,1.0,0.2236784622105723,0.0068518271889518
uncalled4,PR,1.0,0.22372733231374262,0.0073706067052283
uncalled4,PR,1.0,0.22377622377622378,0.0077134493938808
uncalled4,PR,1.0,0.22382513661202186,0.0077627575703947
uncalled4,PR,1.0,0.22387407083515523,0.0078921983495837
uncalled4,PR,1.0,0.2239230264596545,0.0079895329371428
uncalled4,PR,1.0,0.22397200349956256,0.0083816295348095
uncalled4,PR,1.0,0.2240210019689346,0.0086234269463831
uncalled4,PR,1.0,0.22407002188183808,0.0087806914251545
uncalled4,PR,1.0,0.2241190632523528,0.00901104090329
uncalled4,PR,1.0,0.22416812609457093,0.0090743680669837
uncalled4,PR,1.0,0.2242172104225969,0.0091686559757707
uncalled4,PR,1.0,0.22426631625054752,0.0096595671905825
uncalled4,PR,1.0,0.22431544359255204,0.0097389444311463
uncalled4,PR,1.0,0.22436459246275198,0.0099590942729171
uncalled4,PR,1.0,0.22441376287530135,0.0100285239905679
uncalled4,PR,1.0,0.2244629548443665,0.0103698130197097
uncalled4,PR,1.0,0.2245121683841263,0.0104609884384712
uncalled4,PR,1.0,0.22456140350877193,0.0106412326273215
uncalled4,PR,1.0,0.22461066023250714,0.0107769030929768
uncalled4,PR,1.0,0.22465993856954805,0.0107957103721327
uncalled4,PR,1.0,0.22470923853412333,0.0108150917269729
uncalled4,PR,1.0,0.2247585601404741,0.0112006248120858
uncalled4,PR,1.0,0.224807903402854,0.0113439954264154
uncalled4,PR,1.0,0.22485726833552921,0.0113806622220493
uncalled4,PR,1.0,0.2249066549527784,0.0115601953217309
uncalled4,PR,1.0,0.22495606326889278,0.0116063496957223
uncalled4,PR,1.0,0.22500549329817623,0.0116119113671162
