,count,mean,std,min,25%,50%,75%,max,missing_rate_pct
Total_Electricity_kW,8760.0,609.9616063697451,60.76888948133276,494.85523176199706,550.9863791073062,610.4698659083692,669.0851504592545,719.9462950473616,0.0
Total_Heat_mmBTU,8760.0,155.03035152491827,11.682380953582378,125.92659532092156,146.07114860888424,154.95479488767688,163.9729861235046,187.13196227878103,0.0
Total_Cooling_Energy_Ton,8760.0,282.46631337817485,15.46906918932295,236.4260274332009,270.01184480855613,282.4583287518228,294.8249563152239,330.8059650061211,0.0
Total_PV_Power_Generation_kW,8760.0,41.33232945702368,38.102212503847724,0.0,0.0,71.62788968419471,76.52003558042063,86.72296869916829,0.0
Total_Greenhouse_Gas_Emission_Ton,8760.0,387.31700658947125,36.590329753621305,312.24025628744056,359.58945770278746,389.4697275358229,413.01597792200937,460.9347694841688,0.0
Weather_Temperature_degF,8760.0,74.9995986962949,11.592726720497808,48.00040592578927,65.18146333264521,75.07504020779619,84.6922940918344,103.47210558119411,0.0
Weather_Humidity_pct,8760.0,64.88136252030648,10.001453440333009,33.33806491728346,57.33292407765178,64.55547210030292,72.25461384877113,100.0,0.0
Weather_Wind_Speed_mph,8760.0,8.00863555050183,1.3096200776935125,3.2913172883243837,7.079906714651486,8.011855653263552,8.910085078412546,12.549672384932885,0.0
Weather_Pressure_in,8760.0,29.92007074609546,0.06561208657907976,29.6883168225418,29.87371546594304,29.91933706014283,29.966076855791513,30.14106892259067,0.0
Weather_Precipitation_in,8760.0,0.0009252630881376252,0.006007185365850667,0.0,0.0,0.0,0.0,0.1104960400871662,0.0
