,BN001_Electricity_kW,BN002_Electricity_kW,BN003_Electricity_kW,BN004_Electricity_kW,BN005_Electricity_kW,BN006_Electricity_kW,BN007_Electricity_kW,BN008_Electricity_kW,BN009_Electricity_kW,BN010_Electricity_kW
BN001_Electricity_kW,1.0,-0.20330694403411656,-0.2135674625063559,0.5072631357673831,0.3496252702364487,0.4335225649141774,0.8721118770131167,0.858132342106954,0.04769682053345496,0.8587215725767117
BN002_Electricity_kW,-0.20330694403411656,1.0,0.7937233752784094,0.3832735538083757,0.6619440791579798,-0.8983459889462231,-0.10102672470950122,-0.20136704867292907,-0.8728309118304485,0.15155280372340102
BN003_Electricity_kW,-0.2135674625063559,0.7937233752784094,1.0,0.5752449493768341,0.6093134945259256,-0.7390464509210235,-0.17961247146863304,-0.019602519393429805,-0.8667521203502291,0.09525775781110829
BN004_Electricity_kW,0.5072631357673831,0.3832735538083757,0.5752449493768341,1.0,0.7919878859576966,-0.18471965506515547,0.5552411865699326,0.683416467837417,-0.5495108567296068,0.6942864181961822
BN005_Electricity_kW,0.3496252702364487,0.6619440791579798,0.6093134945259256,0.7919878859576966,1.0,-0.5104802577652738,0.5124532558112084,0.3933205504573065,-0.6667315386837211,0.6493539942596842
BN006_Electricity_kW,0.4335225649141774,-0.8983459889462231,-0.7390464509210235,-0.18471965506515547,-0.5104802577652738,1.0,0.3093282492369232,0.4339010928104934,0.7763223978771306,0.0912633773542292
BN007_Electricity_kW,0.8721118770131167,-0.10102672470950122,-0.17961247146863304,0.5552411865699326,0.5124532558112084,0.3093282492369232,1.0,0.7857265095345082,0.039279986365819884,0.8700196029728333
BN008_Electricity_kW,0.858132342106954,-0.20136704867292907,-0.019602519393429805,0.683416467837417,0.3933205504573065,0.4339010928104934,0.7857265095345082,1.0,-0.026495539189906575,0.7971552365914051
BN009_Electricity_kW,0.04769682053345496,-0.8728309118304485,-0.8667521203502291,-0.5495108567296068,-0.6667315386837211,0.7763223978771306,0.039279986365819884,-0.026495539189906575,1.0,-0.26959542791697233
BN010_Electricity_kW,0.8587215725767117,0.15155280372340102,0.09525775781110829,0.6942864181961822,0.6493539942596842,0.0912633773542292,0.8700196029728333,0.7971552365914051,-0.26959542791697233,1.0
