year,records,yoy_change,yoy_pct_change
2000,21,,
2001,22,1.0,4.761904761904767
2002,42,20.0,90.90909090909092
2003,49,7.0,16.666666666666675
2004,47,-2.0,-4.081632653061229
2005,47,0.0,0.0
2006,40,-7.0,-14.893617021276595
2007,42,2.0,5.000000000000004
2008,39,-3.0,-7.14285714285714
2009,40,1.0,2.564102564102555
2010,34,-6.0,-15.000000000000002
2011,33,-1.0,-2.941176470588236
2012,28,-5.0,-15.151515151515149
2013,31,3.0,10.71428571428572
2014,32,1.0,3.2258064516129004
2015,31,-1.0,-3.125
2016,34,3.0,9.677419354838701
2017,31,-3.0,-8.823529411764708
2018,26,-5.0,-16.129032258064512
2019,19,-7.0,-26.923076923076927
2020,12,-7.0,-36.8421052631579
2021,20,8.0,66.66666666666667
2022,29,9.0,44.99999999999999
2023,28,-1.0,-3.4482758620689613
2024,34,6.0,21.42857142857142
2025,21,-13.0,-38.23529411764706
