rep_i,rep_j,intersection,union,iou
0,1,10,10,1.0
0,2,10,10,1.0
0,3,10,10,1.0
0,4,10,10,1.0
0,5,10,10,1.0
0,6,10,10,1.0
0,7,10,10,1.0
0,8,10,10,1.0
0,9,10,10,1.0
1,2,10,10,1.0
1,3,10,10,1.0
1,4,10,10,1.0
1,5,10,10,1.0
1,6,10,10,1.0
1,7,10,10,1.0
1,8,10,10,1.0
1,9,10,10,1.0
2,3,10,10,1.0
2,4,10,10,1.0
2,5,10,10,1.0
2,6,10,10,1.0
2,7,10,10,1.0
2,8,10,10,1.0
2,9,10,10,1.0
3,4,10,10,1.0
3,5,10,10,1.0
3,6,10,10,1.0
3,7,10,10,1.0
3,8,10,10,1.0
3,9,10,10,1.0
4,5,10,10,1.0
4,6,10,10,1.0
4,7,10,10,1.0
4,8,10,10,1.0
4,9,10,10,1.0
5,6,10,10,1.0
5,7,10,10,1.0
5,8,10,10,1.0
5,9,10,10,1.0
6,7,10,10,1.0
6,8,10,10,1.0
6,9,10,10,1.0
7,8,10,10,1.0
7,9,10,10,1.0
8,9,10,10,1.0
