repetition,cell_ids,unique_presented_mutations,n_unique_mutations,n_presentations,selected_mutation_hits,covered_ge_1,covered_ge_2,covered_ge_3
0,0,"['mut11', 'mut12', 'mut28', 'mut33']",4,27,4,True,True,True
0,1,"['mut11', 'mut20', 'mut28', 'mut33']",4,19,4,True,True,True
0,2,"['mut11', 'mut15', 'mut19']",3,20,3,True,True,True
0,3,"['mut19', 'mut20', 'mut26', 'mut28', 'mut33']",5,30,5,True,True,True
0,4,"['mut19', 'mut20', 'mut26', 'mut33']",4,30,4,True,True,True
0,5,"['mut15', 'mut19', 'mut26', 'mut28', 'mut39']",5,19,5,True,True,True
0,6,"['mut12', 'mut20', 'mut26', 'mut28', 'mut33']",5,33,5,True,True,True
0,7,"['mut11', 'mut19', 'mut20', 'mut26', 'mut33']",5,27,5,True,True,True
0,8,"['mut20', 'mut28', 'mut33', 'mut39']",4,25,4,True,True,True
0,9,"['mut15', 'mut20', 'mut28', 'mut33']",4,26,4,True,True,True
0,10,"['mut12', 'mut15', 'mut28', 'mut39']",4,22,4,True,True,True
0,11,"['mut12', 'mut15', 'mut20']",3,29,3,True,True,True
0,12,"['mut12', 'mut19', 'mut20', 'mut28', 'mut33']",5,31,5,True,True,True
0,13,"['mut11', 'mut15', 'mut19', 'mut20']",4,32,4,True,True,True
0,14,"['mut11', 'mut28', 'mut33']",3,26,3,True,True,True
0,15,"['mut12', 'mut19', 'mut26', 'mut44']",4,25,4,True,True,True
0,16,"['mut12', 'mut15', 'mut19', 'mut28', 'mut33']",5,22,5,True,True,True
0,17,"['mut12', 'mut15', 'mut19', 'mut28']",4,25,4,True,True,True
0,18,"['mut19', 'mut20', 'mut28']",3,18,3,True,True,True
0,19,"['mut11', 'mut15', 'mut20', 'mut33']",4,36,4,True,True,True
0,20,"['mut19', 'mut28', 'mut33']",3,24,3,True,True,True
0,21,['mut11'],1,23,1,True,False,False
0,22,"['mut11', 'mut19', 'mut28']",3,21,3,True,True,True
0,23,"['mut12', 'mut19', 'mut20', 'mut28']",4,28,4,True,True,True
0,24,"['mut15', 'mut19', 'mut20']",3,24,3,True,True,True
0,25,"['mut11', 'mut15', 'mut19', 'mut28']",4,36,4,True,True,True
0,26,"['mut15', 'mut19', 'mut20', 'mut28', 'mut39']",5,26,5,True,True,True
0,27,"['mut20', 'mut33']",2,31,2,True,True,False
0,28,"['mut12', 'mut28']",2,24,2,True,True,False
0,29,"['mut12', 'mut15', 'mut19', 'mut20', 'mut28']",5,34,5,True,True,True
0,30,"['mut15', 'mut26', 'mut33', 'mut44']",4,25,4,True,True,True
0,31,"['mut15', 'mut19', 'mut20', 'mut28', 'mut33']",5,31,5,True,True,True
