repetition,n_cells,mean_unique_mutations,mean_selected_hits,median_selected_hits,max_selected_hits,coverage_ge_1,coverage_ge_2,coverage_ge_3
0,99,4.0606060606060606,4.05050505050505,4.0,7,1.0,0.9797979797979798,0.9292929292929293
1,99,4.161616161616162,4.141414141414141,4.0,7,1.0,0.9797979797979798,0.9191919191919192
2,100,3.74,3.72,4.0,7,1.0,0.97,0.77
3,100,3.98,3.97,4.0,8,1.0,0.99,0.89
4,100,3.95,3.94,4.0,8,1.0,0.99,0.88
5,98,3.9489795918367347,3.938775510204082,4.0,6,1.0,1.0,0.9081632653061225
6,100,4.06,4.02,4.0,7,1.0,0.97,0.85
7,100,4.07,4.06,4.0,7,1.0,0.99,0.91
8,99,3.7676767676767677,3.7474747474747474,4.0,7,1.0,0.9494949494949495,0.8080808080808081
9,100,4.04,4.02,4.0,7,1.0,0.98,0.87
