chemistry,tool,time_min,filesize_mb
DNA r9.4,Uncalled4,39.584270286340754,139.82065109661204
DNA r9.4,f5c,256.9233393707774,3231.115366828034
DNA r9.4,Nanopolish,2654.0467638379905,3210.4662398245937
DNA r9.4,Tombo,642.4291658886989,387.1214988819064
DNA r10.4,Uncalled4,54.44913685523318,118.70855767886827
DNA r10.4,f5c,1573.468570353864,3718.581557173333
DNA r10.4,Nanopolish,,
DNA r10.4,Tombo,,
RNA001,Uncalled4,114.66766338728108,21.22445364382001
RNA001,f5c,144.97187941072403,725.1270894230943
RNA001,Nanopolish,199.43755817149585,731.3524522174138
RNA001,Tombo,773.9889156304711,86.60282432245239
RNA004,Uncalled4,60.18828566025166,48.43795288655033
RNA004,f5c,68.30231471920341,536.1037278441161
RNA004,Nanopolish,,
RNA004,Tombo,,
