feature,importance_mean,importance_std
F0,0.009034245755493487,0.0009929550708905723
F1,0.009390694091952279,0.0009323217883535677
F2,0.010551981000987054,0.0010583253187038404
F3,0.010949022553521403,0.0007735698377140968
F4,0.010055928431037486,0.0006909054127583027
F5,0.015683943648289234,0.0017353223629039548
F6,0.016430234313063875,0.0010853359500585804
F7,0.016012115513721014,0.0010461703344253862
F8,0.01549719750681322,0.0013866461508471313
F9,0.016365571401558875,0.0014390987171224116
F10,0.00999178594537955,0.0007331270844640428
F11,0.007423657865109079,0.0010072832832100228
F12,0.0052736485841814226,0.0006472275954173172
F13,0.00669744696426926,0.0009152440036170657
F14,0.007291556437580948,0.001069730663253856
F15,0.007028437803039589,0.0009187743917719474
F16,0.0076669569486391255,0.0006856267979443102
F17,0.009425085566683023,0.0012534983509125902
F18,0.006604811163481328,0.0006832403939389016
F19,0.007217786073751309,0.0008321259317940836
