frame,num_gt,num_detections,mean_gt_iou,max_gt_iou,mean_det_iou,crowding_pairs_gt_iou_gt_0.2
0,200,153,0.03700882761462253,0.871724200402623,0.03738109704439797,1458
1,200,158,0.03701476994319619,0.8538264943891678,0.03674199535862731,1467
2,200,163,0.03694917379538423,0.8780692923949492,0.03517156465809124,1458
3,200,164,0.03683952502415767,0.87770865432478,0.03691557764145993,1455
4,200,161,0.036658231089229935,0.8730763747678616,0.03749832207118915,1464
5,200,167,0.03639958905644559,0.8631698010425596,0.033689691786925005,1451
6,200,154,0.036112499182985446,0.8741427539671097,0.03537408568857297,1437
7,200,170,0.03581592258593356,0.8897796950334176,0.03601480969817527,1427
8,200,168,0.035537766408420345,0.878194801487172,0.036924662089679594,1433
9,200,154,0.03526822026489651,0.9380868396909928,0.03404380156725315,1398
10,200,155,0.03495223801160115,0.86375620856091,0.03413520843911842,1372
11,200,161,0.03459442578325382,0.8054801376192857,0.033431341418443214,1363
12,200,159,0.03423737367527743,0.7994486784043641,0.03442973080473559,1344
13,200,152,0.03386544358442547,0.7776190236918985,0.03490520249728622,1335
14,200,154,0.033462926871881814,0.7585398783035177,0.03301641924231119,1333
15,200,155,0.032994987374191445,0.7814245398918559,0.031833176994173665,1325
16,200,159,0.03254241982554573,0.8129279975280841,0.03324811492658416,1291
17,200,157,0.03209155068273724,0.7959408014130906,0.03152736182974775,1271
18,200,160,0.03165053386286398,0.7979072697438574,0.031049525113102237,1237
19,200,159,0.031261644767896085,0.8124929987018684,0.030422702163927135,1228
20,200,165,0.030892410184264394,0.8225322624994372,0.030782955733804324,1218
21,200,157,0.030526328600596214,0.8677008200960732,0.03010259399156,1198
22,200,161,0.030187858619516356,0.9098159079170102,0.029418205218045897,1197
23,200,168,0.029879320065700442,0.8719853311003262,0.030768379456787637,1189
24,200,156,0.029555005002086916,0.8444734993225645,0.026540175706931273,1178
25,200,160,0.029249024026669058,0.8500416039041854,0.029502223758871345,1167
26,200,158,0.028961322419011032,0.8451948061437147,0.02916561132788542,1158
27,200,158,0.02873621717142513,0.8693222981218804,0.03070098626589388,1138
28,200,155,0.028556172037477384,0.914696056434555,0.02859327534758709,1127
29,200,155,0.02835615255295453,0.9292674280892055,0.025929096406105197,1126
30,200,151,0.028142912450305854,0.907244282224992,0.026833608930559683,1121
31,200,150,0.027930840066786828,0.8896838152458847,0.02671791445061964,1118
32,200,151,0.027672830593135612,0.8721259723481258,0.024822888663085973,1091
33,200,158,0.027448618813777664,0.8545091148616778,0.02652609197911512,1071
34,200,162,0.02725692598640889,0.8242177712979706,0.025013584352161007,1065
35,200,159,0.027085024586426035,0.7949502403392653,0.027692515886725902,1070
36,200,156,0.026912406709867748,0.8335053990116148,0.02529504340947643,1060
37,200,165,0.026726995921642006,0.7825154820464024,0.026182663228064753,1045
38,200,164,0.026520014100898572,0.7667367843811039,0.026938693391616822,1042
39,200,157,0.02632993261098985,0.7724083469824232,0.026301547641851646,1019
40,200,157,0.02614720585945896,0.7914106005047775,0.026511398734381034,1008
41,200,151,0.025993734235792508,0.8149016814019161,0.02615860396816382,995
42,200,160,0.02580663108089592,0.8330102306507714,0.025453100423368808,986
43,200,154,0.025609667885283217,0.9131740128121824,0.026202549493138386,982
44,200,166,0.02538745280457321,0.8547277638159813,0.025546962647212425,983
45,200,161,0.02517783926472197,0.8241140600990328,0.02672894480512289,976
46,200,150,0.02498621429237174,0.8159341896446813,0.024643834462813093,982
47,200,162,0.024804167236662563,0.8193402857210403,0.025594602528131737,964
48,200,167,0.024682145484980114,0.8695641448704239,0.02521487975973354,960
49,200,163,0.024583575758591145,0.8695641448704252,0.024877104123315376,958
50,200,165,0.0245717628815511,0.8653680338124469,0.026068234871722273,969
51,200,157,0.024567572328531444,0.8741587105097367,0.024833504771529766,958
52,200,157,0.02458497279289148,0.90881578311687,0.02335932603724629,962
53,200,155,0.024614645924309123,0.8584369038033575,0.02299545553085874,954
54,200,158,0.024671151981734942,0.870908860045217,0.02461155302180666,970
55,200,154,0.024678526471708373,0.8845565095498804,0.024413375025162085,984
56,200,151,0.024674195482588805,0.8776218217744083,0.023167924432649034,971
57,200,161,0.024662707668642824,0.8668281756762144,0.025057941040600527,984
58,200,151,0.024602167616803124,0.8561579164047811,0.025741338330322917,976
59,200,169,0.024495433456580926,0.8429266654162592,0.023995797143218946,956
60,200,159,0.0243851287297109,0.8790551675429242,0.025222745786560502,966
61,200,155,0.02428443089500206,0.8790551675429246,0.02607216141948457,964
62,200,158,0.024172428779454788,0.831160291867816,0.025102584624736527,951
63,200,156,0.024004686020089223,0.8088454259040677,0.024263762308583594,957
64,200,155,0.023799263954978712,0.7894319768064675,0.023158922941485194,944
65,200,161,0.02367497526656463,0.7706895471241055,0.024694137569597534,916
66,200,159,0.02352557713336245,0.8204632220814759,0.02458222404009094,897
67,200,153,0.023451671834511363,0.8739474840527415,0.02283730407828867,888
68,200,152,0.023411013096568897,0.9162190410526458,0.023120046424220664,902
69,200,152,0.023360826347088675,0.920978236186212,0.022222737026590285,877
70,200,166,0.02329729818263304,0.9209782361862124,0.02287895353155837,871
71,200,151,0.023228688447288908,0.8833670493275333,0.022263918574051134,871
72,200,157,0.023172702155354667,0.8291399470623292,0.022434820704302187,882
73,200,150,0.02317685270298981,0.7786971808268115,0.023028797662647885,890
74,200,162,0.02314522750366253,0.809639840984865,0.023533967624321497,894
75,200,153,0.023145791192346565,0.809639840984865,0.02175460894619311,912
76,200,161,0.023141368837980788,0.8090762602297157,0.022576693145598882,911
77,200,160,0.02319387176815421,0.814614408115368,0.023789861744270023,916
78,200,159,0.023291572091086402,0.8098762393864287,0.022805444239343373,916
79,200,158,0.023372193707210553,0.8051627500332079,0.022707442723538977,928
80,200,142,0.023494547040672973,0.8004737477378945,0.025238997946401772,934
81,200,160,0.02355590749653289,0.7787965451100328,0.02272757560119616,937
82,200,168,0.023583175067633657,0.7817107223100308,0.02361337154051531,929
83,200,160,0.023580221745434983,0.7990051277309953,0.022894701646132304,935
84,200,164,0.023545461643371318,0.8257564540461049,0.024581571426448224,939
85,200,170,0.023521571049408833,0.8505745256125979,0.02410439204130736,942
86,200,156,0.023538043714135384,0.896877033508837,0.023797283471456307,944
87,200,164,0.023540899829016314,0.8479903352769473,0.02337311667953465,943
88,200,150,0.02363300709954208,0.7860050058080362,0.02377890065899549,943
89,200,169,0.023702865176213523,0.83187556741136,0.0241469360962111,939
90,200,161,0.023759249502085134,0.7618295727660852,0.02254236900109191,937
91,200,158,0.023802356550008476,0.7544592486193047,0.02510484001837868,926
92,200,161,0.023840596255097563,0.7656268977234101,0.02400881626879295,920
93,200,156,0.023854054808449876,0.7793041302433661,0.02336457770733103,931
94,200,154,0.02383183187457152,0.8100337110599163,0.02136193216677735,925
95,200,155,0.02383828437582647,0.818748859383744,0.023873555987486264,905
96,200,152,0.023790139487718628,0.8180782043224337,0.023703776610799428,903
97,200,148,0.023724684889633814,0.8117185089334096,0.02254705694041551,905
98,200,156,0.023610034478400273,0.8222969377012345,0.02266721374002246,912
99,200,161,0.0234782055302939,0.8065444046943192,0.023738655145925488,915
