N2vsN3,N2vsN4
6.475081783392716897e-05,6.109219724933828612e-05
3.054913655239749976e-06,2.885416387576246618e-04
1.441021338003387999e-05,2.402530905222905760e-05
1.918391658599110961e-05,5.682785394420183944e-05
2.032071749649174333e-05,1.225468736475849283e-04
2.395622794793090542e-05,1.024276832384838902e-05
3.682482070005613066e-05,2.054791538774500964e-03
1.930424142092242786e-05,5.174366042420925293e-05
1.384153689582350667e-05,5.928820285244854196e-05
1.330504024056291856e-05,2.259416191233081330e-04
1.085055761241962341e-05,1.499001498898613308e-04
4.395980078891672128e-05,5.233768304332770598e-05
1.047722437476111071e-05,5.845038829794999116e-05
4.664209140874230871e-05,8.223901802553775444e-06
2.038361426547878488e-05,2.564283183683539155e-05
1.187550014726095715e-05,9.300704703188411007e-05
3.711939054583348783e-05,8.517384577861810020e-05
9.662750599388346919e-06,2.164634920834155370e-04
3.786080144793156594e-05,4.326836361680509545e-05
2.474091608427286918e-05,9.461956589410127602e-06
1.101664801362033231e-05,1.777004952858378514e-04
3.393229069475715159e-05,2.801514138744693860e-04
3.454704434038182982e-05,1.469241537668757697e-04
6.364061577689630466e-05,4.108580153574114440e-05
5.255600095566314358e-05,1.750875733117563987e-04
3.268794299887900967e-05,3.061669330491993950e-03
6.476247948313748422e-06,5.740926966776085114e-05
2.314396762295918043e-04,1.035986260558264124e-05
4.914136554012310277e-06,2.474147402840036665e-05
5.167610287349198335e-05,1.059104796608494449e-04
3.078464696201830257e-05,7.288208967394616527e-06
6.181678898957259822e-06,6.127100291141517161e-05
1.766228075082866347e-05,7.891939268553508420e-05
1.848536591273176202e-05,3.155032847576594735e-04
7.379677189314966820e-05,2.408698708524306415e-04
9.800382085901340816e-06,1.411078872407823517e-04
1.539106686067807483e-05,3.731492146026944826e-06
1.934139778135069484e-06,1.510010452664985029e-04
1.133516650924486777e-04,1.165871507798587595e-04
6.856958873426045661e-06,6.797610578575571233e-05
2.773355738169103763e-05,6.269875224534329358e-06
1.807128914583255207e-05,1.968573603606708173e-05
1.813296054442577624e-05,1.232753874380464801e-05
4.495195525547431481e-05,4.454936815614603441e-06
1.063775686643173105e-04,4.982539649056875515e-05
2.571889519866424757e-05,1.919474338844484270e-05
3.850585436586153037e-05,1.167231169957919177e-03
2.778854291197516141e-05,4.083324908551455037e-05
5.532714729053517689e-05,2.361640740443345988e-04
1.258890529687872343e-05,7.607268530174432009e-06
5.862274891380200148e-05,2.646744539725723235e-05
6.071751090226134196e-05,5.616537459797357312e-05
5.904319426522127020e-05,1.681444380106038018e-05
1.033549829423294797e-05,3.012580711534251399e-05
1.690136924931911566e-05,3.849321214916917545e-05
2.541143481621787679e-05,3.776313729218074109e-05
5.077861603242985655e-06,4.632029491166034674e-04
9.855871693996019929e-05,7.871978707858626927e-05
1.975597031413191937e-05,8.889320282698950167e-05
2.656674275452332488e-05,9.554608864104924954e-05
1.123156180940243554e-05,1.042899142840384693e-04
5.306087329368003623e-06,4.526610981412629471e-05
1.093208876834686489e-05,3.402608239043786528e-05
2.490170963584041028e-05,6.108108701987102513e-05
3.921899070744541178e-05,2.003744255646907626e-04
2.351230295501451390e-05,1.931580627204703337e-04
2.828852625619699342e-05,3.747015819104716072e-05
1.427780022065677947e-05,1.256418550078134224e-04
3.285095578034417100e-05,3.958781661875738952e-05
8.810815905428995233e-05,5.207409794401018493e-05
4.046841187120916875e-05,2.832642026949038137e-05
4.493756858931197254e-05,4.020731075793616491e-05
2.683611816346138514e-05,2.500395458838031355e-04
4.448545567338582436e-06,5.586445901913957821e-05
7.036182347672614558e-06,5.881294687938251766e-05
3.151955271004519972e-05,8.805369187041260393e-06
1.978241123795533511e-05,3.449899924650358266e-05
3.104926572733183538e-05,3.742897439530014510e-05
1.069279979287351994e-04,1.848668647285821846e-05
4.133742536419476854e-05,5.131697014252908348e-05
7.042994158112079756e-05,2.987446963094355845e-05
2.198617096089962457e-05,5.503767945768803834e-05
8.921968410496878687e-06,5.784844753342433335e-05
1.887552509478990622e-05,1.588091027121333918e-05
8.943978028394335939e-06,3.098740607972605855e-05
9.501428325259640858e-05,5.486480919623261914e-05
4.408516582826433727e-05,2.070959728584352447e-04
3.365779808260804291e-05,6.803933629041286526e-05
6.883246273821981998e-05,2.259437066263749957e-05
2.652959631927931839e-06,8.070727472633223065e-05
3.601264853335851298e-05,3.880296183309162755e-04
5.392917341553645062e-06,1.502154763846582947e-04
1.985541121133724087e-05,9.645290343938863874e-05
1.464391192874158132e-05,1.194300943887427122e-04
3.876310474717711320e-05,2.814536710417191298e-04
2.512641196758280229e-05,1.817759997131192674e-04
7.677272602258282212e-05,9.870498608769959529e-05
1.095542878242371529e-05,1.802588131374546754e-04
4.064381464604720467e-05,1.365412522025013038e-05
2.352245484987572333e-05,8.242508297366756998e-06
3.897915813452895029e-06,6.037296384085157687e-05
7.981415806063349902e-06,5.429541890599746316e-05
1.721625920695028230e-05,2.603211429987891914e-05
6.082644976753560337e-05,1.346994781469550866e-04
3.179965151604364815e-05,5.347272948431573607e-06
6.222871459575955380e-06,2.631913649975289675e-05
1.738166726810301045e-05,2.794047492106493816e-05
1.504361470921195931e-04,7.017877790649141781e-06
2.235288975874388489e-05,3.005758738600641453e-04
1.441698028695489587e-05,9.786280765984508309e-06
3.270316670383265176e-05,2.468053649033543381e-05
4.291087769580298673e-05,1.486506191805968854e-04
1.267414290234324094e-05,1.085572211184252032e-04
3.305943651470827360e-05,1.322638065496844795e-05
1.439445088180383343e-05,1.134100550848008565e-04
4.106104555663770491e-05,7.079330115850851588e-05
2.369882411537725103e-05,8.219385864867950319e-04
3.238515376343835867e-05,8.118670520094063009e-05
9.360968219429730992e-06,4.220475194971395942e-05
8.797309089877531927e-06,1.788962000906138601e-05
5.148186337731415821e-05,2.046939748277462013e-05
1.847347449603480040e-05,1.856169578417932327e-05
2.659616455297021583e-05,2.591330359449489358e-04
1.472190979609370385e-05,5.108990395626515917e-05
4.912946946701166935e-05,9.852590949997622281e-05
1.089084244573431118e-05,3.076984132189507768e-04
1.746381513415550893e-05,2.950179555525227123e-06
4.389169342109389783e-05,2.319847236282999883e-04
6.463137491727490415e-05,5.343678142388449021e-05
1.184579535823846565e-05,8.427464522630348411e-05
1.419416780832260725e-04,1.850311579640437189e-05
2.735704184606434607e-05,2.020386105118771698e-05
7.048423760427737174e-06,8.989461800328867058e-05
2.892725765728538237e-05,8.744021238883349558e-04
1.363626869723022996e-05,1.666671951761623230e-04
3.087049152294016151e-05,2.282977073303695415e-04
1.916098203937015147e-05,3.971073209916809669e-05
2.154203114578125106e-05,2.433164912211936579e-05
8.037667241250439054e-06,1.959074113461063265e-05
5.382798527217979993e-05,2.782944229946589620e-05
6.294051030452987331e-06,4.257508310941069032e-06
6.599325046684287507e-06,2.094960504573508030e-05
2.887836280099543998e-05,2.552349034569094055e-05
9.934280252551171467e-05,4.051179621026957609e-05
1.405726264540899323e-05,5.856417357186921580e-05
4.031423354338284153e-05,7.724359871231379498e-05
5.850267328759302637e-05,4.911244959154604665e-05
4.516925746467370667e-05,2.488564924583400138e-05
1.465122550789295897e-05,4.739789064277613413e-06
6.717295084796540888e-06,2.506951773745575172e-05
2.199400246306286591e-06,1.556589402184218424e-05
1.537729043672281023e-05,8.747063205444263940e-05
6.496311466389541138e-05,1.488840598829202706e-04
6.498466908114208354e-06,1.542089168374689259e-04
4.028350665642871917e-05,1.240105061189348211e-04
7.733640766494990620e-06,4.259735332759923980e-05
2.223805142898746523e-05,2.672705442826670330e-05
4.059008754696880907e-05,2.039928193625885347e-05
1.034224368874390916e-05,8.190904288499617402e-06
2.371758969894846201e-05,1.643909522344888952e-04
1.320559940280934378e-05,4.054326842147910973e-05
4.048295140371294950e-05,1.120561120269661398e-05
2.530620043118575563e-05,1.854561465888426551e-05
2.116269470698495692e-05,1.766622911866137381e-05
9.501950950205814424e-05,5.264927074286200511e-05
3.878518779662790074e-05,1.800049637165357657e-04
1.002799224967923371e-05,3.293169427644848630e-05
1.835438247123359604e-05,3.350075181043756009e-06
1.853820037870848982e-05,3.984538555753453003e-05
2.167266623778347018e-05,4.145424651012759770e-05
2.496953438564886662e-04,3.817262853580325838e-05
2.897936909408127177e-05,2.354867617854891222e-05
2.611251748390640770e-06,6.490663821990154739e-05
1.162238874129704812e-05,5.413020476324640967e-05
2.896086045882797842e-06,4.853215793729152958e-05
1.438137571721771708e-05,8.203882732497247605e-05
2.741271993349701217e-06,2.985115754013483355e-05
8.365714970764418537e-06,2.788587258956234485e-05
4.371082735240135651e-06,2.619545336278940491e-04
2.936761250139787612e-05,9.783178234356946351e-05
2.001079016222110483e-05,1.348763291971400346e-04
2.707726865962754623e-05,2.177501942540813879e-04
1.801457018137672680e-05,9.398695745625616955e-05
4.960142763813724609e-06,1.523361238260962269e-04
3.342331274259445077e-05,7.514307056807228718e-06
1.367229798470750155e-04,6.388008486313955122e-05
3.011263503136386421e-05,4.015555758056195342e-05
1.306331178790391250e-05,3.743697384352767318e-04
4.795438230821983480e-06,1.522003345610078442e-04
8.066061352994762415e-06,2.346450318621025633e-05
3.146173136996196389e-05,7.820831686458634821e-05
