N,d,r,scan_type,counts_path,amplitudes_path
40,10,10,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r10_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r10_XEB_amplitudes.json
40,10,11,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r11_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r11_XEB_amplitudes.json
40,10,12,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r12_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r12_XEB_amplitudes.json
40,10,13,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r13_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r13_XEB_amplitudes.json
40,10,14,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r14_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r14_XEB_amplitudes.json
40,10,15,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r15_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r15_XEB_amplitudes.json
40,10,16,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r16_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r16_XEB_amplitudes.json
40,10,17,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r17_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r17_XEB_amplitudes.json
40,10,18,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r18_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r18_XEB_amplitudes.json
40,10,19,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r19_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r19_XEB_amplitudes.json
40,10,1,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r1_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r1_XEB_amplitudes.json
40,10,20,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r20_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r20_XEB_amplitudes.json
40,10,21,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r21_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r21_XEB_amplitudes.json
40,10,22,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r22_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r22_XEB_amplitudes.json
40,10,23,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r23_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r23_XEB_amplitudes.json
40,10,24,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r24_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r24_XEB_amplitudes.json
40,10,25,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r25_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r25_XEB_amplitudes.json
40,10,26,depth_scan,data/results/N40_verification/N40_d10_XEB/N40_d10_r26_XEB_counts.json,data/amplitudes/N40_verification/N40_d10_XEB/N40_d10_r26_XEB_amplitudes.json
