scan_type,N,d,num_instances,fxeb_mean,fxeb_std,fxeb_sem,fxeb_ci95_low,fxeb_ci95_high,bootstrap_se_mean,matched_keys_mean
depth_scan,40,8,50,0.6317206938771034,0.3448092935584837,0.04876339793826935,0.5361444339180954,0.7272969538361114,0.3142453951985959,20.0
depth_scan,40,10,50,0.45022974436541163,0.3223226212967154,0.04558330224974619,0.3608864719559091,0.5395730167749142,0.2742003888350789,20.0
depth_scan,40,12,50,0.4568927431440281,0.2838232590442332,0.04013867022572868,0.3782209495015999,0.5355645367864563,0.28091064159298773,20.0
depth_scan,40,14,50,0.39718262457389225,0.2599764487318517,0.03676622196941783,0.3251208295138333,0.4692444196339512,0.27424577228885527,20.0
depth_scan,40,16,50,0.3680538667471604,0.277164325647347,0.039196954833647116,0.29122783527321205,0.44487989822110874,0.2854948520615851,20.0
depth_scan,40,18,50,0.2661268834768434,0.29159297053283834,0.04123747336201982,0.18530143568728452,0.34695233126640224,0.25382413944873194,20.0
depth_scan,40,20,50,0.30199973467493413,0.3363201847692582,0.047562856660051014,0.20877653562123416,0.3952229337286341,0.26574635892376974,20.0
qubit_scan,16,12,50,0.7996194809368216,0.3197196599145104,0.04521518792084142,0.7109977126119724,0.8882412492616707,0.2934705190754012,20.0
qubit_scan,24,12,50,0.66328428858555,0.28994514279951566,0.041004435329127877,0.5829155953404593,0.7436529818306407,0.29574767581754086,20.0
qubit_scan,32,12,50,0.5644693601236068,0.31398988445373,0.0444048753042426,0.47743580452729134,0.6515029157199224,0.27999387774649404,20.0
qubit_scan,40,12,50,0.4260097944481408,0.27599413440193393,0.03903146480066377,0.3495081234388398,0.5025114654574419,0.26916816275497846,20.0
