repetition,mean,median,min,max
0,0.9426851051143266,0.961974518019542,1.7999838891391562e-05,0.9999999810166906
1,0.9321466295897786,0.948915887213367,1.7999838891391562e-05,0.9999999765375406
2,0.8927035099236038,0.9102584353546735,0.14794397620040312,0.999999983432579
3,0.9260332978362632,0.9465919295128283,0.1735682478069135,0.9999999954865018
4,0.9764399539697292,0.9851990856136397,0.8377150029201976,0.9999999982658841
5,0.9372315856376983,0.9635603180074399,1.7999838891391562e-05,0.9999999969254016
6,0.9669038206238555,0.9758442156458653,0.5683958004658791,0.9999999982516011
7,0.9726328255454676,0.9777007034796884,0.91850005231169,0.9999999941058086
8,0.9141367089439814,0.9403493830339884,1.7999838891391562e-05,0.999999993931855
9,0.9665568629318829,0.9759426859200078,0.5144453787044813,0.9999999935532284
