hex_id,lat,lon,theo_pv,theo_wind,grid_dist_km,road_dist_km,ocean_dist_km,waterbody_dist_km,ADMIN,CONTINENT,pv_cf,wind_cf,pv_share,wind_share,pv_lcoe_eur_per_mwh,wind_lcoe_eur_per_mwh,avg_cf,electrolyzer_cf,oversizing_factor,electricity_cost_eur_per_kg,electrolyzer_cost_eur_per_kg,production_core_eur_per_kg,road_spur_eur_per_kg,inland_ammonia_transport_eur_per_kg,ammonia_synthesis_eur_per_kg,export_terminal_eur_per_kg,shipping_eur_per_kg,ammonia_cracking_eur_per_kg,eu_distribution_eur_per_kg,scenario,scenario_label,water_cost_eur_per_kg,buffer_storage_eur_per_kg,site_production_eur_per_kg,delivered_to_europe_eur_per_kg
hex_000,-19.71252741732844,21.42667018270944,0.6634168884306757,0.6221119988358864,148.1040023836202,99.3287389791286,401.9486959865509,209.80741851465152,Botswana,Africa,0.2994150399175216,0.4039603195809191,1.0,0.0,24.448350792889578,48.95875290362208,0.2994150399175216,0.374268799896902,1.25,1.5280219245555986,1.2114853710412814,2.73950729559688,0.04395295800191382,0.18463500159720664,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.041541246686394036,0.12,2.901048542283274,4.386683543880481
hex_001,-23.73345872297537,24.54513625407894,0.8468278354591481,0.6169796764044917,164.2124173809309,107.64313184893224,403.1165214670598,176.4293997201662,Botswana,Africa,0.3324290103826466,0.402112683505617,1.0,0.0,22.020352315655572,49.183709642807514,0.3324290103826466,0.41553626297830826,1.25,1.3762720197284732,1.091171135492314,2.467443155220787,0.047632076093755096,0.18872285860722604,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.036125664245457496,0.12,2.6235688194662448,4.1132916780734705
hex_002,-18.69682496106341,15.561555013934129,0.5817130228384195,0.649807766345918,25.688858679272823,17.689641590834682,238.2976785700376,63.933817239716994,Namibia,Africa,0.2847083441109155,0.41393079588453047,1.0,0.0,25.711237763087226,47.77946861133641,0.2847083441109155,0.3558854301386444,1.25,1.6069523601929518,1.2740650150685615,2.8810173752615134,0.007827664801767383,0.09123185230128054,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.017873259723931327,0.12,3.018890634985445,4.411122487286725
hex_003,-20.631583651287634,16.186435884488162,0.7165114970014225,0.5352271773235865,106.87281353179937,66.93030108114688,149.00878280554892,242.2167352237675,Namibia,Africa,0.308972069460256,0.3726817838364911,1.0,0.0,23.692121884538896,53.06777612159192,0.308972069460256,0.38621508682532,1.25,1.480757617783681,1.174012076118999,2.65476969390268,0.029616652166431282,0.0817697261483734,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.04217667006168695,0.12,2.8169463639643673,4.199716090112741
hex_004,-27.86987182534821,17.57378135786131,0.7662753065105006,0.486505253193377,15.195472596163658,13.920513195117785,349.6854701288347,216.0451032366615,Namibia,Africa,0.3179295551718901,0.3551418911496157,1.0,0.0,23.02460972718595,55.688709110631265,0.3179295551718901,0.3974119439648626,1.25,1.439038107949122,1.1409349487300837,2.5799730566792056,0.006159825828038181,0.12854974037313033,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.042553310825389504,0.12,2.7425263675045954,4.172076107877726
hex_005,-17.292531780358928,13.65259902718,0.8086222331359278,0.5380422683640402,126.02775071490714,80.99657107173759,301.13095579381485,223.0002811550848,Namibia,Africa,0.325552001964467,0.3736952166110545,1.0,0.0,22.48551347986974,52.92386038169421,0.325552001964467,0.4069400024555837,1.25,1.4053445924918588,1.11422119520374,2.5195657876955986,0.035840975363264825,0.14123680989110002,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.04368178821167541,0.12,2.683247575907274,4.125484385798374
hex_006,-19.866323576115764,12.818901074696605,0.8211226579792855,0.2968998349062955,85.8159970215324,34.46682027684199,174.40940070443244,43.66203670940741,,,0.3278020784362714,0.28688394056626637,1.0,0.0,22.331169965396473,68.93865662257977,0.3278020784362714,0.40975259804533926,1.25,1.3956981228372796,1.106573034741569,2.5022711575788485,0.015251564850791767,0.07629485509734313,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.01458416400610513,0.12,2.636855321584954,4.014150176682297
hex_007,-19.567228336676557,17.65986896716307,0.8293347235199925,0.3329331291365369,40.40842627218149,79.4712935283363,51.56533394706672,41.50737207685166,Namibia,Africa,0.32928025023359864,0.29985592648915327,1.0,0.0,22.230923122104922,65.95632009276238,0.32928025023359864,0.41160031279199827,1.25,1.3894326951315576,1.1016055183160398,2.4910382134475975,0.03516604018845639,0.05321390706992975,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.014234569741028387,0.12,2.625272783188626,3.979486690258556
hex_008,-27.46263640789345,14.176730886712376,0.7151274927751562,0.3515950581468396,30.333727092025157,87.51235910013904,338.58742899357145,278.63095254691973,,,0.3087229486995281,0.30657422093286224,1.0,0.0,23.71123999497415,64.51094749274938,0.3087229486995281,0.38590368587441015,1.25,1.4819524996858844,1.1749594329084392,2.6569119325943236,0.03872421097568792,0.15722981112343792,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.05270786279753154,0.12,2.829619795391855,4.287849606515293
hex_009,-23.5953687452532,20.377395925555145,0.7037648207335433,0.4004129758597777,148.97292018353946,92.4690515382012,125.48262700606044,122.28556717835748,Botswana,Africa,0.30667766773203775,0.32414867130951996,1.0,0.0,23.869373934872538,61.0133411601912,0.30667766773203775,0.3833470846650472,1.25,1.4918358709295336,1.1827954197394093,2.674631290668943,0.04091754693059547,0.08483646638271662,0.35,0.08,0.22099999999999997,0.55,0.1,base,Base finance,0.02734082921364088,0.12,2.821972119882584,4.2078085862653
