algo,track_id,frame,x1,y1,x2,y2,score,gt_id
ByteLike,0,0,327.7034655435327,431.8082947776505,426.9475904130138,624.3658930842472,0.9,20
ByteLike,0,0,338.23838102494193,448.4859607723244,403.41085465287716,618.8244605749909,0.19152766757418715,29
ByteLike,0,1,330.00074097457076,439.00756973732587,407.35296724969015,615.8542816980829,0.9,86
ByteLike,0,1,331.0365814698146,467.56903791615963,408.53696374546655,603.0090712548027,0.14746071222665044,134
ByteLike,0,2,325.9385184525106,442.9254864781464,404.93115546473814,619.1468972445495,0.9,86
ByteLike,0,2,334.5505418239728,446.2518476157691,401.45366567680617,596.1174474741873,0.26751301623694623,29
ByteLike,0,3,316.1747876947593,441.3690423363214,414.5907360185044,578.6102490969258,0.2654664463269421,127
ByteLike,0,4,338.6035364235937,458.1123595923944,414.8561672797592,633.0220932277985,0.9,86
ByteLike,0,4,340.14795084949736,437.06717939338375,410.38294619760933,600.7201400600993,0.20704837456698624,29
ByteLike,0,5,338.89918056896744,458.4193067217348,410.72056049846583,632.9440744028497,0.9,86
ByteLike,0,5,338.84799869608497,416.49343186401774,446.42543517563894,616.9546673658136,0.18018860228642142,20
ByteLike,0,6,326.2040073384814,459.4701589374279,419.4211699349341,639.0047086868553,0.9,86
ByteLike,0,6,318.5758328550121,462.2220978829538,404.03588220179796,610.1380695043626,0.24984575963228242,134
ByteLike,0,7,341.52666541556175,463.63652034925167,416.0516302750256,640.0,0.9,86
ByteLike,0,7,335.2631350121457,461.6717990693155,398.26834960635676,616.4864676599947,0.2051607968135542,134
ByteLike,0,8,340.68584628689365,456.0979985891467,428.58542511971854,634.9670439687161,0.9,86
ByteLike,0,8,342.21341585044087,428.0337052580157,423.1495076032431,593.5398524070573,0.3082557961084005,29
ByteLike,0,9,335.73130819606484,450.6984774685591,421.686384878482,630.339442079864,0.9,86
ByteLike,0,9,338.55936854396737,409.7309618656122,448.1906674533454,607.643299893037,0.28486863246722827,20
ByteLike,0,10,345.17611710772337,454.4015949818438,432.74909968113485,627.7371920288117,0.9,86
ByteLike,0,10,322.6060920111378,456.346946254557,413.13676366664663,614.3254892824319,0.1936779825554184,134
ByteLike,0,11,338.2258495911985,443.9338139890214,425.01431860755525,637.511146564962,0.9,86
ByteLike,0,11,339.5179065099556,402.63799859362035,449.90179674026143,600.9564749944553,0.3500272365020465,20
ByteLike,0,12,340.9365987468028,450.00845598377447,421.963037546667,623.9350763920952,0.9,86
ByteLike,0,12,357.6307651901395,419.08051750314735,418.02891945871573,583.5828326197017,0.28252488598652403,29
ByteLike,0,13,347.272114312878,413.5760711748716,427.47702427456176,574.0059850913707,0.3307124481078859,29
ByteLike,0,14,346.07128407993827,441.3134062406495,424.4362967372582,627.6089942020637,0.9,86
ByteLike,0,14,336.7341741143574,414.88207701734996,436.0969673130095,563.1872010052534,0.27119801539584415,127
ByteLike,0,15,335.9922713006,426.3339946217301,433.7445448599006,551.8140700596359,0.14860612759844113,127
ByteLike,0,16,331.02845947555466,455.63467922038416,401.29755273231467,613.1916455292143,0.9,134
ByteLike,0,16,330.6736094728759,440.7577716383699,425.777477160708,569.112200068535,0.3201645443463056,76
ByteLike,0,17,331.52403852788655,445.31613013166617,426.8088337580535,574.5259675626281,0.32081129029227573,76
ByteLike,0,18,322.3417428744468,467.664809758246,399.883409752412,613.7792796345966,0.9,134
ByteLike,0,18,337.067529121887,450.3295603909815,434.9816426435781,578.7641711669079,0.2500752962594165,76
ByteLike,0,19,322.002334141142,469.49890813027764,403.5678526434183,619.271268616273,0.9,134
ByteLike,0,19,331.238597611353,447.2849979115384,431.0767226046689,578.5773872306992,0.38927685265591405,76
ByteLike,0,20,319.48513575267424,472.5377316929303,403.09424070009914,625.6578328584312,0.9,134
ByteLike,0,20,328.0897942236214,460.49901972175206,437.4460279144522,579.7668800819406,0.20149790987085842,76
ByteLike,0,21,319.21400592232834,479.80699097925157,398.45209214418475,614.065189552982,0.9,134
ByteLike,0,21,303.9116729018934,457.01194319025495,374.6984257910702,568.6981554374938,0.310511312244402,137
ByteLike,0,22,320.8021462247878,471.65677997954344,406.98338994176527,612.1444086186401,0.9,134
