threshold,precision,recall,f1
0.05,0.043,1.0,0.08245445829338446
0.1,0.043,1.0,0.08245445829338446
0.15,0.042042042042042045,0.9767441860465116,0.08061420345489444
0.2,0.0416243654822335,0.9534883720930233,0.07976653696498054
0.25,0.04180064308681672,0.9069767441860465,0.07991803278688524
0.3,0.04220398593200469,0.8372093023255814,0.08035714285714285
0.35,0.03692762186115214,0.5813953488372093,0.06944444444444445
0.39999999999999997,0.030805687203791468,0.3023255813953488,0.05591397849462366
0.44999999999999996,0.029940119760479042,0.11627906976744186,0.047619047619047616
0.49999999999999994,0.02040816326530612,0.023255813953488372,0.021739130434782608
0.5499999999999999,0.14285714285714285,0.023255813953488372,0.04
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.7999999999999999,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
