threshold,precision,recall,f1
0.05,0.043,1.0,0.08245445829338446
0.1,0.043,1.0,0.08245445829338446
0.15,0.043,1.0,0.08245445829338446
0.2,0.043,1.0,0.08245445829338446
0.25,0.043,1.0,0.08245445829338446
0.3,0.043,1.0,0.08245445829338446
0.35,0.043,1.0,0.08245445829338446
0.39999999999999997,0.04225352112676056,0.9767441860465116,0.08100289296046288
0.44999999999999996,0.04017857142857143,0.8372093023255814,0.07667731629392972
0.49999999999999994,0.04,0.27906976744186046,0.06997084548104957
0.5499999999999999,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.7999999999999999,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
