start_dates,end_dates,changes,errors,unit,author
1988.75,1989.75,10.91,0.55,Gt,Box et al.
1989.75,1990.75,-7.44,4.13,Gt,Box et al.
1990.75,1991.75,-17.35,4.59,Gt,Box et al.
1991.75,1992.75,11.41,5.96,Gt,Box et al.
1992.75,1993.75,9.22,5.72,Gt,Box et al.
1993.75,1994.75,0.67,6.4,Gt,Box et al.
1994.75,1995.75,-9.75,3.25,Gt,Box et al.
1995.75,1996.75,-13.15,3.81,Gt,Box et al.
1996.75,1997.75,-13.22,5.64,Gt,Box et al.
1997.75,1998.75,-15.59,2.73,Gt,Box et al.
1998.75,1999.75,-9.46,4.03,Gt,Box et al.
1999.75,2000.75,-16.7,7.14,Gt,Box et al.
2000.75,2001.75,-11.46,8.76,Gt,Box et al.
2001.75,2002.75,-10.88,4.4,Gt,Box et al.
2002.75,2003.75,-15.44,2.96,Gt,Box et al.
2003.75,2004.75,-17.7,3.62,Gt,Box et al.
2004.75,2005.75,-13.92,9.77,Gt,Box et al.
2005.75,2006.75,-11.6,4.17,Gt,Box et al.
2006.75,2007.75,-9.79,2.9,Gt,Box et al.
2007.75,2008.75,-12.82,2.79,Gt,Box et al.
2008.75,2009.75,-4.67,2.11,Gt,Box et al.
2009.75,2010.75,-36.82,6.23,Gt,Box et al.
2010.75,2011.75,-5.1,6.86,Gt,Box et al.
2011.75,2012.75,-8.19,4.36,Gt,Box et al.
2012.75,2013.75,-5.91,2.12,Gt,Box et al.
2013.75,2014.75,-12.5,4.79,Gt,Box et al.
2014.75,2015.75,10.29,1.48,Gt,Box et al.
2015.75,2016.75,-13.33,3.83,Gt,Box et al.
2016.75,2017.75,-4.79,4.07,Gt,Box et al.
2017.75,2018.75,1.66,3.49,Gt,Box et al.
2018.75,2019.75,-17.47,5.54,Gt,Box et al.
2019.75,2020.75,-6.07,2.89,Gt,Box et al.
2020.75,2021.75,-16.7,4.59,Gt,Box et al.
2021.75,2022.75,-0.75,5.03,Gt,Box et al.
