region,total_mass_change_2000_2023_gt
Alaska,-1473.8598965717972
Greenland Periphery,-850.4780845137108
Arctic Canada North,-730.2377194967462
Southern Andes,-630.7891720171691
Arctic Canada South,-552.2424313440208
Antarctic & Subantarctic,-427.6596876965488
Russian Arctic,-384.42767456889004
Svalbard,-331.08363639456326
Central Asia,-251.6272739530213
Western Canada & US,-221.84715123127052
Iceland,-199.07746929543939
South Asia East,-176.52050865588853
South Asia West,-134.66267933090631
Central Europe,-47.32990613943336
Scandinavia,-40.03250661957988
North Asia,-32.52444754937645
Low Latitudes,-20.40100296290808
New Zealand,-19.990888860633756
Caucasus & Middle East,-17.67849082597917
