family,family_name,channels,mean_t1_std,mean_temporal_corr_t0_t1,mean_temporal_corr_t1_f6,mean_spatial_corr_lon,mean_spatial_corr_lat,mean_spectral_slope,mean_high_freq_power_fraction
MSL,Mean sea level pressure,1,10.040961144728659,0.003473658442685851,-0.0036399700553755928,0.0012356907179108824,0.0012602882839413312,-0.002684282995307918,0.8945757748939538
R,Relative humidity,13,10.001129912406613,-0.0019361352388310295,0.0018111657416657115,0.0006607342322749505,-0.00013307585511277572,0.00032606547132606184,0.8945040926474863
T,Temperature,13,10.00037784254934,-0.001487305571373509,0.0003278333444063324,-6.5271043373765744e-06,7.850391214132581e-05,6.661486012769496e-05,0.894457427409487
T2M,2 m temperature,1,9.993164235280263,0.0010747407791240897,-0.009654910159547314,0.001878431050798687,0.002883233970292837,0.00029253453111516324,0.8953133457024232
TP,Total precipitation,1,6.0256767244294425,0.002468732800975505,-0.0015602028007789957,-0.0015781602706247987,0.00169837131873994,0.0003417063003927452,0.8938191124324083
U,U-wind,13,9.990382446537343,0.0016297374966316033,0.001243433601836444,6.005312754000078e-05,1.127194279520355e-05,0.0010210417456139262,0.8953236892636143
U10,10 m U-wind,1,9.990386227241569,-0.0015955677807426348,-0.008335629937799582,-0.005616669078028561,-0.004551105424815276,0.004798983025293264,0.8942892618449324
V,V-wind,13,9.999416154435986,-0.0016094296680712907,0.0013802730559876648,0.0010921803073594535,-0.002359848662900099,-0.002800779083943628,0.8937108613051401
V10,10 m V-wind,1,9.981823610717365,0.004739485106776238,-0.0003413705978696674,0.001144311848301811,-0.0064477926934617775,-0.003391814239157153,0.8931692780483641
Z,Geopotential,13,10.009403742481451,0.00034692121935445385,0.0011896672458801322,0.0012401520810690929,-0.0006429935516557122,-0.0010908714837353135,0.8946817865423284
