feature,importance
Tail_end_2_x,0.10674050439401346
Tail_base_2_x,0.060508055633867165
Feature_1,0.05759908082883515
Tail_end_1_x,0.05654653897205987
Center_2_y,0.053779864728227336
Feature_2,0.050203309553411
Tail_end_2_y,0.04438809333527327
Tail_base_1_x,0.03467573069821446
Lat_left_1_x,0.03180961557177163
Lat_left_2_y,0.03150332502557813
Lat_left_2_x,0.027883019096360283
Center_1_x,0.027122486439971373
Nose_2_y,0.026536824377385713
Center_2_x,0.026483343307340357
Lat_right_2_y,0.02290145298090899
Lat_right_2_x,0.022790607821731125
Lat_right_1_x,0.022557517410915558
Ear_left_1_x,0.02076566867046075
Lat_right_1_y,0.019178147315623322
Ear_right_1_x,0.018627062305272384
Tail_base_2_y,0.018383135674243312
Ear_right_2_y,0.017228871639845322
Tail_base_1_y,0.01675741055655707
Tail_end_1_y,0.01584416267666819
Ear_left_2_y,0.014337008228127623
Ear_left_1_y,0.013094772402761416
Nose_1_y,0.012928797750487598
Ear_right_2_x,0.012892803541852372
Nose_1_x,0.012777848230686301
Nose_2_x,0.012187017337464754
Center_1_y,0.012040267837333604
Ear_left_2_x,0.011771982002924012
Lat_left_1_y,0.011396916861673755
Ear_right_1_y,0.010834486941735142
Ear_right_2_p,0.006292273989668062
Lat_right_1_p,0.004744157496042171
Tail_base_2_p,0.004229977295906264
Tail_end_1_p,0.0041639338736511695
Ear_left_1_p,0.003268335353096552
Tail_end_2_p,0.0027605596004201607
Lat_left_1_p,0.002745628220759698
Center_1_p,0.002574249028288521
Nose_2_p,0.00256842739895611
Lat_right_2_p,0.002222676242272238
Lat_left_2_p,0.0020522080694355205
Ear_right_1_p,0.0019008639951876398
Center_2_p,0.0018269065313369457
Tail_base_1_p,0.0012749444144133115
Ear_left_2_p,0.0011975730452412545
Nose_1_p,0.0011015552957425608
