recall,precision
1.0,0.1334867663981588
1.0,0.4187725631768953
1.0,0.5523809523809524
1.0,0.6170212765957447
1.0,0.6535211267605634
1.0,0.6685878962536023
1.0,0.6823529411764706
1.0,0.6925373134328359
1.0,0.7073170731707317
1.0,0.7227414330218068
1.0,0.725
1.0,0.7341772151898734
1.0,0.7483870967741936
1.0,0.7631578947368421
1.0,0.7682119205298014
1.0,0.770764119601329
1.0,0.7733333333333333
1.0,0.7837837837837838
1.0,0.7891156462585034
1.0,0.7918088737201365
1.0,0.7945205479452054
1.0,0.7972508591065293
1.0,0.8
1.0,0.8055555555555556
1.0,0.8083623693379791
1.0,0.8111888111888111
1.0,0.8140350877192982
1.0,0.8169014084507042
1.0,0.8197879858657244
1.0,0.8256227758007118
1.0,0.8285714285714286
1.0,0.8315412186379928
1.0,0.8345323741007195
1.0,0.8375451263537906
1.0,0.8405797101449275
1.0,0.8436363636363636
1.0,0.8467153284671532
1.0,0.8529411764705882
1.0,0.8560885608856088
1.0,0.862453531598513
1.0,0.8656716417910447
1.0,0.8689138576779026
1.0,0.8721804511278195
1.0,0.8754716981132076
1.0,0.8787878787878788
1.0,0.8821292775665399
1.0,0.8923076923076924
1.0,0.8957528957528957
1.0,0.8992248062015504
1.0,0.9027237354085603
1.0,0.9098039215686274
1.0,0.9133858267716536
1.0,0.9206349206349206
1.0,0.9243027888446215
1.0,0.928
1.0,0.9354838709677419
1.0,0.9392712550607287
1.0,0.943089430894309
1.0,0.9508196721311475
1.0,0.9626556016597511
1.0,0.9666666666666667
1.0,0.9707112970711297
1.0,0.9747899159663865
1.0,0.9789029535864979
1.0,0.9830508474576272
1.0,0.9872340425531915
1.0,0.9914529914529915
1.0,0.9957081545064378
1.0,1.0
0.9956896551724138,1.0
0.9913793103448276,1.0
0.9827586206896551,1.0
0.978448275862069,1.0
0.9698275862068966,1.0
0.9655172413793104,1.0
0.9612068965517241,1.0
0.9568965517241379,1.0
0.9525862068965517,1.0
0.9482758620689655,1.0
0.9439655172413793,1.0
0.9396551724137931,1.0
0.9353448275862069,1.0
0.9267241379310345,1.0
0.9224137931034483,1.0
0.9181034482758621,1.0
0.9051724137931034,1.0
0.896551724137931,1.0
0.8922413793103449,1.0
0.8879310344827587,1.0
0.8836206896551724,1.0
0.875,1.0
0.8663793103448276,1.0
0.8620689655172413,1.0
0.8577586206896551,1.0
0.8491379310344828,1.0
0.8448275862068966,1.0
0.8275862068965517,1.0
0.8232758620689655,1.0
0.8146551724137931,1.0
0.7974137931034483,1.0
0.7931034482758621,1.0
0.7758620689655172,1.0
0.771551724137931,1.0
0.7672413793103449,1.0
0.7543103448275862,1.0
0.7456896551724138,1.0
0.7327586206896551,1.0
0.7155172413793104,1.0
0.7112068965517241,1.0
0.6982758620689655,1.0
0.6853448275862069,1.0
0.6810344827586207,1.0
0.6637931034482759,1.0
0.6508620689655172,1.0
0.646551724137931,1.0
0.6379310344827587,1.0
0.6293103448275862,1.0
0.603448275862069,1.0
0.5948275862068966,1.0
0.5818965517241379,1.0
0.5689655172413793,1.0
0.5431034482758621,1.0
0.5258620689655172,1.0
0.5172413793103449,1.0
0.5,1.0
0.4827586206896552,1.0
0.4698275862068966,1.0
0.4396551724137931,1.0
0.4353448275862069,1.0
0.43103448275862066,1.0
0.41810344827586204,1.0
0.40086206896551724,1.0
0.3879310344827586,1.0
0.3706896551724138,1.0
0.3620689655172414,1.0
0.3275862068965517,1.0
0.30603448275862066,1.0
0.3017241379310345,1.0
0.28879310344827586,1.0
0.27155172413793105,1.0
0.25,1.0
0.23275862068965517,1.0
0.21551724137931033,1.0
0.19827586206896552,1.0
0.16379310344827586,1.0
0.14655172413793102,1.0
0.1336206896551724,1.0
0.10344827586206896,1.0
0.09482758620689655,1.0
0.07327586206896551,1.0
0.05172413793103448,1.0
0.034482758620689655,1.0
0.021551724137931036,1.0
0.017241379310344827,1.0
0.01293103448275862,1.0
0.008620689655172414,1.0
0.0,1.0
