feature,importance
Feature_2,0.09795359611668546
Feature_1,0.0942132177505042
Tail_end_1_y,0.0690802085412521
Tail_end_1_x,0.054514738310021085
Tail_base_1_x,0.03618673265287749
Tail_end_2_x,0.03260292521991788
Tail_base_1_y,0.031871723234770145
Center_1_y,0.03129047724069722
Tail_base_2_x,0.027882338497445546
Lat_right_1_x,0.027600662574912997
Lat_left_1_x,0.026974822801427385
Tail_base_2_y,0.026015248254765012
Center_1_x,0.024409080832638895
Tail_end_2_y,0.02395893743584266
Lat_right_2_y,0.020097257384410518
Lat_left_1_y,0.018382374723690913
Lat_right_1_y,0.018226941419712917
Nose_2_y,0.018112594718645833
Ear_right_1_x,0.01653362410800982
Ear_left_2_y,0.016378792515701266
Lat_left_2_x,0.016335189426897778
Ear_left_1_x,0.0161818829611529
Ear_right_2_y,0.01611712969393554
Center_2_y,0.01602764812679957
Nose_1_x,0.015205870956946185
Center_2_x,0.015072036605687516
Ear_left_1_y,0.014949693223955321
Lat_right_2_x,0.013980801467607513
Ear_left_2_x,0.013875342656026846
Ear_right_1_y,0.013773055689582819
Ear_right_2_x,0.01312723204392828
Lat_left_2_y,0.01307155089291363
Nose_2_x,0.012794780112826426
Nose_1_y,0.012767204221633122
Lat_right_2_p,0.008562362673077242
Tail_end_1_p,0.0074126174942549476
Center_2_p,0.006614159557680829
Tail_end_2_p,0.006395648846145541
Lat_right_1_p,0.00634398004811116
Ear_left_1_p,0.006165074889634419
Lat_left_1_p,0.005253753305249171
Center_1_p,0.00503757346339202
Ear_right_1_p,0.005030874598919526
Nose_1_p,0.0045530162137004514
Lat_left_2_p,0.004508114562653309
Nose_2_p,0.004264167394852499
Tail_base_1_p,0.00416426176392388
Tail_base_2_p,0.003460967273353502
Ear_right_2_p,0.0033705132661915075
Ear_left_2_p,0.0032972022350372513
