repetition,threshold,coverage_ratio,mean_response_above_threshold,covered_cells,total_cells
0,0.05,0.99,0.9522069950666037,99,100
0,0.1,0.99,0.9522069950666037,99,100
0,0.25,0.99,0.9522069950666037,99,100
0,0.5,0.99,0.9522069950666037,99,100
0,0.75,0.99,0.9522069950666037,99,100
0,0.9,0.9,0.961143506844416,90,100
1,0.05,0.99,0.941562070294333,99,100
1,0.1,0.99,0.941562070294333,99,100
1,0.25,0.99,0.941562070294333,99,100
1,0.5,0.99,0.941562070294333,99,100
1,0.75,0.98,0.9435729695133465,98,100
1,0.9,0.88,0.9517712438722893,88,100
2,0.05,1.0,0.8927035099236038,100,100
2,0.1,1.0,0.8927035099236038,100,100
2,0.25,0.99,0.9002263334965653,99,100
2,0.5,0.99,0.9002263334965653,99,100
2,0.75,0.98,0.9019847128294591,98,100
2,0.9,0.6,0.9291255548513503,60,100
3,0.05,1.0,0.9260332978362631,100,100
3,0.1,1.0,0.9260332978362631,100,100
3,0.25,0.99,0.9336339549072665,99,100
3,0.5,0.99,0.9336339549072665,99,100
3,0.75,0.97,0.9378264247438222,97,100
3,0.9,0.82,0.9500360860742867,82,100
4,0.05,1.0,0.9764399539697289,100,100
4,0.1,1.0,0.9764399539697289,100,100
4,0.25,1.0,0.9764399539697289,100,100
4,0.5,1.0,0.9764399539697289,100,100
4,0.75,1.0,0.9764399539697289,100,100
4,0.9,0.97,0.9800529226810787,97,100
5,0.05,0.98,0.9563583935111434,98,100
5,0.1,0.98,0.9563583935111434,98,100
5,0.25,0.98,0.9563583935111434,98,100
5,0.5,0.98,0.9563583935111434,98,100
5,0.75,0.97,0.9587486310186182,97,100
5,0.9,0.95,0.961064502061131,95,100
6,0.05,1.0,0.9669038206238554,100,100
6,0.1,1.0,0.9669038206238554,100,100
6,0.25,1.0,0.9669038206238554,100,100
6,0.5,1.0,0.9669038206238554,100,100
6,0.75,0.99,0.9709291541608048,99,100
6,0.9,0.99,0.9709291541608048,99,100
7,0.05,1.0,0.9726328255454676,100,100
7,0.1,1.0,0.9726328255454676,100,100
7,0.25,1.0,0.9726328255454676,100,100
7,0.5,1.0,0.9726328255454676,100,100
7,0.75,1.0,0.9726328255454676,100,100
7,0.9,1.0,0.9726328255454676,100,100
8,0.05,0.99,0.9233702312581742,99,100
8,0.1,0.99,0.9233702312581742,99,100
8,0.25,0.98,0.9310212719056361,98,100
8,0.5,0.98,0.9310212719056361,98,100
8,0.75,0.98,0.9310212719056361,98,100
8,0.9,0.78,0.948798412598996,78,100
9,0.05,1.0,0.9665568629318829,100,100
9,0.1,1.0,0.9665568629318829,100,100
9,0.25,1.0,0.9665568629318829,100,100
9,0.5,1.0,0.9665568629318829,100,100
9,0.75,0.99,0.9711236456008466,99,100
9,0.9,0.98,0.9719205058245072,98,100
