repetition,cell_id,p_no_response_product,mean_element_response,max_element_response,selected_element_hits,reconstructed_p_response,population,name
0,0,0.04669547167649757,0.1949983614736523,0.763804051831921,10,0.9533045283235024,"100-cells.10x, 0",0
0,1,0.12538076023429726,0.15287657105028205,0.6267521835135927,10,0.8746192397657028,"100-cells.10x, 0",1
0,2,0.11425326441691003,0.14699039478745674,0.6938899448859717,10,0.8857467355830899,"100-cells.10x, 0",2
0,3,0.03149108031051625,0.2313872029802718,0.7084001871099722,10,0.9685089196894837,"100-cells.10x, 0",3
0,4,0.028436385286310883,0.21261407329322562,0.8133760684288108,10,0.9715636147136891,"100-cells.10x, 0",4
0,5,0.130141632859184,0.1559619179861674,0.5800962122847882,10,0.869858367140816,"100-cells.10x, 0",5
0,6,0.0264464874729636,0.22929440215482177,0.6976691409952307,10,0.9735535125270364,"100-cells.10x, 0",6
0,7,0.04874808412940615,0.20848764171416528,0.7200641259712017,10,0.9512519158705939,"100-cells.10x, 0",7
0,8,0.05856376471921506,0.19632189817186863,0.6220865112745818,10,0.9414362352807849,"100-cells.10x, 0",8
0,9,0.04998580893473215,0.20884126626300864,0.6112003445198876,10,0.9500141910652679,"100-cells.10x, 0",9
0,10,0.08747515869330907,0.16255074498676123,0.7459841122912025,10,0.9125248413066909,"100-cells.10x, 0",10
0,11,0.035106632703630576,0.17478862893157282,0.8589122236953984,10,0.9648933672963694,"100-cells.10x, 0",11
0,12,0.030359475954416574,0.24046814184704052,0.650080236195957,10,0.9696405240455834,"100-cells.10x, 0",12
0,13,0.027117969730033154,0.22123561535465552,0.819203699768493,10,0.9728820302699669,"100-cells.10x, 0",13
0,14,0.015868519481715533,0.17935745777438022,0.95276077257504,10,0.9841314805182845,"100-cells.10x, 0",14
0,15,1.898330943621968e-08,0.1642013891298934,0.9999999603100316,10,0.9999999810166905,"100-cells.10x, 0",15
0,16,0.08747515869330906,0.17778329824540437,0.6371202485439521,10,0.912524841306691,"100-cells.10x, 0",16
0,17,0.06376943107471562,0.19382386028359605,0.5800962122847882,10,0.9362305689252843,"100-cells.10x, 0",17
0,18,0.14105335330451024,0.1393550128641395,0.5800962122847882,10,0.8589466466954898,"100-cells.10x, 0",18
0,19,0.01836142663529197,0.24659986372835627,0.7279021694528387,10,0.9816385733647081,"100-cells.10x, 0",19
