feature,importance_mean,importance_std
degradation_Average,0.20674963774071511,0.002843758776781941
4,0.1001678092314083,0.0020079301594881226
3,0.09748026218425604,0.0020307224741051566
0,0.09657699444734624,0.002388164041319192
1,0.09458092270813191,0.001890738928067711
2,0.0895531598702939,0.0024224324059323563
6,0.06243444628390023,0.0013907736266679414
5,0.06208469232065915,0.0010508013994094537
8,0.06020047988192119,0.0013235211218391018
9,0.058054724878304806,0.0012764336491959116
7,0.057010280772925026,0.0011999109949359804
11,0.017235150458510533,0.0006326428597007266
19,0.016471129946428777,0.0006140345392695378
10,0.016222943819784064,0.0005053686358072408
18,0.015954899181810468,0.0004790006261792159
16,0.015707552430869805,0.000621420237563254
17,0.01544191435356886,0.0006528821938486969
15,0.015234954113323502,0.0007092887489447245
14,0.015164060621582608,0.0006989829607830318
12,0.014048718263827854,0.000675809750856006
13,0.013944170630269093,0.0005456565871110975
