baseline_gls,diag_only,cepheid_only,trgb_only,n4258_only,lmc_only,cepheid_n4258
112.99656740632562,109.2398024061179,103.74986328183374,117.50997596437345,112.52088478277454,93.39363667359062,108.6117283201913
111.34538678417346,110.86338744947399,106.76366652621518,119.10483764528483,115.19659046635495,95.519653833513,113.26696696013525
110.30973271513355,109.4806153774385,108.77223243830746,125.21941693079408,111.81807398574178,92.1105975530403,109.31369094779583
109.15868857462807,110.83028853087497,106.48694320106917,116.91736113627407,111.18350979809509,90.52230083798025,109.43459483733939
106.96086377803049,106.60381392184395,110.25397516981121,126.75418853745468,113.65710157201168,94.59835260495554,107.90912703802572
108.66194538115965,109.55223100079682,107.52610222165073,113.90383752567098,113.97827648932878,87.83080785623123,108.5500312490481
107.94328625052103,112.58568044185974,105.79585112537887,118.2053456322575,113.81735884429273,88.52407170806958,109.13016069670319
109.00659500808158,110.29110663423518,105.374797541092,119.63871302608764,114.78417925938211,92.01434590525231,110.40809751893222
110.19007450884803,111.40473595605475,103.0725468010174,125.57338450619419,113.54379939322102,97.10475839421635,107.30282145214618
110.77182582492073,111.92121644577729,106.09325463023704,120.164013827627,115.33212250641633,88.7391593691881,112.2804852121107
109.15334794818362,110.34514840330311,106.21341976501422,120.3366392837927,114.51933986403097,93.8120397350942,114.85060549943758
109.33822243254498,109.86508009700532,111.89158830090436,112.25082641747976,111.03590469643093,92.30744428346797,112.54814077896958
111.07782425232551,110.7257573638613,108.22387040130232,116.49844109060736,111.55734128320975,96.23522844360173,106.3367407259271
108.88899870482766,105.19890902524295,103.46660081026619,121.97008519054117,113.51381304497843,88.50360318379781,112.28029744070457
109.78244992719105,107.17353077449818,104.66463194219023,122.85082925974953,111.3625657313446,92.98112850157601,114.81654870880286
109.68436669333893,113.27037785166095,107.33242779952839,114.17521138548722,108.42133897835666,92.46361692158466,114.07763414171572
111.7484321707276,113.25420859529936,108.28866635330388,113.25531501494997,111.5986236059777,90.82988873559066,107.32083579825176
112.03830285601995,110.80505422164522,105.17145080653968,117.75629246929843,111.85747182194946,91.93577440568386,108.2087961053812
108.36496017535791,110.68171764830652,102.20618989574676,121.25795850299679,107.94999316200843,92.09634369504418,104.75642607530638
109.35346056452089,114.95223095966543,105.2030868982538,123.30119298524043,110.99343031204161,86.17229947645546,112.56449545508032
109.15809929677978,114.68272461336414,106.82625695430748,128.2760502705153,115.45990561609909,91.72512200570551,109.98563642495839
108.30473311560252,110.68954592627539,108.80972094059983,113.4535673609185,108.30320876925002,86.8453296364119,111.66103902081011
105.6875152343852,109.25032183426657,102.93190266803018,113.20764951516063,109.71363785582182,90.72489073171593,110.76824867391204
109.00278835949038,111.59491836419409,107.05628751707133,118.71747649687207,111.61745609889273,99.29720929380571,107.61805049130733
110.95327514925732,108.56027988015735,107.0019924503616,122.53560701698623,112.99485989572739,85.99862399753417,108.2010829332109
112.57889894132427,113.09545096584124,103.39477072944912,121.02978709385783,120.31145176664353,88.22351360283896,109.72271183542375
109.9054147589391,114.43515826536425,108.02798767104174,122.85069820598189,110.76767470941189,93.8511840761891,106.48629273644694
108.89344755391947,109.45753550277817,106.50859600181718,127.54291270274673,113.11998842491916,91.20304235958025,106.6773558239615
112.8847921782213,112.58891613116225,101.68250031051532,121.54726773309339,114.5334361137132,95.32087047725213,112.68965239582671
114.1243751459615,110.29620184505652,104.8998119411489,120.34440853443739,109.43646320045285,91.09647178932855,110.47287529029555
109.06156850830055,108.66863614297368,102.42760775640461,113.53773823057378,111.33243754682859,86.7109268365929,114.79841081335839
110.66955155070085,113.43589206373882,103.80152248616216,117.9410813352985,111.35530308885747,94.81458050360516,110.45320726905531
109.6598639892639,110.43532023068114,105.26721996208677,119.82682115937428,111.39419428668519,93.86083962429356,109.58894161642493
110.28744737866113,113.12817570181159,103.74118873951062,119.44667745135499,113.76239949306466,90.47863803933777,113.22275952468102
111.11490796476758,107.09166711795235,108.60971653128398,122.44989167239481,112.74315231572582,97.28951473561304,116.56053023075717
109.99501011659241,109.22303319973547,103.35825826760455,109.34566514431725,115.08266501356832,82.11555760133317,112.56634662718083
106.6067100882964,112.74592264999617,108.86189409540563,118.29190708876227,111.20526998342741,89.16131928100559,106.82584832451784
110.22221921613857,109.18927029516351,108.19129800105317,118.06117296812847,112.53518375536318,88.29853500301657,107.02161838407011
107.0145704406609,111.50855294680662,105.45823999961675,114.76456605688762,113.26399883102361,92.25772946266382,105.38774397049109
109.24884497435544,110.80775537698658,103.12887840825574,116.03944068110732,109.56761054627547,94.47284841798741,112.19837756395445
