host,method,anchor,mu_meas,err_meas,anchor_mu,anchor_err,method_anchor_err
NGC1309,Cepheid,N4258,32.5,0.1,29.397,0.032,0.04
NGC1365,Cepheid,N4258,31.33,0.08,29.397,0.032,0.04
NGC1448,Cepheid,N4258,31.31,0.09,29.397,0.032,0.04
NGC1559,Cepheid,N4258,31.42,0.07,29.397,0.032,0.04
M101,Cepheid,N4258,29.12,0.06,29.397,0.032,0.04
NGC1316,TRGB,N4258,31.39,0.1,29.397,0.032,0.05
NGC1365,TRGB,N4258,31.32,0.12,29.397,0.032,0.05
NGC5643,TRGB,N4258,30.53,0.09,29.397,0.032,0.05
M101,TRGB,N4258,29.13,0.08,29.397,0.032,0.05
NGC1309,Cepheid,LMC,32.51,0.11,18.477,0.024,0.03
NGC1365,Cepheid,LMC,31.34,0.09,18.477,0.024,0.03
